,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p
0,WBGene00002048,3.3965659953429266e-179,WBGene00004855,3.250149674710862e-123,WBGene00009322,7.644235942702309e-29,WBGene00003963,9.464775491055191e-141,WBGene00007210,2.1942265181661015e-109,WBGene00001263,2.0974067807550188e-177,WBGene00000403,1.992449502940308e-99,WBGene00001263,6.990341265535265e-201,WBGene00019940,1.3028285437491402e-113,WBGene00011232,4.358230926745327e-64,WBGene00012148,1.0712655969623478e-185,WBGene00017012,3.358670277861507e-103,WBGene00013025,6.231677455764434e-51,WBGene00018398,3.0047023685531444e-52,WBGene00002048,1.019458674920861e-89,WBGene00001007,6.024909251617733e-37
1,WBGene00004921,1.7142316774505278e-102,WBGene00017075,2.499736607215855e-97,WBGene00006444,1.7078271482503357e-28,WBGene00002007,2.058912291289545e-112,WBGene00004434,1.6978221923825801e-103,WBGene00002247,1.2875924410830416e-175,WBGene00002048,4.524766274456017e-75,WBGene00004736,6.891279789224647e-179,WBGene00000962,3.778099078158145e-86,WBGene00001398,2.9312811734491714e-54,WBGene00018877,1.926189865477134e-120,WBGene00002173,1.0222405097878115e-85,WBGene00006917,3.028357360512111e-36,WBGene00004013,1.4790364060360347e-49,WBGene00000906,4.609133518072631e-47,WBGene00021973,2.842047899368532e-35
2,WBGene00000403,3.873958606077777e-92,WBGene00001423,4.9787558785582926e-92,WBGene00015418,1.857646099962858e-27,WBGene00000802,1.1695634530297928e-100,WBGene00004919,4.735818900558649e-96,WBGene00002978,2.0429031816076777e-159,WBGene00000277,1.0140800068432567e-43,WBGene00000822,1.5433757053085541e-171,WBGene00000479,1.793803946854231e-83,WBGene00010988,5.229633982800868e-54,WBGene00000802,2.8521221681734595e-88,WBGene00011480,1.669485227116143e-83,WBGene00021952,6.843325400993622e-33,WBGene00016006,2.945333750404439e-41,WBGene00000277,1.2445741308742654e-40,WBGene00012930,4.921630638618015e-35
3,WBGene00006742,2.852651532217239e-67,WBGene00022042,4.3529263191575727e-67,WBGene00003229,2.5809715292980137e-24,WBGene00003964,2.0368400112463967e-93,WBGene00004482,1.5803534414097268e-93,WBGene00016913,3.49292183444543e-142,WBGene00015478,1.9926626635062368e-23,WBGene00002978,2.3891765933950013e-158,WBGene00022048,1.8713405985648764e-81,WBGene00007836,9.695828947036206e-40,WBGene00020509,2.691630869879506e-50,WBGene00007463,4.542466361886581e-72,WBGene00006919,7.874852160040367e-27,WBGene00001410,5.413358058063723e-36,WBGene00008018,3.80218908234595e-30,WBGene00007591,1.5957954872977069e-34
4,WBGene00006803,9.182328234509097e-61,WBGene00002045,1.0120251547586394e-58,WBGene00000857,8.692767954249109e-23,WBGene00015168,2.2806799882710463e-63,WBGene00007836,3.9179521747063495e-88,WBGene00019760,3.63850394342397e-107,WBGene00016935,1.0779304311685514e-21,WBGene00001564,1.7221505355139525e-132,WBGene00002696,2.0148884779881783e-77,WBGene00019322,4.142561791263147e-39,WBGene00002007,1.1406734606562945e-26,WBGene00001564,6.651361380948099e-72,WBGene00006921,3.7967799182271365e-25,WBGene00002978,1.0286690259983333e-32,WBGene00020572,3.4070178760439307e-28,WBGene00004302,2.1655802096486826e-32
5,WBGene00004364,6.722597404821778e-59,WBGene00002065,6.186360587500898e-55,WBGene00003516,1.49508848078924e-22,WBGene00000881,2.6148560859591764e-62,WBGene00008143,1.403552033465498e-87,WBGene00003567,5.435864017588536e-94,WBGene00000553,9.023755892061297e-21,WBGene00001131,1.417957644104012e-128,WBGene00002169,3.2728701475580884e-69,WBGene00003844,3.368716006150636e-36,WBGene00011867,1.6163791011905443e-19,WBGene00011232,3.961564581760786e-71,WBGene00006920,1.0318903682935475e-22,WBGene00009532,3.3629113455506335e-20,WBGene00020556,1.5947947773756312e-14,WBGene00016725,6.527471750736454e-32
6,WBGene00000552,1.1751706601977252e-56,WBGene00012097,2.1946203943315602e-52,WBGene00004213,1.6462958962392812e-22,WBGene00011480,4.2429368183806614e-61,WBGene00003931,7.063443275622103e-85,WBGene00004736,6.0209687281248215e-93,WBGene00017973,3.210753052653344e-19,WBGene00000114,8.72056534725963e-106,WBGene00002201,1.2751058271940778e-66,WBGene00022336,5.733271705706666e-33,WBGene00008140,1.5816013688463332e-13,WBGene00003411,7.621249938142422e-63,WBGene00006913,1.060514266634631e-14,WBGene00017904,1.3184347667681497e-14,WBGene00006767,3.244072233277925e-14,WBGene00017025,9.968177237383094e-31
7,WBGene00003166,6.386243920583537e-56,WBGene00020915,3.6796924186530154e-48,WBGene00013416,1.0371369692247162e-21,WBGene00013311,4.991927318815939e-52,WBGene00004454,3.2618814122392353e-84,WBGene00001650,1.6534204404504278e-82,WBGene00004921,9.04399052557464e-19,WBGene00010703,4.0888824610068767e-97,WBGene00015203,6.747006455525903e-61,WBGene00009978,3.822191486329108e-31,WBGene00006438,2.7850710941374174e-12,WBGene00004736,6.99349135808923e-60,WBGene00010130,2.685392284467915e-10,WBGene00006823,5.473462123828426e-11,WBGene00004131,1.442012954159239e-11,WBGene00012193,1.2507126088926797e-30
8,WBGene00006594,3.3671716365795193e-40,WBGene00018846,5.007817164622262e-48,WBGene00000228,3.2759671785216257e-19,WBGene00021420,1.6021185190626892e-50,WBGene00018788,2.3990816750599623e-83,WBGene00010703,8.290493348128823e-65,WBGene00004345,2.2378746914370594e-17,WBGene00002247,3.287503253173007e-95,WBGene00011629,8.88319000003259e-56,WBGene00010665,1.4959034613133877e-21,WBGene00003963,2.3434901453012017e-11,WBGene00008506,8.744471194670167e-60,WBGene00016258,3.379543563467549e-09,WBGene00003561,1.3580861749530222e-09,WBGene00000553,1.9041304784613098e-10,WBGene00006444,1.3592607216545735e-29
9,WBGene00006468,8.835109452685075e-39,WBGene00000229,9.77370872243442e-48,WBGene00001516,4.121200710030105e-18,WBGene00022122,8.283436664419032e-47,WBGene00004445,1.8051525668887738e-82,WBGene00008547,1.010628566597716e-59,WBGene00000906,2.548960715965364e-16,WBGene00020012,1.0545856315070786e-87,WBGene00006595,1.612029550701666e-54,WBGene00007210,3.2866544652403162e-21,WBGene00006503,1.6091330142351058e-10,WBGene00004855,3.5330209644345284e-57,WBGene00003963,5.533194760117718e-09,WBGene00004831,1.9738662768603513e-08,WBGene00019434,5.162189423429118e-10,WBGene00001412,2.1972646564060916e-29
10,WBGene00001335,1.831161562665073e-38,WBGene00010260,3.4138474428539627e-46,WBGene00018018,9.766105911099953e-18,WBGene00006472,7.506344792236e-40,WBGene00010564,6.836324671331586e-79,WBGene00011283,4.249366827102477e-59,WBGene00011261,9.485328491946262e-16,WBGene00016913,8.775378697709077e-85,WBGene00009671,2.3613557250089635e-53,WBGene00009334,1.1370961265747712e-19,WBGene00001604,7.486454666576923e-10,WBGene00001333,4.431874447048414e-53,WBGene00004855,4.045629468149627e-08,WBGene00008121,1.5509906596977782e-07,WBGene00008780,3.078134945358231e-09,WBGene00010317,4.037722785525482e-29
11,WBGene00000086,7.325537675571188e-38,WBGene00002005,8.467416645573037e-45,WBGene00006476,2.5803371400733525e-17,WBGene00006367,2.4591040169236167e-36,WBGene00014051,1.256667242187147e-78,WBGene00001794,1.009733841381074e-58,WBGene00013111,2.1182609523626554e-15,WBGene00000229,4.56691084288889e-81,WBGene00009200,5.05513408742578e-48,WBGene00010966,2.5950024668794035e-19,WBGene00001377,3.757906150147541e-09,WBGene00002007,2.9190646958162673e-50,WBGene00001558,1.1750789367492369e-07,WBGene00006444,1.012625395768537e-06,WBGene00013711,5.604763717755548e-09,WBGene00005019,4.2659603635173407e-29
12,WBGene00004969,2.5555416215793598e-33,WBGene00004454,1.308290998928642e-44,WBGene00012203,1.0171775134603656e-16,WBGene00020216,1.6670547620117837e-34,WBGene00017928,2.8582451875978884e-77,WBGene00000114,6.153066959499126e-57,WBGene00010813,4.7354744511748886e-14,WBGene00018701,1.2984373888485279e-78,WBGene00020031,7.05481515623119e-47,WBGene00011146,3.1111943989754438e-18,WBGene00011480,3.968220059292257e-09,WBGene00016415,1.5454028656448067e-49,WBGene00010317,1.773796104974097e-07,WBGene00011283,2.201104757385917e-06,WBGene00022647,5.807606374704912e-09,WBGene00013460,6.68680632190996e-29
13,WBGene00001679,6.754633393944879e-33,WBGene00013766,1.522936372544037e-44,WBGene00013135,3.1158224977504026e-16,WBGene00001073,1.1010610551936963e-33,WBGene00006476,5.932732027625266e-77,WBGene00006771,1.459255168949999e-56,WBGene00004207,6.758788060364248e-14,WBGene00016918,9.744197898159785e-75,WBGene00017605,3.6762856412377e-46,WBGene00012354,3.830389976132805e-18,WBGene00004272,9.308538741151457e-09,WBGene00019060,3.2986419444977527e-49,WBGene00002007,2.4036220520967943e-07,WBGene00022358,9.02412790685302e-06,WBGene00017350,4.928667914343947e-08,WBGene00022361,8.108824458815253e-29
14,WBGene00003404,1.2003526215883083e-31,WBGene00010627,5.46075206734506e-44,WBGene00002039,2.3196647042126114e-15,WBGene00021644,4.227617738689355e-33,WBGene00004497,1.050403871170569e-76,WBGene00013289,4.598731807441405e-56,WBGene00008018,2.6028788345259865e-12,WBGene00016716,4.454744986755084e-74,WBGene00012484,6.211594749642218e-45,WBGene00010272,6.2393013539811235e-18,WBGene00016583,1.0911818947693804e-08,WBGene00002025,2.6867618658626725e-48,WBGene00017904,3.2978415736198194e-07,WBGene00016407,2.5721965257024433e-05,WBGene00009503,5.7081388683962546e-08,WBGene00010130,1.174065739738311e-28
