,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p
0,WBGene00002048,1.2081233663159286e-150,WBGene00001398,4.5237496827821245e-136,WBGene00004855,2.977966622073828e-128,WBGene00003963,2.4342123522386957e-147,WBGene00002048,4.2459039789802935e-191,WBGene00001263,3.096984962286374e-178,WBGene00006444,7.017940497141695e-20,WBGene00001263,1.2800210177161066e-207,WBGene00019940,4.327994840344551e-113,WBGene00012148,9.548024329536381e-187,WBGene00018398,2.473572555826561e-47,WBGene00017012,2.1262580241876997e-106,WBGene00000857,1.7069643160997053e-38,WBGene00013025,1.072050827212485e-40,WBGene00021973,8.151886700628667e-36,WBGene00001945,4.415396989939335e-08
1,WBGene00000403,1.6204835180897515e-96,WBGene00007836,1.4250917852128482e-134,WBGene00001423,3.6464647965617803e-87,WBGene00002007,1.4725519521502713e-117,WBGene00000277,5.552784603143564e-105,WBGene00002247,3.8277987872152638e-174,WBGene00009322,1.4957010137881411e-18,WBGene00004736,4.505522429378867e-180,WBGene00000962,9.688057542383494e-88,WBGene00018877,2.392744662150619e-118,WBGene00016006,9.293830288153405e-47,WBGene00002173,4.772495202809402e-87,WBGene00003911,2.0172614272797578e-16,WBGene00006917,2.6169376210968313e-39,WBGene00001007,1.1207054371057226e-31,WBGene00003914,4.425878631266333e-08
2,WBGene00004921,5.568906914583602e-85,WBGene00010988,6.6861639523470936e-127,WBGene00017075,7.090983602219687e-86,WBGene00000802,6.888351456160539e-96,WBGene00000403,1.0836286589909602e-89,WBGene00002978,4.724301219128752e-149,WBGene00003048,6.784976433500159e-18,WBGene00000822,2.1642578277032385e-171,WBGene00000479,8.77770041142387e-86,WBGene00000802,3.8352387818398767e-91,WBGene00002978,6.725239634638655e-44,WBGene00011480,2.9295404352343686e-84,WBGene00001650,7.570870111381058e-15,WBGene00006921,8.027711138181921e-24,WBGene00007591,2.4117152438246684e-31,WBGene00004682,4.450429693301747e-08
3,WBGene00004364,1.8182935696553024e-68,WBGene00007210,7.326995247062221e-124,WBGene00022042,1.8699906893968523e-67,WBGene00003964,3.4700077155305555e-91,WBGene00000906,2.82776088702232e-55,WBGene00016913,9.024459717577772e-148,WBGene00009532,3.673681678292119e-17,WBGene00002978,4.238851496308195e-161,WBGene00022048,7.230585889104909e-83,WBGene00020509,2.239728635431969e-49,WBGene00004013,2.2912689581998442e-38,WBGene00007463,2.1622412567218394e-74,WBGene00002190,4.94082060672403e-13,WBGene00006919,2.757052209782461e-23,WBGene00016725,3.9067677984888637e-31,WBGene00022037,4.453947748362107e-08
4,WBGene00006742,7.933037160467455e-68,WBGene00009978,1.6778124000576407e-96,WBGene00002045,5.453551802084489e-60,WBGene00000881,2.0499166503529778e-69,WBGene00008018,2.7007054153302024e-39,WBGene00019760,1.6349002282355387e-107,WBGene00016006,7.381002104994085e-17,WBGene00001564,1.732334204271185e-135,WBGene00002696,2.8510260739857815e-77,WBGene00002007,3.7637717546944396e-30,WBGene00001410,1.0539260915099794e-30,WBGene00001564,1.1469215296204773e-72,WBGene00020131,1.6240815677365706e-12,WBGene00021952,5.371884187350327e-22,WBGene00013460,5.375264580595561e-30,WBGene00000114,4.528452790140419e-08
5,WBGene00006803,4.848254379880293e-56,WBGene00018788,2.3433276879284874e-96,WBGene00004454,1.720620167797355e-49,WBGene00015168,1.1060091272541757e-59,WBGene00000553,1.020028833973486e-33,WBGene00003567,1.3154571344722904e-86,WBGene00000228,3.3605710139212334e-15,WBGene00001131,2.521128321932334e-129,WBGene00002169,2.0519762093733902e-71,WBGene00011867,2.4328913343686862e-20,WBGene00017904,1.102339908502142e-27,WBGene00011232,2.096053592334152e-72,WBGene00003878,9.269994524309598e-08,WBGene00006920,1.929368889105868e-19,WBGene00017025,1.5061365946720015e-29,WBGene00021292,4.528452790140419e-08
6,WBGene00000552,9.357740224349773e-54,WBGene00004919,8.075769804242017e-95,WBGene00018846,4.240362647064436e-46,WBGene00011480,2.746533281166673e-55,WBGene00020572,1.0976748769714424e-33,WBGene00004736,4.021395347339425e-86,WBGene00021597,4.099648323601565e-15,WBGene00000114,3.869467521864317e-106,WBGene00002201,1.6941331968026334e-67,WBGene00008140,3.0704980563401446e-15,WBGene00009532,3.3366139756853313e-19,WBGene00003411,2.49876715264155e-66,WBGene00018018,4.798025899330109e-06,WBGene00006913,5.79778015223274e-12,WBGene00004375,1.5619535529935645e-29,WBGene00006373,4.5987169653486486e-08
7,WBGene00006468,1.0985977609810582e-45,WBGene00004434,2.931846668993522e-94,WBGene00002065,8.573674691462852e-45,WBGene00013311,1.0306428763817915e-45,WBGene00004921,7.442798998118037e-27,WBGene00001650,2.9831415117504246e-77,WBGene00003150,2.3313922157901565e-14,WBGene00002247,4.0820581366777986e-97,WBGene00015203,1.1819799188507444e-60,WBGene00006438,9.917634597136928e-13,WBGene00006823,2.577670310098184e-16,WBGene00004736,6.613362606083722e-62,WBGene00002217,1.1243148753611509e-05,WBGene00003963,2.317728901527891e-10,WBGene00012930,2.496227123167383e-29,WBGene00000228,4.647979316537856e-08
8,WBGene00003166,5.588762265377223e-43,WBGene00011232,5.61515784029864e-89,WBGene00004482,1.5750535952960569e-44,WBGene00021420,2.046467227010292e-44,WBGene00015478,2.570968313522473e-24,WBGene00010703,3.0861818941580102e-61,WBGene00015418,7.845836368156011e-14,WBGene00010703,3.150219784531603e-95,WBGene00006595,7.853020212969252e-58,WBGene00003963,1.5566842082813895e-11,WBGene00011283,5.621195418101219e-10,WBGene00008506,2.1836047420556562e-61,WBGene00008345,1.8289868889440392e-05,WBGene00006918,5.069713595789881e-09,WBGene00012193,4.0743454599371044e-29,WBGene00007591,4.6959004154978844e-08
9,WBGene00006594,1.9421338439686106e-40,WBGene00004482,5.8122708992500195e-89,WBGene00012097,7.449849035869014e-44,WBGene00006472,3.9909208519496714e-41,WBGene00016935,1.0593116227425409e-23,WBGene00006771,1.3764040930249619e-58,WBGene00003229,3.1785822319257816e-13,WBGene00020012,4.026454870533466e-89,WBGene00011629,6.076103027309292e-57,WBGene00011480,4.56808814162141e-10,WBGene00002216,1.2643649410178137e-09,WBGene00004855,7.212611238543368e-56,WBGene00003516,2.9187885385684995e-05,WBGene00009882,6.604074854137342e-09,WBGene00001412,1.0228829048062914e-28,WBGene00004980,4.977940775431155e-08
