Am/PH sheath cells.c	Body wall muscle.c	Canal associated neurons.c	Cholinergic neurons.c	Ciliated sensory neurons.c	Coelomocytes.c	Distal tip cells.c	Dopaminergic neurons.c	Excretory cells.c	flp-1(+) interneurons.c	GABAergic neurons.c	Germline.c	Intestinal/rectal muscle.c	Non-seam hypodermis.c	Other interneurons.c	Oxygen sensory neurons.c	Pharyngeal epithelia.c	Pharyngeal gland.c	Pharyngeal muscle.c	Pharyngeal neurons.c	Rectum.c	Seam cells.c	Sex myoblasts.c	Socket cells.c	Somatic gonad precursors.c	Touch receptor neurons.c	Vulval precursors.c	Intestine.c	Gonad A.c2	Pharynx A.c2	Body wall muscle B.c2	Hypodermis D.c2	Sperm.c2	Neurons B.c2	Intestine A.c2	Gonad B.c2	Neurons C.c2	Germline.c2	Neurons D.c2	Body wall muscle A.c2	Hermaphroditic.c2	Hypodermis E.c2	Pharynx B.c2	Glia B.c2	Pharynx C.c2	Hypodermis F.c2	Intestine B.c2	Hypodermis G.c2	Major Sperm Proteins (MSPs).c2	Glia A.c2	Hypodermis A.c2	Hypodermis B.c2	Neurons A.c2	Spermatocytes.c2	Hypodermis C.c2	activated early epidermal progenitors.s	aqp+ parenchymal cells.s	cav-1+ neurons.s	ChAT neurons 1.s	ChAT neurons 2.s	early epidermal progenitors.s	epidermal neoblasts.s	epidermis.s	epidermis DVb.s	epidermis DVb neoblast.s	GABA neurons.s	glia.s	goblet cells.s	gut progenitors.s	late epidermal progenitors 1.s	late epidermal progenitors 2.s	ldlrr-1+ parenchymal cells.s	muscle body.s	muscle pharynx.s	muscle progenitors.s	neoblast 1.s	neoblast 10.s	neoblast 11.s	neoblast 12.s	neoblast 13.s	neoblast 3.s	neoblast 4.s	neoblast 5.s	neoblast 6.s	neoblast 7.s	neoblast 8.s	neoblast 9.s	neural progenitors.s	npp-18+ neurons.s	otf+ cells 1.s	otf+ cells 2.s	parenchymal progenitors.s	pgrn+ parenchymal cells.s	phagocytes.s	pharynx cell type.s	pharynx cell type progenitors.s	pigment.s	protonephridia.s	psap+ parenchymal cells.s	psd+ cells.s	secretory 1.s	secretory 2.s	secretory 3.s	secretory 4.s	spp-11+ neurons.s
Am/PH sheath cells.c	0.826472145986807	0.476724245827969	0.710010873920892	0.728576495176572	0.826236378591152	0.722088189173203	0.502431967517299	0.764420832130822	0.835571848277118	0.786458486495157	0.705971384962687	0.412673990402575	0.597541381823993	0.880276160552381	0.741396498188586	0.75380309557203	0.882679947266547	0.816067302840234	0.719247821690931	0.725943194843742	0.853169775421544	0.736006443059985	0.353532103911071	0.869836230959649	0.528463759090386	0.720293853653061	0.667931105938683	0.663859649661986	0.261000830059458	0.542008980153889	0.260683234664917	0.292830503415706	0.693318325822551	0.255659060699803	0.462265971295263	0.339725796150078	0.724374590763372	0.273766633469417	0.410755022034358	0.160640457733481	0.78219816477493	0.17394617737468	0.257202726229122	0.330749903069098	0.176032085829163	0.35974626753072	0.461922932788609	0.772508581110387	0.303566352636501	0.277624261566339	0.303155270940343	0.43416586207683	0.260751812934374	0.388278872783968	0.459492179356149	0.503046994023204	0.898383605520412	0.792355671924009	0.836767478435838	0.837829820818579	0.675388274996173	0.486671337272704	0.92364869939002	0.810818674291377	0.41477867479706	0.876122709333298	0.858106454787048	0.6868826975436	0.348792663660687	0.796508499864521	0.851623569456407	0.635964359366224	0.489076181816811	0.472003550630844	0.290954600806632	0.268217673795719	0.314563964431255	0.341037282825182	0.201699869025579	0.349292118334923	0.178287640051175	0.312897922836711	0.292225512382236	0.340765149834713	0.554388294124831	0.422015962651157	0.292558188918148	0.582954447852336	0.864172957396789	0.876974364389417	0.872542866918499	0.467442577772664	0.731253559266878	0.878467477226279	0.858875948058038	0.550133418078677	0.708631142547537	0.853430829183126	0.798995039456408	0.497145520281239	0.854672604714935	0.811695042593415	0.758405715339534	0.652056333226967	0.858981696647958
Body wall muscle.c	0.476724245827969	0.959486980681011	0.599634525624806	0.767287228010063	0.676607221641198	0.593121661988226	0.68018207650016	0.702965228123754	0.527796356972764	0.657998210884484	0.729374108013968	0.193695122656154	0.773065787895843	0.620813058869368	0.804858401173487	0.719317275817186	0.603808107034179	0.535618980679629	0.692887723103249	0.73134955654801	0.554503324795017	0.396211717431394	0.704857316241374	0.548517314304984	0.531587586800065	0.722008677998302	0.487167528296378	0.686220060240384	0.101284996979111	0.193057368462083	0.222484155818116	0.161283117924721	0.387225574166436	0.131919694781855	0.336108263252662	0.129687365472746	0.356741758589644	0.284673437324655	0.378347088889116	0.866744601906293	0.355545903428857	0.331873374072903	0.163702403906646	0.539319431550382	0.550276556852465	0.430106399827175	0.255705388540911	0.345826698308107	0.264896197056925	0.194830902442009	0.19025998658382	0.397724053272911	0.116018302115249	0.171806933977577	0.268613387314466	0.155806482778463	0.768120076725523	0.695223348344897	0.736011392627733	0.669651554048065	0.320917305678579	0.294652894198582	0.507853128211508	0.342994312859886	0.296019791683765	0.551188941732499	0.802278195543209	0.692218419663506	0.297920248821299	0.33823617243274	0.37086425992811	0.537748048278728	0.985288016445182	0.96101708312129	0.63423333128466	0.127625237734471	0.161622272834959	0.275293037552841	0.356246527562328	0.296977945380378	0.311579009408277	0.234321223432889	0.198137074368418	0.172724687002144	0.32015640063511	0.206694419351417	0.218770003004387	0.315966193098302	0.509506434818274	0.769829756562318	0.736261327292111	0.386406117341315	0.883996639928189	0.648724639557535	0.734093247459215	0.371654838124817	0.87700880514613	0.550306341515607	0.725295297559447	0.310534150172521	0.577994100691005	0.612251935617185	0.459287189389977	0.341784805909714	0.472471854346881
Canal associated neurons.c	0.710010873920892	0.599634525624806	0.892677403120282	0.909927913944487	0.903662538034808	0.540543862657767	0.574059125156467	0.902219259858418	0.752806394172563	0.90084245464552	0.917210982892931	0.410733968944642	0.674036705185076	0.606669986075039	0.874062313901351	0.911208388801403	0.793887186291022	0.686525043505538	0.685909424560196	0.891019744941583	0.564920593575585	0.579005678307208	0.511307588708324	0.825850786435799	0.607212197291536	0.893053809672097	0.609705899528369	0.712725685547752	0.240796165351393	0.307002556016772	0.283606579989555	0.256481487350397	0.212380473074987	0.274804466842419	0.28674614700083	0.237018730613012	0.316966116856069	0.179559650258005	0.17214090838571	0.149080501467545	0.215673305054281	0.176777941330427	0.216973611683966	0.225730941596568	0.180208704265927	0.208150959453776	0.178475700885668	0.215449295819253	0.148135103513355	0.277806770331857	0.229348532101991	0.161761185575158	0.278158860277658	0.174701558618159	0.320544574881265	0.452147844637945	0.624360894889848	0.910846259701341	0.936147226157564	0.923455854255516	0.519402260689238	0.462000915803687	0.575767729016064	0.539889731060153	0.36581172439645	0.898268585025845	0.503212702389598	0.427537879866934	0.392115174335149	0.588343398547997	0.653278433344277	0.227742201751503	0.671624940536268	0.659285925293514	0.325647399151395	0.34718271171595	0.358774664740002	0.341085082185027	0.224004067040104	0.419100319375721	0.314039426717479	0.288675374827788	0.328664753437023	0.341474390458339	0.538599961167634	0.441742434313604	0.353326032527882	0.75343285153853	0.915172015231963	0.851579075263724	0.708319750728218	0.347297858368074	0.491436247057556	0.639345859234579	0.676522633412075	0.558066253524972	0.429671920622991	0.79359058121647	0.574093531929927	0.334041874254126	0.477047131863119	0.555256059037834	0.146056640173708	0.37943947126538	0.899004126097042
Cholinergic neurons.c	0.728576495176572	0.767287228010063	0.909927913944487	0.966382760389944	0.964154607228717	0.74965026786648	0.75462556522654	0.95627506252457	0.803739323636259	0.954427679468293	0.965794863511717	0.0474387978432173	0.89532811846016	0.706782599892295	0.953842142566659	0.96334157611844	0.895537917448707	0.783483847007197	0.870684533581621	0.955887832952658	0.605962683141637	0.319537855583166	0.47210848236206	0.91068874275977	0.286986688179612	0.946846102336769	0.375152187749641	0.518167402502413	0.0469462920902033	0.435358060924204	0.161165787310125	0.112797683129223	0.249376874517612	0.152567198091298	0.232812563749096	0.0546975227745255	0.433517464194632	0.195665941405592	0.271381043681549	0.367462227024823	0.444987790152652	0.122918912211262	0.121425890277258	0.36410889332104	0.240768148117507	0.376919483894903	0.158599741582615	0.390005210483761	0.220272430436696	0.15771607252937	0.134409899487518	0.291227512174785	0.176584091074738	0.159692877853235	0.490445278679741	0.19965945283987	0.732539433862289	0.960582168591298	0.980804025449212	0.972767932502469	0.275421624174966	0.279647403276461	0.750492240120527	0.343639923052018	0.151932182601676	0.963376732269824	0.859770413208833	0.640208258710321	0.139057922025673	0.345421713973298	0.426889863764126	0.229344429951199	0.80505542592654	0.792206538416954	0.324285148004504	0.0550636093676494	0.0760820169369425	0.234694959099626	0.221027969598705	0.279885948931043	0.174182930061226	0.22037743381633	0.150164736494906	0.198244690062226	0.572349125122287	0.328496737562562	0.138040455266573	0.925318241165508	0.968436821364453	0.949317681524024	0.944800012373608	0.252595452361837	0.594645896390307	0.52613776284441	0.851822753852734	0.328861778585879	0.649550855000407	0.908954652718034	0.645980285494628	0.363160653592608	0.773640409911958	0.884317042121262	0.584975386506869	0.343356093697265	0.951507725994964
Ciliated sensory neurons.c	0.826236378591152	0.676607221641198	0.903662538034808	0.964154607228717	0.976798793099253	0.760272587801937	0.697967636099783	0.961405955449357	0.834235877739735	0.958012759669147	0.963946584525256	0.0574978120796318	0.86835799702912	0.836697147784677	0.956878315904085	0.968809043533513	0.924442546057263	0.842892287825806	0.915269775250738	0.959320198741059	0.753433712399315	0.449295271876256	0.378774164898623	0.914202940195526	0.283789321434191	0.950315614092514	0.406227384856389	0.803849108414498	0.0599258952491388	0.389141926249435	0.17757287253496	0.137428694379072	0.291779059874291	0.139464481467547	0.231496850237654	0.109492884304574	0.431721985168886	0.181550356473709	0.307742657614911	0.337488945837183	0.444253838479694	0.128626177093218	0.143991045575103	0.317726963038665	0.207711429055645	0.26720531011862	0.187158088277268	0.339598065370679	0.252162030953109	0.170250462082961	0.160373310404311	0.235069838036335	0.181274761448219	0.199783669254949	0.433371858027843	0.189112298056003	0.663224376577329	0.964723204667497	0.9650703742375	0.973167574295836	0.277233220264667	0.279313810864893	0.869929360172159	0.301766689275107	0.202352868039901	0.977074005662146	0.855786883779271	0.789657757463819	0.176445083634469	0.460656446783755	0.666753540363738	0.227278550827445	0.702028180766076	0.710016228879852	0.307426356240744	0.0937153314130224	0.0798577757371511	0.296363525466181	0.242914796824565	0.363693754342707	0.218185410536251	0.199655566255959	0.175063467730816	0.246320614516818	0.501398733283526	0.494443811259234	0.167567145149991	0.894722248091707	0.949618742264658	0.933647019392589	0.928687544517737	0.248201240663224	0.573936930852718	0.676969746093879	0.92479376906855	0.371864017624629	0.725945415636541	0.950153276312075	0.653981380837656	0.380697440472554	0.711084303708462	0.855433262814483	0.432464903557667	0.335292524335683	0.954530518439433
Coelomocytes.c	0.722088189173203	0.593121661988226	0.540543862657767	0.74965026786648	0.760272587801937	0.947154781125293	0.490515622470913	0.76542946119084	0.669443167226522	0.817079969522115	0.761724847271899	0.396380296564496	0.587404961895922	0.648488158104688	0.731107652430375	0.759201644450985	0.717167318556223	0.777088624120445	0.607391148147778	0.751551178326194	0.793320220552602	0.547868751608083	0.39797231079206	0.648282764127019	0.393763646172853	0.709349007739976	0.417336199850411	0.623206376130011	0.2677240977275	0.872867680505891	0.214765453759337	0.306601670979881	0.530807192507332	0.237951098988507	0.464539927549389	0.321016207141732	0.556981048906599	0.280446823718449	0.365011500252749	0.253789692818879	0.535667215453872	0.307290706355861	0.283096248938672	0.500178109620473	0.329492225894818	0.408477701930786	0.606511518503881	0.309762138409735	0.345431181711263	0.22618361870598	0.298167223755665	0.452162602930952	0.251372987791577	0.378767640347192	0.414820822701295	0.447092275054301	0.841998710757187	0.693467716140431	0.721201561839956	0.777548890764298	0.600076071286904	0.475567269910641	0.749540607064868	0.596704295149662	0.336655330891781	0.827438677707306	0.692629583668096	0.775287226173117	0.397731384480648	0.587856483162483	0.748023224935771	0.681778963834498	0.496670590934936	0.528730000312133	0.326761216223144	0.283528944527212	0.27807252246857	0.396559569229215	0.430846824836787	0.292151483149972	0.293198696461766	0.390227738766404	0.355246866569863	0.350497034662692	0.222950489279948	0.395142969345873	0.342772190742301	0.432223447711791	0.766134783725854	0.774242835362708	0.702450266902737	0.417035143471847	0.786666675452745	0.900089886129761	0.716226508067757	0.532208654403353	0.528909108747632	0.821053202925597	0.846192335101013	0.483251548685828	0.697588905719819	0.657713177314348	0.58782370960168	0.562507585277398	0.467956679731378
Distal tip cells.c	0.502431967517299	0.68018207650016	0.574059125156467	0.75462556522654	0.697967636099783	0.490515622470913	0.347800635557786	0.701883236283572	0.50329631910194	0.801508269614953	0.741045862810556	0.522662853980154	0.579827617412413	0.459560208318647	0.757333871982296	0.759302982144495	0.676003796714127	0.539594250338653	0.544652683471829	0.75403326966965	0.503679545074427	0.438939016980066	0.317441471898958	0.590756849151513	0.330863975517961	0.736307155730888	0.351969927446485	0.409498864058653	0.284540074047953	0.372795942690384	0.286140441406985	0.323691231653356	0.424181193058442	0.263919822949958	0.131166969505144	0.350985261380984	0.368289011540391	0.185195395664274	0.0724360449543326	0.194481184519931	0.304101982251162	0.122207959688484	0.241077197509579	0.302485830733381	0.210510488931256	0.273302682741289	0.102276742593402	0.171269929647775	0.251426355062656	0.302114897485707	0.183926586275021	0.123589318688283	0.247087305275087	0.348714536113412	0.281662431801457	0.348279552332535	0.72524160123865	0.532609270016214	0.67741169438249	0.724869324908451	0.709666917670219	0.453220033977518	0.756929722030929	0.720135192505209	0.4204660122961	0.610709043255981	0.578026075871267	0.218111621808405	0.411829581619388	0.78590793950872	0.815708218177822	0.311640043730137	0.711243489978097	0.702609091488759	0.424296427299989	0.312982474029855	0.299715790303943	0.358396633146304	0.261277154965262	0.334178395620294	0.273850552792501	0.38968839000714	0.337757070381255	0.310700751441864	0.437752917492089	0.255059768939717	0.293165283938546	0.423384280932917	0.795079406783225	0.697833328255472	0.74467149385222	0.426672916574915	0.458660227783193	0.448404106440703	0.900027933305321	0.617373425811633	0.436962981613148	0.708422097062466	0.562820032686658	0.468397802730176	0.742888187800248	0.787030747553544	0.582434984710638	0.616609368531304	0.672431266265104
Dopaminergic neurons.c	0.764420832130822	0.702965228123754	0.902219259858418	0.95627506252457	0.961405955449357	0.76542946119084	0.701883236283572	0.959919839679359	0.787850011554952	0.948075194349433	0.958909844280105	0.0192169266780682	0.896412063952998	0.745859676522138	0.948326159837954	0.95779297169608	0.903299594477822	0.856852096011684	0.869010809061391	0.950014578888961	0.618286749112877	0.36775151892908	0.456415923244338	0.90465395708125	0.26440745799785	0.940997129154931	0.327302664400531	0.492837762658042	0.0972374546509722	0.351244512534725	0.172894409425784	0.128978353732774	0.31175667052945	0.152811454986393	0.305190846408825	0.120748022148715	0.470650407689438	0.176566290475688	0.356130180159818	0.372803772528221	0.496811040627621	0.156140727570429	0.138830292163274	0.306680277848931	0.310246766274997	0.429261251596834	0.253186392815676	0.441657977948887	0.196115310999187	0.176794396309124	0.170667067842436	0.32864810622242	0.177691121255596	0.151637806626869	0.519044794639056	0.193629869802498	0.732174864086588	0.96795868777403	0.965949360184724	0.963942122469377	0.293079624372843	0.305732170447766	0.695353521433188	0.319154850223942	0.146803756577538	0.97387083941841	0.689476659885904	0.706130027350298	0.195603503529635	0.396425248566626	0.532591623871749	0.30004434848382	0.7706427519759	0.772834772720626	0.362085027008533	0.0813534439431938	0.192388248719662	0.250478460088745	0.232296036832873	0.299526006746002	0.217694595990849	0.243364207167877	0.134077042974839	0.221665875102807	0.597080589076362	0.448808308440781	0.156794595839352	0.930695913072824	0.956769398911244	0.951967621200656	0.943918139308921	0.285879688156393	0.601260097888412	0.58979081768762	0.872033370458624	0.312829365956247	0.687390675231917	0.91065132786051	0.606012241245497	0.273981430603142	0.828131001091367	0.842778796586884	0.360104170605362	0.450107566209733	0.961800761434902
Excretory cells.c	0.835571848277118	0.527796356972764	0.752806394172563	0.803739323636259	0.834235877739735	0.669443167226522	0.50329631910194	0.787850011554952	0.866537578886976	0.772890170522955	0.760761616450643	0.325810281329437	0.610583373867218	0.923143479071738	0.778437434779419	0.79520614138582	0.901209690994979	0.788570536586771	0.789078781085006	0.768851153461773	0.895701003425932	0.774819123363534	0.408125358577166	0.882480747489369	0.517381563581872	0.728735153494896	0.693211979926941	0.746292373139976	0.217439290680468	0.485400706821529	0.263455928788923	0.237801277076641	0.504469943184919	0.254045496790004	0.489493689041882	0.240999713138267	0.649790240454327	0.246077920705378	0.502025394812332	0.178805698986422	0.604240269348069	0.157588247727753	0.264578615212731	0.384574765226319	0.221674522684773	0.306464896713975	0.442928053870823	0.735491127540421	0.22145900620894	0.305026042645515	0.382004875544789	0.591451650391644	0.261860572523706	0.284012508864071	0.516572497257833	0.401429708050531	0.970847539558452	0.829624168944686	0.821088890381233	0.860802868499527	0.619839635598173	0.452939347356711	0.931933259028747	0.793269245382666	0.353053908145588	0.842259993720276	0.848148619792216	0.655573912902283	0.359609079374907	0.771729329095506	0.863974776168393	0.658944544514602	0.653084198264921	0.669178268716555	0.370769844610573	0.219633318518045	0.307572144639163	0.297047887366958	0.185660556701377	0.32955241578624	0.248858376985617	0.357439335109221	0.254493210938994	0.301622157498698	0.437997648328605	0.41001120384503	0.269375051419897	0.578512057105564	0.883288351895294	0.89744349449846	0.861033962690589	0.472472725789792	0.882927577853835	0.912977443898942	0.910166997994679	0.531759002331979	0.760207056716349	0.86730028404192	0.91289238290901	0.531046692870697	0.754078253921079	0.87652226155295	0.806166174130484	0.541687554127428	0.876609981057933
flp-1(+) interneurons.c	0.786458486495157	0.657998210884484	0.90084245464552	0.954427679468293	0.958012759669147	0.817079969522115	0.801508269614953	0.948075194349433	0.772890170522955	0.953447960490214	0.956615049754635	0.0400561047648608	0.873913357978833	0.752088691469293	0.945340121383102	0.955664427055982	0.882400813625778	0.845812576074054	0.842793235366907	0.947232183423119	0.618470864108766	0.314540113693682	0.358926248104463	0.887298870856578	0.255357427729823	0.939131087469206	0.338605258324014	0.466099615098716	0.14727388662518	0.604073548227768	0.250793252761359	0.211764680134851	0.425308323841572	0.222419093380154	0.407751593533453	0.159851909926151	0.558144710529289	0.23867078066485	0.460025303335163	0.373471195673856	0.622458675497964	0.180344025877755	0.201022803487592	0.445262243316357	0.270570525625644	0.595193148695057	0.327493492387841	0.585435417164525	0.37215484946801	0.255576203113381	0.230787392912445	0.482658502824407	0.29503741496522	0.300961694962329	0.585215898090628	0.187101381876163	0.751210550953186	0.947011864615327	0.968749159286894	0.95976388808093	0.363566165297	0.395554014580195	0.590487064379271	0.292603574487261	0.277362296780423	0.956432307485619	0.90696143272108	0.708197512691932	0.176428585627365	0.445178662314248	0.560809423994984	0.281745252467736	0.783174188124977	0.743324052322226	0.368761044724631	0.150468214831725	0.137110383259151	0.272222220290286	0.286963468221697	0.367825124410936	0.20430717334021	0.327733807774106	0.256588673454871	0.30717036351348	0.591427711155977	0.375004616032386	0.1441873516078	0.903084596820322	0.961620232652142	0.934276816236387	0.922925336107554	0.300323994066194	0.609683766323316	0.653961764706394	0.762269246169576	0.359715100141116	0.713509650594336	0.901847435359709	0.743657333591083	0.3150586067726	0.838629142024824	0.828822937625755	0.678197098543232	0.471162700363953	0.951193731664255
