Brown.fat.m	Proliferating cell B.m	Ribosome-gene-high cell.m	Mammary gland in lactation.m	B cell A.m	Neutrophil A.m	Proliferating cell A.m	Dendritic cell B.m	Erythrocyte A.m	Neuron B.m	Monocyte A.m	T cell A.m	Cd8 T cell A.m	Spermatogonia.m	M2 Macrophage A.m	M2 Macrophage B.m	Pit cell.m	Fibroblast B.m	Oligodendrocyte B.m	Stromal cell A.m	Cumulus cell.m	Proximal tubule brush border cell.m	Neuron A.m	Chondrocyte D.m	Fibroblast A.m	B cel (centrocyte).m	Endothelial cell B.m	Urothelium.m	Smooth muscle cell A.m	Stromal cell E.m	Macrophage B.m	Intestinal epithelial cell.m	Gastric epithelial cell.m	Mast cell.m	Erythroblast.m	Renal tubular cell.m	Luteal cell.m	Proliferating cell C.m	Neutrophil D.m	Testicular cell.m	Epithelial cell A.m	Monocyte B.m	Chondrocyte B.m	Trophoblast progenitor cell.m	Stromal cell C.m	Endothelial cell A.m	Fibroblast C.m	Erythrocyte B.m	Neutrophil C.m	Dendritic cell E.m	Endothelial cell C.m	M1 Macrophage.m	Adipocyte.m	Alveolar type II cell.m	Skeletal muscle cell B.m	Fibroblast D.m	Prostate gland cell.m	Oligodendrocyte A.m	B cell B.m	Dendritic cell D.m	Proliferating epithelial cell.m	Myocyte.m	Epithelial cell D.m	Sertoli cell.m	Osteoblast.m	Smooth muscle cell D.m	Leydig cell.m	Neutrophil B.m	Pancreatic endocrine cell.m	Premeiotic germ cell.m	Pancreatic acinar cell A.m	Oligodendrocyte.m	Epithelial cell B.m	Macrophage A.m	Stromal cell F.m	Hepatocyte A.m	Dendritic cell C.m	Goblet cell.m	Cd8 T cell.m	Chondrocyte C.m	Pancreatic acinar cell B.m	Spongiotrophoblast.m	Macrophage C.m	Kidney stromal cell.m	Dendritic cell .m	Dendritic cell A.m	Smooth muscle cell B.m	Hepatocyte B.m	Erythrocyte C.m	Stromal cell D.m	Astrocyte.m	Smooth muscle cell C.m	Chondrocyte A.m	Endothelial cell D.m	Skeletal muscle cell A.m	Alveolar type I cell.m	Hepatocyte C.m	T cell B.m	Apelin cells(H).z	Apelin cells(P).z	B cells(H).z	Cardiomyocytes (Atrium)(H).z	Cardiomyocytes (Ventricle)(H).z	Endocardial cells(H).z	Endothelial cells (Blood vessel)(H).z	Endothelial cells (Blood vessel)(P).z	Endothelial cells (Heart)(H).z	Endothelial cells (lymph)(P).z	Erythrocytes(H).z	Fibroblasts (Heart)(H).z	Fibroblasts (Liver)(P).z	Fibroblasts (Pancreas)(P).z	Granulocytes(H).z	Granulocytes(P).z	Hepatocytes A(P).z	Hepatocytes B(P).z	Macrophages(H).z	Macrophages(P).z	Microglia(B).z	Monocytes(H).z	Neurons (CNS)(B).z	Oligodendrocytes(B).z	Pancreas duct epithelial cells(P).z	Pancreas endocrine cells (alpha)(P).z	Pancreas endocrine cells (beta)(P).z	Pancreas endocrine cells (delta)(P).z	Pancreas endocrine cells (epsilon)(P).z	Pancreas endocrine cells (gip)(P).z	Pancreas exocrine cells A(P).z	Pancreas exocrine cells B(P).z	Peripheral Neurons(P).z	Radial glia(B).z	Smooth muscle cells (Heart)(H).z	Smooth muscle cells A(P).z	Smooth muscle cells B (Endocrine pancreas)(P).z	sst1.1 cells(P).z	T cells(H).z	T cells(P).z	TNFalpha cells(H).z	Undifferentiated cells(P).z	Unknown(B).z	Unknown(H).z
Brown.fat.m	1	0.404653422758549	0.356883898750532	0.86680727224244	0.311875508795862	0.330773120868923	0.44171191692739	0.290691254903443	0.612776495874025	0.205657842598858	0.355892600223462	0.207489392507954	0.168787471632287	0.649400097001477	0.351415578955867	0.313821960831941	0.758254899656087	0.273880110152276	0.3925224845225	0.288166313872888	0.542345893824213	0.967781605898076	0.408363203790926	0.221111958047089	0.374333417920616	0.291154244419755	0.241026808452118	0.750682922733621	0.358726579069111	0.234892703210279	0.421985880423057	0.821411516234715	0.794656703512154	0.217454251494219	0.661440418271937	0.899734480737656	0.776388824254485	0.287996193599647	0.346850680494684	0.631598104939918	0.636532928864493	0.255660836827436	0.229446121122361	0.400412939419555	0.428078302484378	0.314765867904348	0.466239353590638	0.322950759395387	0.392253946225957	0.191782085934572	0.363077304803045	0.59439223295306	0.984720421616981	0.422521812313877	0.842190505061591	0.283123367594553	0.670782801195682	0.290987104424628	0.270349042230082	0.362212854845632	0.567242478413747	0.360336963032166	0.300440259699969	0.384031560499097	0.30289872482556	0.35812195037042	0.903806372994387	0.460628749554163	0.373917431447395	0.677299338913075	0.529366960721615	0.475521753313346	0.213696319983834	0.458009095241061	0.0915841211885539	0.967094700650986	0.149996179947684	0.461434261821128	0.152991847153935	0.407407652407998	0.528324082017125	0.249667816508934	0.157289382569922	0.654116044803556	0.241392362589028	0.194278713969355	0.358398659770374	0.949225377630485	0.437833802765181	0.615132565083679	0.690806531474335	0.433774614261005	0.300970333182212	0.335150590611588	0.958420031345195	0.40710615535133	0.760301795627603	0.296383599254213	0.178040615673677	0.488888848347061	0.208195514274059	0.853916601209412	0.918408768388601	0.208260243554659	0.185920103406837	0.443893207354145	0.218551020486521	0.570071542420033	0.495180330944361	0.27347571594924	0.549776306159863	0.63050384158105	0.260770472213129	0.567240269242898	0.959874523054712	0.541703872643958	0.2358044995084	0.476159162865226	0.343150444596291	0.21188725973967	0.707948474066291	0.75175103566257	0.679004178676521	0.643207257764893	0.676650842758746	0.438531464974306	0.638677349607581	0.705402959762411	0.982064762918615	0.919488652890595	0.557739069140652	0.694621099799365	0.293513250515085	0.557443860303367	0.53300054903823	0.652813001424627	0.283418292706957	0.386049482504431	0.274874938880638	0.708088862964601	0.584990166416069	0.420671771059632
Proliferating cell B.m	0.404653422758549	0.895173845355475	0.432015530387901	0.217885148097054	0.102596955186537	0.174574111061497	0.865629421198888	0.112137864994676	0.5711938584262	0.897805439726272	0.0703603563397917	0.122625037556344	0.15097498175522	0.55853048623228	0.168419112305642	0.476361397661583	0.437203797271862	0.76214279366156	0.609331246156795	0.885449598379752	0.761224414122172	0.452430882932421	0.87093264451846	0.761148411808285	0.856553801296373	0.408288951445913	0.809418651832125	0.470458300969873	0.827874855201743	0.817153012451581	0.0603006325836723	0.232663968877977	0.300088913593984	0.311395055137171	0.508377542740391	0.370765874614224	0.64054774661083	0.834806813863526	0.362670291562052	0.473022291639374	0.260496835224615	0.434083679320869	0.735636340658161	0.646036050457917	0.904572744336943	0.612241927698518	0.854330694168904	0.884989241360018	0.0540406386260662	0.250002880088631	0.134533925245295	0.0778616899903702	0.58496254784937	0.168270664901312	0.856078108982876	0.865570640363752	0.430164441927076	0.698966468820273	0.156610323627435	0.0409845218895317	0.815461214927396	0.838190434776873	0.652573844508275	0.811966492655665	0.87040828571313	0.878261459961609	0.826969681639716	0.324285623327814	0.74437135058826	0.785358802904943	0.844357077753366	0.738678882921667	0.438558326237462	0.188981238601192	0.586314981808005	0.420229444011871	0.101161716773267	0.185557222224185	0.262162239102254	0.677865830428017	0.658272979582315	0.394572066626077	0.0905556820921758	0.546900462057645	0.100181197655131	0.103318105427173	0.724438652668191	0.157412082033969	0.271825185072173	0.882504867573954	0.679169287180863	0.587832288104826	0.846620938994878	0.678248922702966	0.538290414657658	0.180153189253631	0.537927836696578	0.333844536797929	0.142800715595512	0.096672820900741	0.0714098440063663	0.587249513456331	0.556305097303564	0.706568675299215	0.616628416430516	0.385160266595864	0.683688634411033	0.468902452057584	0.186241043772784	0.883957603616391	0.904602863369587	0.850466233739034	0.0795528752151622	0.0660116937267646	0.342390333827918	0.834905630220112	0.0523631502383286	0.0577338290391208	0.0478578503094428	0.0835291634455057	0.619640552877485	0.67574414051351	0.24290676730604	0.547490448442311	0.483680088522698	0.638223253762786	0.51428743214023	0.448111766714475	0.320785517279536	0.408171337184139	0.453781471768098	0.870299814372255	0.830550192518215	0.861382339516942	0.913524152696861	0.483096168182514	0.0681892736306366	0.0486493805843699	0.821513084141684	0.485054929208158	0.631604129930214	0.694825891571942
Ribosome-gene-high cell.m	0.356883898750532	0.432015530387901	0.819096140647273	0.48688263445146	0.842834746929615	0.873805038621437	0.547945061380386	0.792003802230647	0.797285596375899	0.489055668092032	0.836903279295854	0.814074716981496	0.799477554733152	0.527871647957886	0.688377050690757	0.721877725677623	0.474498543262084	0.143871762056467	0.219604158687143	0.349250457435083	0.330317920454884	0.425494234648548	0.291272846713907	0.143029190692794	0.0644192465929956	0.813806057775712	0.47027872393109	0.321996622912037	0.17054691101594	0.109975207641973	0.759727077234938	0.6179676418869	0.390163316395147	0.824230148378267	0.782904433053537	0.379521153277652	0.294389307404475	0.588490220699865	0.774361763766921	0.451904801144096	0.496472656557148	0.745180022330166	0.543728392521969	0.633980212066396	0.179835331272696	0.240125433415222	0.0894418422787315	0.490761883886013	0.872148530441648	0.670020203895905	0.607994891964548	0.740559641356016	0.226371704815764	0.344027874283991	0.42171999641315	0.0610331197688527	0.371359605866878	0.150429247185205	0.694771712798022	0.809290777046531	0.568477012906947	0.384495251867488	0.0929380507831181	0.48260376294944	0.152594882585536	0.394353333433132	0.3314539221544	0.806540206175322	0.182589890016567	0.68321154894546	0.61498566877225	0.214973399243086	0.306855956711731	0.819874758008206	0.355482711838974	0.639279642393699	0.726559529469245	0.630124986831078	0.836111617012434	0.567039548306697	0.088882885619	0.572823257767166	0.755909751181978	0.237018722503294	0.832367367987719	0.729656539950485	0.150046485487921	0.496158477418008	0.854689755368879	0.103255821297113	0.0750573295532183	0.222557663894949	0.485200551337019	0.470689188193403	0.685120560562872	0.139553928448227	0.499457484364947	0.679466022416946	0.860569791543959	0.82740940820017	0.857579935913928	0.541589106198876	0.664804011298576	0.292292275936429	0.309719503400273	0.242532712240357	0.261230153254663	0.200942186116026	0.821258648806493	0.164949125106097	0.0487389846821549	0.123294333283283	0.862043520225878	0.862900796996021	0.308376588616755	0.115258207585478	0.849917430091359	0.845032824616782	0.851872663637148	0.846235338390273	0.497250770479169	0.34712206090976	0.330446050905976	0.490580328643204	0.598928241618931	0.620002709357992	0.434158649842132	0.440895120347272	0.140934285308734	0.289701064443579	0.146477738255029	0.388263394112347	0.265005094668441	0.106630803784815	0.115295256895679	0.619654817884637	0.873269303413317	0.850252326745771	0.229942848846418	0.289461689091044	0.245054691129747	0.323267574407116
Mammary gland in lactation.m	0.86680727224244	0.217885148097054	0.48688263445146	0.998954020013803	0.520858015224949	0.614631702306218	0.340489916889242	0.512571356408729	0.361998174492893	0.353132489392043	0.540240142741057	0.557734434103049	0.558940339225758	0.600353406252533	0.430033002471978	0.372083332749161	0.907045469637178	0.238772813469648	0.77611218269103	0.24132640037871	0.500555600631276	0.926667779458638	0.486409668570349	0.321608612711134	0.26899039185891	0.390039446691061	0.178683930051821	0.77806676397841	0.273298925232146	0.16249713458005	0.54773821257644	0.8311556479479	0.882511697716567	0.545308890560641	0.401317049876439	0.899688558318395	0.66735626231955	0.470212743407121	0.291173367674447	0.727476883118495	0.862122775800233	0.420701335431259	0.175635705331541	0.341911974114041	0.287577198641274	0.165862988530284	0.203902410673799	0.336925871192875	0.543733464598793	0.560363699074227	0.391297360308106	0.623624462736239	0.837803376215857	0.777861756254542	0.524067137870781	0.219444380426007	0.967875284628808	0.569269246084347	0.742321996410321	0.616182887217138	0.535288458804864	0.11752508073857	0.489613521840531	0.557494875095347	0.140706347692904	0.218595677852529	0.753281032730869	0.633151830664155	0.567342789215424	0.427341929071471	0.613933728827355	0.372278213215154	0.59696683760859	0.576970716289534	0.307839615771407	0.936564741254469	0.629307912092642	0.8079132273398	0.338087848305402	0.376137070385395	0.630262878765861	0.545382270432871	0.505989712064695	0.862827278621076	0.592623007730525	0.504466871505331	0.195957939170628	0.914315342754684	0.45913955058584	0.308267704026522	0.736472640974533	0.599728032529677	0.320310249290706	0.197230613442943	0.630283580867622	0.465848795327544	0.927497476378374	0.553154793147807	0.202941548158988	0.311506850420285	0.469932183517989	0.37849511238656	0.558747608771444	0.170751559983897	0.105147277122436	0.286984492575138	0.127677668212089	0.263981423801863	0.610933323081405	0.187183088003112	0.27126747011802	0.317786139031883	0.537363533817839	0.628083736204448	0.931456387870377	0.251437453671753	0.524027014515704	0.581843387940902	0.464900106306427	0.386709683107551	0.50452842253773	0.589090202793161	0.690779489785044	0.782697664363458	0.834433053418419	0.675753831824124	0.772330695762784	0.808989065722169	0.928424963217019	0.861993159012059	0.469155249504484	0.46038224620744	0.133999042858352	0.241463763892354	0.297272609998284	0.824570972622249	0.430891242183292	0.564121615117467	0.289657364827202	0.739622986984072	0.271045464414915	0.229948636293612
B cell A.m	0.311875508795862	0.102596955186537	0.842834746929615	0.520858015224949	0.962102441661411	0.933491525450078	0.194089688334047	0.898103455789094	0.703067104341906	0.278844559557337	0.931222443595851	0.922035066738023	0.921210931049721	0.344797141414946	0.862000544243934	0.804802323840687	0.421095219764254	0.414481457401757	0.315868604462854	0.0590862373320252	0.16540832845795	0.318385618628797	0.134883334701765	0.123865877563114	0.107773720125873	0.878538993532362	0.2380914347681	0.355314650061116	0.0866357296880281	0.217010471516494	0.919003951084351	0.69924408978526	0.474726086919033	0.849156848664954	0.761101226631352	0.38134591672437	0.186934812027302	0.228854288809342	0.805790976058228	0.318185592782924	0.723133538367585	0.822081619529956	0.362417942006583	0.522253577362399	0.05360659296902	0.533457946545578	0.231865195327635	0.160069615478464	0.962598456884443	0.856163357257497	0.818613241009789	0.857801605175481	0.136109141816362	0.623345326361247	0.0654560304593925	0.115426608897025	0.310053074953088	0.283215540915207	0.856048542214869	0.933791917024159	0.23621671314622	0.215616458434086	0.181733856350791	0.234249768102495	0.205387485297571	0.0870200733364403	0.205630507900391	0.850520897427419	0.164446483841803	0.500979662418818	0.26532908287877	0.162135720754512	0.374086390489861	0.894632700629327	0.421451808357883	0.489370558111615	0.88106065587645	0.750401361000027	0.89415463157166	0.318670746901869	0.225363786567465	0.670029968943487	0.855626730075333	0.177989080528534	0.931464135649111	0.8761550481789	0.250282295447753	0.606409563116908	0.755770955818611	0.0691721771791899	0.155537473254784	0.583311423448037	0.171007961018187	0.53035755821533	0.306949390065754	0.542554462944707	0.434998512952341	0.806767234208121	0.911187192787569	0.918880800106803	0.962721370303922	0.304124118909315	0.306731604162202	0.328717881732159	0.515014528595918	0.55568176260326	0.382025954388056	0.491172925065165	0.751646085517334	0.20625791805952	0.0940261616888692	0.0876442184273899	0.93705800182855	0.937193449158763	0.291950147984629	0.258137059209353	0.93389767510269	0.931192731117371	0.95412918943004	0.935526419262052	0.595399690464411	0.498865616246232	0.633898906688543	0.559339497037103	0.563838358587288	0.532732007102312	0.465441183651211	0.459239994857086	0.228355564382519	0.306380939496316	0.233853151815457	0.256423459686241	0.224314049424753	0.128931640944465	0.0850190166232345	0.593263550918278	0.960820017957505	0.9605367099458	0.203538116162001	0.408296642701922	0.285175612149689	0.276750206096169
Neutrophil A.m	0.330773120868923	0.174574111061497	0.873805038621437	0.614631702306218	0.933491525450078	0.970332846574384	0.253909492870247	0.888811471632818	0.827052086151917	0.21831671494693	0.945117687773869	0.903772675013531	0.883984661751281	0.432810564134768	0.843864661237641	0.807642806150322	0.550961070174165	0.180875024565418	0.261887378398589	0.118950504992189	0.191554213783878	0.387828059781575	0.12325033068703	0.0989163875599597	0.0578555999333583	0.889805510413774	0.268092955223817	0.383975945935236	0.0537091781538682	0.0841121449216604	0.935193575127013	0.74700413260857	0.597339641988853	0.904260938202381	0.82430214565678	0.368938892526499	0.21676810529498	0.327612302814151	0.892867631325678	0.430593118388306	0.663551344488541	0.845481497502227	0.617207575889898	0.764998783969035	0.0390097959890767	0.356943520304111	0.0518814672585749	0.257812114457291	0.984934747520711	0.761393155335857	0.806105763999517	0.878767704616165	0.23266365573866	0.697813424589458	0.0823440989903056	0.0468672350962347	0.388612038261629	0.187171955644594	0.803335750803245	0.934310788622589	0.337488635610494	0.188120245160402	0.124272676360018	0.328633488398794	0.115282835024121	0.20064731715699	0.159238950961339	0.891504169662432	0.109290492897874	0.535431839961991	0.311089492555146	0.215526350677941	0.461608079750565	0.92651735928755	0.655390276815199	0.627886802895282	0.844795582210596	0.749378827076109	0.903145251386863	0.541586898847422	0.121862422579679	0.770581392025016	0.857403208571277	0.213382241360357	0.921925424655343	0.853953619831491	0.100628549613903	0.668516885132112	0.954384056277457	0.0433595329776443	0.121701238022649	0.28852113600187	0.255532228484598	0.644340226741661	0.542282191749242	0.521565900939144	0.517130792673812	0.778003355877215	0.90591480644358	0.895407486953628	0.949491161312843	0.107537692313562	0.13480344491345	0.210764802948748	0.246464251217873	0.317930341855963	0.188787584517517	0.328149597094257	0.723252449905369	0.116100010767511	0.0543077829523431	0.114195901441384	0.965424414412859	0.977610771005799	0.413800864675405	0.287092517549967	0.946781580218903	0.953791204705685	0.946710790091572	0.941222386255078	0.504505962337228	0.44723934200705	0.519012881715243	0.507668913903042	0.591452044190943	0.628580672942012	0.445564346298194	0.446649381910316	0.292331148337636	0.295200866623198	0.234318474502614	0.295669228197322	0.250542630834828	0.0458139811901428	0.0529543906124402	0.607649428546559	0.953842709370577	0.958887578590161	0.188045498036718	0.322260145293049	0.255791707432949	0.146314611423522
Proliferating cell A.m	0.44171191692739	0.865629421198888	0.547945061380386	0.340489916889242	0.194089688334047	0.253909492870247	0.882247322761792	0.143355783996053	0.681177941398322	0.934475127415423	0.11333623910629	0.22630895847121	0.23916405959772	0.824864560535819	0.0648010246442924	0.365917308679784	0.604993198151126	0.459815424057085	0.792077128490799	0.834552033989333	0.718165095371528	0.706752857989364	0.888723234726693	0.589437830545489	0.695665656971862	0.464421544436499	0.756362200862682	0.439365945582622	0.666359685690691	0.602753207254815	0.0479444626774041	0.391622963462002	0.441281856186234	0.327838561890221	0.622132565985025	0.613550833165296	0.612567399078268	0.839848233214932	0.233942774205671	0.721722561719387	0.336782454446503	0.384352268093212	0.479046983563454	0.653123310681839	0.816335715429728	0.307309064949927	0.612201467314631	0.856234514616192	0.0869632862992947	0.148397981746099	0.0605757223501732	0.0791641835908404	0.477128386262877	0.175919906479202	0.839229897500189	0.656875878333259	0.58203284457829	0.817281034295729	0.165622430544671	0.0685455401026712	0.844761892535154	0.778715174782395	0.41058676288058	0.806106333442459	0.697655046015245	0.840095227101093	0.7899871631624	0.434408317449905	0.750807483455417	0.848071407221467	0.859682814738919	0.674763737615214	0.352091143382996	0.204021439223595	0.426103824693489	0.578124858711379	0.108650225879431	0.309140025098252	0.44630173134218	0.516753623105689	0.26297688535324	0.2659082055845	0.128140790137719	0.685064375996496	0.197505581076654	0.0741875575314176	0.50690668552729	0.18175169125689	0.291084195444882	0.743003878726507	0.769426279307089	0.365064176772063	0.830625983200711	0.550698910088813	0.5541267391698	0.143383132127454	0.723528996534903	0.3981676810329	0.0891424470402124	0.0605382715605309	0.0832236229169759	0.546867781917221	0.595800673674007	0.462136789011622	0.293922341743386	0.279426760243398	0.371734918941219	0.328028000247191	0.192837889208375	0.644343907348138	0.600581789747694	0.648548335338124	0.0920170445557605	0.095684033880272	0.41716296943246	0.537709934561489	0.106936780490961	0.120916261585291	0.145342030303911	0.112206100597381	0.902943023173748	0.886924723904864	0.316435955367572	0.756631070258795	0.69129404758463	0.7976451567749	0.72420606350409	0.671661720482148	0.216958785960307	0.456218888754334	0.437031064830903	0.918074319768455	0.586356578698233	0.597671237809173	0.756526068691586	0.711918143007082	0.112791787899154	0.112707844238934	0.607362496679217	0.564390693780179	0.573982022644075	0.416304222046347
Dendritic cell B.m	0.290691254903443	0.112137864994676	0.792003802230647	0.512571356408729	0.898103455789094	0.888811471632818	0.143355783996053	0.907257805446313	0.554294690346684	0.127663232037625	0.916683176156924	0.875177201372211	0.861884412221561	0.251763985783702	0.891048838748509	0.815097357004667	0.308632909329133	0.61489384157907	0.158095633579747	0.178914614253935	0.21589790590087	0.22247752724474	0.106183312331025	0.31463508325568	0.365846544617433	0.790607868563624	0.334818933008516	0.275601341536121	0.331857437566244	0.543109256137941	0.940542976202536	0.597074392067656	0.3868127494342	0.821779492250449	0.632959364487252	0.321649834515383	0.159515188266862	0.176389418429108	0.804384742466526	0.281426829866903	0.698997067088271	0.81962843888908	0.416899809870162	0.512658565355982	0.199365110500565	0.651873472791768	0.477570271027159	0.245599362801072	0.932132465360828	0.830601007575651	0.877249427572457	0.881450370981451	0.137818201051559	0.739393011676835	0.0823949121393534	0.421210821669402	0.185755230435535	0.24557034254878	0.801450810871663	0.937196907385627	0.164252156672836	0.34776170493412	0.428168466173982	0.186237419956062	0.47329802574536	0.171096015122017	0.109551998722501	0.802848352536092	0.220385152413422	0.263753662781782	0.199963670649845	0.410510866580787	0.638729680001494	0.880711386838866	0.622299707523206	0.335006614998179	0.890322930876175	0.684088102129485	0.783732586261686	0.254012911531882	0.542534788518137	0.745310190088677	0.873692630073787	0.261395682477785	0.893538069369703	0.88669361039106	0.420714931245878	0.700568319454736	0.759545317467412	0.288372510285391	0.0813017543061711	0.607023995009909	0.104102471546035	0.63981514693731	0.304010136490725	0.61434181836443	0.335892939181201	0.764101450789136	0.909853131230842	0.90152126440569	0.930946123559779	0.213256418222151	0.173266687522948	0.626082779278047	0.732053441972803	0.623279069659112	0.658062675852238	0.691400322657786	0.709949496843825	0.509814380230357	0.329650278365401	0.358018130519762	0.932415530254609	0.926851149503526	0.165792357310012	0.516544032770824	0.934096277867242	0.942382973046318	0.952736589058039	0.925896985913726	0.217582907415768	0.163049036931759	0.641834736835831	0.368318723772115	0.384328915750692	0.386780782896971	0.302822188133857	0.270293200802176	0.201682915950669	0.241053446123257	0.30837552455336	0.129142006424664	0.480932037546443	0.344134502007062	0.329502898010103	0.413874462728129	0.917731787102138	0.92944641357815	0.481436413944893	0.267200536952972	0.328675039699764	0.506295172857779
Erythrocyte A.m	0.612776495874025	0.5711938584262	0.797285596375899	0.361998174492893	0.703067104341906	0.827052086151917	0.681177941398322	0.554294690346684	0.960917790940002	0.679830132447724	0.664193667759042	0.660910635343002	0.625468279882359	0.842825252135047	0.297941851755382	0.560178596417096	0.641446704654347	0.0472192662005909	0.481516256886146	0.421477396471227	0.361025894300744	0.5770293557747	0.526444860795373	0.154717986485513	0.110467658376153	0.771052349976157	0.456136852610187	0.310235212057305	0.134474957810312	0.0631706847950812	0.367912283287123	0.580413074066173	0.576854852321576	0.751447778122198	0.892593883559524	0.349520173960338	0.274947236131422	0.673827972817817	0.731210006354658	0.689236325759259	0.264956336995952	0.670231106018124	0.543498947658361	0.58655544533005	0.193718023550958	0.120089401925628	0.108123328836815	0.729207410577097	0.756500095793709	0.275797076507986	0.241921739647485	0.437464800294978	0.333351775948549	0.134130987829711	0.432336132172463	0.106456515710499	0.356912990035632	0.263289817066483	0.486641986778543	0.537017668052351	0.648194000689634	0.415528226059104	0.132064821549871	0.628450393423506	0.0903052772534055	0.543536837422073	0.478956433919571	0.797771143737346	0.383269394576125	0.796686637924497	0.756013787320604	0.217882595266459	0.210648101044551	0.758304472731161	0.228593221798777	0.852749680120415	0.383619381754475	0.525445506779783	0.791458204230286	0.651763716034325	0.138793539546848	0.225329602037293	0.322383977910493	0.211152735726453	0.667329329783434	0.373854651036365	0.138733366860129	0.401259832652023	0.988517330262148	0.146284175460536	0.265662887408112	0.117310688179829	0.629360577753828	0.416214675303038	0.790354254587877	0.0543365822250336	0.609485221685481	0.623881251597469	0.497289573150392	0.490079185417707	0.529833942640916	0.618619527876775	0.76187559628864	0.182315199202693	0.109856787085713	0.249059274755117	0.109794915236315	0.292778627640117	0.961113838498894	0.142985180496495	0.118652024928734	0.185311120894931	0.59683861901384	0.516406675648266	0.682175444863253	0.121605788839734	0.645914152589687	0.668650027132124	0.506616153106162	0.57376856236066	0.653969086274358	0.579903050863682	0.510244122739586	0.700059592491028	0.728205063138647	0.771222583119035	0.675724117556088	0.631399337281505	0.425453875100162	0.579346651324834	0.279150317233577	0.5708642834463	0.277679865300123	0.247942117622797	0.23199210371176	0.712406481898876	0.707133781680813	0.629666581716074	0.253007130592891	0.505009557166136	0.196024805147	0.351931276430773
Neuron B.m	0.205657842598858	0.897805439726272	0.489055668092032	0.353132489392043	0.278844559557337	0.21831671494693	0.934475127415423	0.127663232037625	0.679830132447724	0.984125026428924	0.134191290504102	0.217817160003473	0.317423360140772	0.903047250376559	0.0844309136919445	0.56722952187618	0.481494239528074	0.338277111231687	0.977871552906178	0.853804262684381	0.764212581448775	0.339139017713494	0.967837849665549	0.516560508386558	0.499402375128682	0.517313811765007	0.78172072324706	0.473890869473121	0.654062399677566	0.427727402494637	0.0432841669209757	0.328336638207265	0.353968725259211	0.225294088288567	0.566712404535434	0.46698965204747	0.690158288469866	0.893600317557398	0.149647899623296	0.910291823523872	0.247631158775184	0.377056964842495	0.477572573820485	0.526400111105123	0.719652949142525	0.32984540290957	0.515469827798707	0.905141987622657	0.112218787958852	0.134846104784267	0.0474341878981785	0.0744881745834017	0.345382277637574	0.201879815588309	0.755768857433672	0.601444423194895	0.405118101241355	0.985173650921617	0.169754166698338	0.0609077012515704	0.902385243582125	0.828165817708443	0.515536063408535	0.867803921805006	0.610930621224305	0.878470781003665	0.806566145690785	0.281649797980773	0.92858758025952	0.885240706806355	0.88477399054035	0.758465381806936	0.152906880460902	0.175990305732672	0.305767575589524	0.143183488789234	0.134208155333457	0.300417191360217	0.563571442814117	0.364895652738413	0.398457888784074	0.15554632345113	0.642559498773349	0.34328183348891	0.219132757937906	0.0605892022923765	0.743407298856054	0.0331703069665043	0.471361676785992	0.689056130046528	0.968520204351046	0.30130977017142	0.910887228447246	0.430959875242989	0.369454715706889	0.204073948043302	0.250353856560952	0.42753382242398	0.147336420806269	0.0673530032130473	0.113421232829977	0.386836129740572	0.414218750034018	0.136413875233945	0.112147394221114	0.0950881766099582	0.0917182521924305	0.0323038265689282	0.328048770439863	0.267822287239639	0.193028723979224	0.194636507146099	0.0662794787205281	0.0397996972805071	0.0882867253587458	0.0672049901288513	0.166018438635904	0.116690405949359	0.655806390893906	0.096152506425334	0.98451534038194	0.953355029438505	0.178815836522078	0.859460408410724	0.856894695738851	0.851348953130486	0.886295825096085	0.853521388705751	0.0810997531108105	0.281459142972541	0.657872513647469	0.920280174518281	0.323898878138898	0.432761893395997	0.477500188260827	0.86031289837567	0.116049102896831	0.177441790512229	0.296353224147995	0.853219813582152	0.753770372623483	0.200176513395965
