activated early epidermal progenitors.s	aqp+ parenchymal cells.s	cav-1+ neurons.s	ChAT neurons 1.s	ChAT neurons 2.s	early epidermal progenitors.s	epidermal neoblasts.s	epidermis.s	epidermis DVb.s	epidermis DVb neoblast.s	GABA neurons.s	glia.s	goblet cells.s	gut progenitors.s	late epidermal progenitors 1.s	late epidermal progenitors 2.s	ldlrr-1+ parenchymal cells.s	muscle body.s	muscle pharynx.s	muscle progenitors.s	neoblast 1.s	neoblast 10.s	neoblast 11.s	neoblast 12.s	neoblast 13.s	neoblast 3.s	neoblast 4.s	neoblast 5.s	neoblast 6.s	neoblast 7.s	neoblast 8.s	neoblast 9.s	neural progenitors.s	npp-18+ neurons.s	otf+ cells 1.s	otf+ cells 2.s	parenchymal progenitors.s	pgrn+ parenchymal cells.s	phagocytes.s	pharynx cell type.s	pharynx cell type progenitors.s	pigment.s	protonephridia.s	psap+ parenchymal cells.s	psd+ cells.s	secretory 1.s	secretory 2.s	secretory 3.s	secretory 4.s	spp-11+ neurons.s	Cnidocytean.n	Dig_filamentsan.n	Epitheliuman.n	Gastrodermisan.n	Gland_secretoryan.n	Musclean.n	Neuronan.n	Precursorsan.n
activated early epidermal progenitors.s	0.925471698113208	0.231510025513878	0.370726970033296	0.316611832139698	0.354835000781725	0.58650333705501	0.539858876360569	0.193215341226505	0.409308339729744	0.667222468840425	0.208867203690689	0.208450553945192	0.207783018867925	0.600151811113892	0.420529447921544	0.494757107759216	0.243018350285995	0.317454150507117	0.222296149764583	0.382235326675041	0.760796786624638	0.732673134648371	0.74495928689289	0.716335201121267	0.756001446401516	0.861699731561162	0.600055454594046	0.66505690326445	0.688262608911671	0.722051331068945	0.775943396226415	0.652295328710423	0.428010150461095	0.31126145807326	0.241417466256131	0.302404647894035	0.380783468979074	0.151868920536238	0.301102417366128	0.241325302279131	0.69577803285745	0.292059710848155	0.152741466633377	0.194771406672241	0.367909759765136	0.297771964841932	0.17688679245283	0.494103773584906	0.421691835856231	0.154681859406398	0.694354421013688	0.309764637230111	0.462368972746331	0.337905651691802	0.457684487642824	0.353236888377581	0.495527030278036	0.700828301886792
aqp+ parenchymal cells.s	0.231510025513878	0.976281352235551	0.27693644867452	0.816084832350331	0.67366448198975	0.366199543296628	0.291609869138495	0.720292048007549	0.629795862913185	0.172646933972253	0.349936634138771	0.956661954987836	0.8254857153145	0.362844972932043	0.427491508792118	0.601037596990866	0.931745139239131	0.720741173278421	0.76127701781405	0.305547139686965	0.118337118562168	0.267122217265347	0.159068409966372	0.173299427300709	0.15806802433004	0.0888161451462924	0.227330116716078	0.212290227795953	0.169319275386985	0.338379726796288	0.209800467068579	0.162657296969567	0.463528737768693	0.821945611460071	0.864921100796881	0.812061884521331	0.788517889130871	0.975124075397173	0.951828650092436	0.86307580453645	0.297092519415684	0.953325203141844	0.844264012261566	0.966359185204329	0.623578854713518	0.592169843189677	0.624858799201663	0.720695176025185	0.357418024969835	0.750181859154293	0.609717063670252	0.646294702582379	0.67576565449423	0.924875099124193	0.549736316748413	0.788823376306542	0.529207674727959	0.469471646673937
cav-1+ neurons.s	0.370726970033296	0.27693644867452	0.983396584440228	0.963144119292319	0.972566434012333	0.28610496658519	0.284046443004683	0.978991276240601	0.413699489622809	0.223782828916561	0.986566955555676	0.535316741393587	0.70022689842827	0.0667885117970315	0.806687340530625	0.869715225030765	0.0546135590630987	0.663684227739548	0.709444849958235	0.313346480244766	0.132955696116844	0.112847821191038	0.218272865996638	0.131482006583132	0.217308861121673	0.0634213107552564	0.237710997539837	0.105194723050511	0.137562055246612	0.1101863642298	0.210528847875121	0.169865381411783	0.930673271589993	0.955606264549847	0.923624288425047	0.894616528185077	0.15563557497315	0.202469504363357	0.0860516783591762	0.980938803657325	0.277940996096709	0.142683986797087	0.969175285975113	0.237346008233612	0.260970113851992	0.645754269449715	0.886785292327521	0.673694327091762	0.556396508683199	0.941645432685859	0.425873655913979	0.84766041002367	0.733925914654764	0.394438742026037	0.795228336173765	0.432312351945243	0.899306908747089	0.0987640986717268
ChAT neurons 1.s	0.316611832139698	0.816084832350331	0.963144119292319	0.963712267180475	0.961703183031506	0.348325693686881	0.334286459329205	0.312724032146163	0.470613881582185	0.231733725375722	0.968519469334349	0.868257605130096	0.737781746464536	0.149204278442467	0.358926827882529	0.498492262966214	0.239944357223848	0.899392543021974	0.877391996862026	0.49195119463888	0.150553154607447	0.130657642173177	0.188630351460716	0.117068511756283	0.295127281077827	0.144154164869974	0.243034802618532	0.186973116799706	0.154744701348748	0.300439753398504	0.215945865294895	0.196930345814418	0.929704688273713	0.953331075100801	0.949549777646157	0.941222193028551	0.249070776148317	0.681854534090266	0.521325813338169	0.665731389614316	0.253832700230286	0.696269165742573	0.817980842660684	0.73723506743738	0.266002743318721	0.852986459205473	0.883097105585245	0.783392257728336	0.72743720252704	0.954324348946747	0.565355651894669	0.369798796919797	0.489844882918691	0.478607728204353	0.657831842931583	0.743312757459175	0.845545121798108	0.180650963391137
ChAT neurons 2.s	0.354835000781725	0.67366448198975	0.972566434012333	0.961703183031506	0.963995013566034	0.345992790433718	0.269019445940942	0.963970567927673	0.570508451012116	0.228142027016221	0.976557933186295	0.729663683869431	0.639144475144619	0.101313407232303	0.705674251165959	0.804120506001134	0.0781640020950828	0.853268615648449	0.838857519982401	0.292659545367118	0.125799517072085	0.121884659271456	0.183617707472764	0.0754480885740388	0.238816006601905	0.0597511367001803	0.133239548600732	0.131755163065935	0.171137514412248	0.392747989699532	0.205611709818322	0.209345932397869	0.914996880901038	0.947241623998315	0.923977014690611	0.914171094469295	0.132150153667934	0.376660070642709	0.180437688042684	0.968023670867634	0.261519634153448	0.386011779177838	0.959419266955948	0.549020754272315	0.284043189543628	0.738061778258697	0.915202760663622	0.737978114480444	0.521691193384359	0.948194491105966	0.342457524966918	0.785241540789952	0.694840423082842	0.391097537232314	0.741503446112191	0.547172377408692	0.897608706099449	0.110045027498717
early epidermal progenitors.s	0.58650333705501	0.366199543296628	0.28610496658519	0.348325693686881	0.345992790433718	0.963061962430613	0.694042819015915	0.553808521850403	0.891226546147555	0.577458008687701	0.291130189187544	0.230512066089698	0.330234926243821	0.496345272558444	0.921549967999216	0.928642392431225	0.612730885710834	0.340741140222109	0.298320033323927	0.34116812242469	0.501898538215079	0.507656733199568	0.471378713659104	0.516103674963077	0.415986287145313	0.479849266922913	0.371265238566268	0.449370793851222	0.457001509919174	0.187402072050334	0.446574471378339	0.430438315968511	0.279682335968771	0.296032972144292	0.352070005090905	0.344305227866558	0.491800895503916	0.342765528382572	0.5506987249319	0.603838925142778	0.71781966944616	0.520844818912349	0.481676200830508	0.493506776111405	0.448400078126353	0.665628967861332	0.630188890030265	0.381993698728004	0.681120996558053	0.306570124574595	0.867675121474866	0.433680595208017	0.502824401295734	0.606033676456291	0.486736221204269	0.504955868328378	0.293424952870555	0.631912267692131
epidermal neoblasts.s	0.539858876360569	0.291609869138495	0.284046443004683	0.334286459329205	0.269019445940942	0.694042819015915	0.708356052344602	0.278420337381874	0.56872801822817	0.63460366858757	0.282896397055581	0.316271377283421	0.258798301475278	0.526851221703066	0.532821840040607	0.512977973712433	0.414002508397476	0.237555559968303	0.252425904602823	0.421884185699118	0.735557858590124	0.658172252101164	0.65038269008297	0.560447984147923	0.602285652637292	0.660031192194168	0.471030128455306	0.626784199684963	0.653107115891997	0.533324870983424	0.695888587683381	0.599063821392066	0.376617405367777	0.268452260700525	0.280308346559505	0.246890507446328	0.482059449392042	0.263876441308002	0.337150372869263	0.244997866388507	0.496692206981768	0.354352230598573	0.20494897370195	0.30591080822598	0.375659260872534	0.477836612975651	0.421095887944692	0.307163818645707	0.439176585285959	0.201529396302124	0.725511828140926	0.508440510854535	0.56442737708491	0.484764230837258	0.485846951581255	0.369087882031213	0.331474573174921	0.698536455834242
epidermis.s	0.193215341226505	0.720292048007549	0.978991276240601	0.312724032146163	0.963970567927673	0.553808521850403	0.278420337381874	0.98720152817574	0.918158653051156	0.259799662937076	0.983317414836039	0.76998704615404	0.898007860133475	0.171033701264648	0.961513379404717	0.967048710601719	0.249504833448376	0.145750855292316	0.236189989792411	0.1382951824562	0.150583358850853	0.176872548913201	0.217574928911502	0.145334527446105	0.180318388086615	0.149935920156786	0.0882500746320482	0.109720857779597	0.12205887359609	0.099474974651931	0.194425897893352	0.236828872072425	0.214715482354364	0.411947223410843	0.396481011528375	0.222827803464444	0.164721545425909	0.780506260055794	0.852698415924324	0.985511534440827	0.423414747670634	0.291603628047723	0.97871345591479	0.847224223536188	0.649603634703412	0.244504323820294	0.588256428970464	0.350599421527815	0.249827136014178	0.393886456854571	0.269954679101822	0.941681378968547	0.805428357751707	0.659562630554516	0.771894906611979	0.370284227209485	0.777051740680047	0.479291092008914
epidermis DVb.s	0.409308339729744	0.629795862913185	0.413699489622809	0.470613881582185	0.570508451012116	0.891226546147555	0.56872801822817	0.918158653051156	0.919016083254494	0.437076616428983	0.410149826643498	0.669714403416209	0.519492913371771	0.349175543622268	0.884971255342969	0.912593082546972	0.715615318828466	0.437724515504177	0.428350092952774	0.282941721979034	0.333783795828811	0.387387877712795	0.360361621419398	0.29227319466518	0.322534964649264	0.337662075067099	0.432244023312068	0.349400294334069	0.313268005175759	0.185523376761182	0.432424447974867	0.31980379924947	0.37351906588878	0.311509305145461	0.469987963140821	0.570843681015453	0.390820136356225	0.622232633464269	0.792323888989316	0.932144310233514	0.637404313448997	0.596028824724906	0.631931175367028	0.786383369365559	0.518686494572193	0.704333235644183	0.730703664697167	0.379249299369879	0.580653645261897	0.245034985113382	0.777280687109281	0.523054257819739	0.56182943466306	0.533328891731965	0.550321976575936	0.434401589889056	0.528912268099827	0.485765108798486
epidermis DVb neoblast.s	0.667222468840425	0.172646933972253	0.223782828916561	0.231733725375722	0.228142027016221	0.577458008687701	0.63460366858757	0.259799662937076	0.437076616428983	0.737565954502206	0.235754462280707	0.240669762920463	0.312464278894723	0.697817161190837	0.492933574882143	0.396548419260586	0.313653028386792	0.202395944531232	0.189073704311813	0.478037181698271	0.834194814524223	0.775159645335371	0.754761579592856	0.793336052688403	0.730645330127305	0.788528364700255	0.671662052230403	0.733955474961659	0.741288050311111	0.672644166447026	0.772332239327733	0.764576750797986	0.354825368180477	0.233834412320021	0.178074278511458	0.15856035978241	0.494860769191425	0.216265281768032	0.239122913242799	0.197787964195508	0.599476836867625	0.268364733234784	0.201581620398024	0.155726605883833	0.49970132542555	0.279835077225055	0.28089428837683	0.413419405352739	0.35980666528972	0.221965428472225	0.546286562948566	0.599239350749989	0.468515691929377	0.357507214800752	0.467492222671207	0.432087016933788	0.242204064481421	0.788803497967304
