Am/PH sheath cells.c	Body wall muscle.c	Canal associated neurons.c	Cholinergic neurons.c	Ciliated sensory neurons.c	Coelomocytes.c	Distal tip cells.c	Dopaminergic neurons.c	Excretory cells.c	flp-1(+) interneurons.c	GABAergic neurons.c	Germline.c	Intestinal/rectal muscle.c	Non-seam hypodermis.c	Other interneurons.c	Oxygen sensory neurons.c	Pharyngeal epithelia.c	Pharyngeal gland.c	Pharyngeal muscle.c	Pharyngeal neurons.c	Rectum.c	Seam cells.c	Sex myoblasts.c	Socket cells.c	Somatic gonad precursors.c	Touch receptor neurons.c	Vulval precursors.c	Intestine.c	Ciona10	Ciona11	Ciona12	Ciona13	Ciona14	Ciona15	Ciona16	Ciona17	Ciona18	Ciona19	Ciona1	Ciona20	Ciona21	Ciona22	Ciona23	Ciona24	Ciona25	Ciona26	Ciona27	Ciona28	Ciona29	Ciona2	Ciona30	Ciona31	Ciona32	Ciona33	Ciona34	Ciona35	Ciona36	Ciona3	Ciona4	Ciona5	Ciona6	Ciona7	Ciona8	Ciona9
Am/PH sheath cells.c	0.95565953654189	0.375994597985822	0.808819532041146	0.59560774393416	0.753162546991061	0.48927598048442	0.543070228813504	0.797481779429677	0.936668665057835	0.572103868711556	0.3936850719519	0.336415156205154	0.591305958747135	0.843760103140919	0.516963865205553	0.597786624031043	0.930827033648973	0.834812839173759	0.848955059584248	0.623289806783384	0.863970999024723	0.787442252170341	0.244422270179104	0.899549757133735	0.617592564298447	0.359766034086095	0.745585800538324	0.655198952600782	0.926850594412755	0.891079006118482	0.893236188238721	0.796009521331378	0.937870642537637	0.792222007955874	0.898595683142518	0.535568392174244	0.558473830550639	0.545381583209489	0.622359438204553	0.455467454825153	0.795785422360041	0.733443717672361	0.610248535883217	0.48851121639752	0.357141216005985	0.206626275511638	0.328770291044771	0.375474730876438	0.602391152841242	0.552456018378574	0.612313956849684	0.725540261595576	0.156903888876915	0.276225139551203	0.214282821112081	0.355400187213124	0.289408588937928	0.482797147620119	0.294440872759063	0.372330126524265	0.67939236016414	0.355283477027174	0.602438171936649	0.94267137810727
Body wall muscle.c	0.375994597985822	0.996342165898618	0.45919446379452	0.610740908277025	0.445691927673202	0.515306551793228	0.63743702162127	0.60832801177743	0.460806292662333	0.440575290654169	0.563569004368183	0.0210098389487589	0.813706921478269	0.450533491309881	0.664603346338094	0.517933863399748	0.363008448961479	0.173711019305563	0.625764878585807	0.571981554036502	0.488569914457318	0.207953778694063	0.746901335853271	0.422718324206238	0.201461360350592	0.628654488917271	0.288402102155168	0.300650164934953	0.809011541373087	0.67436739977082	0.831104684404975	0.908375371175756	0.717141984481857	0.439228436238593	0.673915817702634	0.120109031768102	0.746360658582724	0.776407970891948	0.185328665612568	0.20438391883341	0.197728661893272	0.800212069623411	0.148426633128414	0.189143114372712	0.402712797000811	0.862496521413375	0.193889829060504	0.186602700218861	0.787436589145924	0.176966818927617	0.739498895643039	0.947142126911975	0.565182313207171	0.564895591569039	0.637283117178513	0.479999042326319	0.507034385188327	0.184776345443308	0.30247411503126	0.134600419133645	0.766776003381009	0.431774798629129	0.997247503840246	0.771713959514872
Canal associated neurons.c	0.808819532041146	0.45919446379452	0.894462901439646	0.925503004074127	0.899552621206149	0.698828783282777	0.682090784230519	0.886915623980537	0.783411989468512	0.889191166472738	0.901091662838412	0.264661102277608	0.679945085010748	0.528849844854611	0.889234594189094	0.911065128370736	0.827518156344366	0.77532682814876	0.749594447186556	0.899825776778986	0.548584925020137	0.457395454185098	0.684189814097999	0.800577319788189	0.775463227151326	0.889176600059171	0.540488781534203	0.721827197990612	0.639219188358245	0.658405183231959	0.499143299957533	0.507593436093916	0.345519253522915	0.303299589172679	0.716168229415512	0.38671395251519	0.889032984510283	0.84507134177128	0.663184314881091	0.494841007699107	0.514606121470432	0.908044266810561	0.448647382273136	0.448348078454812	0.488526071291697	0.335043858748739	0.437010959233593	0.502506695434463	0.792636497019153	0.559505438447757	0.583883080256006	0.543636902877784	0.327495535772705	0.411974930539934	0.404066178996148	0.450806111428034	0.36431940684397	0.586525950134791	0.26623745335788	0.64737906618942	0.760519239374491	0.413147351964041	0.620890193379307	0.271774676448923
Cholinergic neurons.c	0.59560774393416	0.610740908277025	0.925503004074127	0.978064076346285	0.949081108024646	0.840975799584527	0.655219311957709	0.931574777198769	0.424960612503781	0.953676347470007	0.952988499152361	0.207727598419633	0.828919844420386	0.398720192971381	0.948938132789827	0.972851685142373	0.679402769126281	0.680104346914163	0.532131492547345	0.952276646361997	0.296211373355222	0.0563276109387198	0.414637842567556	0.777546180525713	0.278801676089659	0.95109730697599	0.148672085273197	0.154849705130384	0.555284650580176	0.938651741522003	0.539857915388036	0.700383673148684	0.307682964166954	0.148676199321097	0.889573674062371	0.300745427631257	0.984591096653777	0.970105689074001	0.702444685736242	0.308091310250474	0.693777809076738	0.968258135610672	0.365156479216718	0.216507343347376	0.219892253592326	0.207606207312413	0.118802010495199	0.202778528424317	0.967345206159773	0.560319508480446	0.552535888960714	0.59554143421856	0.134677087540835	0.122234083161032	0.184543927603725	0.116848443490531	0.127688587598276	0.373556454579861	0.127401463529155	0.530169503576761	0.953236239143894	0.294564001469709	0.689220676937784	0.481417270267818
Ciliated sensory neurons.c	0.753162546991061	0.445691927673202	0.899552621206149	0.949081108024646	0.961323648103309	0.795341319038055	0.652182926497052	0.910158946949803	0.494095430517027	0.937085570696888	0.915459425711795	0.27203029722518	0.655757347006599	0.388177176947139	0.927183268708692	0.959613923431658	0.838765573865207	0.85366622844039	0.838664005406135	0.929409278347192	0.248576919646029	0.133437621211054	0.26730332115694	0.789208806229532	0.362641409106015	0.930214649743862	0.0933451330854183	0.694198793890256	0.765466980785285	0.965566675992589	0.668851725893803	0.897959501067434	0.522066440348754	0.198068375386525	0.969478527260629	0.332544214727769	0.970340479524115	0.95934807076103	0.824581159217807	0.301181460051975	0.758049187488141	0.966551519614647	0.453055571960078	0.208709947253459	0.244613685601553	0.180493694113772	0.138616197020458	0.24492167305968	0.929054693519166	0.588030905570374	0.508436636035281	0.497591351531588	0.177323385893045	0.13346001493591	0.167098467592692	0.203887167628434	0.187384055135919	0.472965178160346	0.239686797962195	0.710705669001694	0.947049932505369	0.423552675307411	0.606334071837482	0.523537528515046
Coelomocytes.c	0.48927598048442	0.515306551793228	0.698828783282777	0.840975799584527	0.795341319038055	0.910343847684001	0.398948167302486	0.822757049711696	0.560059649159597	0.854120409009548	0.866916842250246	0.308727753775621	0.507778873868388	0.53914457356413	0.710021386683791	0.823644025046673	0.512105179565607	0.640980613200474	0.460186077926425	0.873582704082617	0.69105310766822	0.353591905190156	0.263129666270491	0.47981227664273	0.424683757560995	0.755247596846963	0.360398010510299	0.546863586402817	0.708615672742257	0.909958450135111	0.812766123997402	0.66551328750533	0.819136533776538	0.640259125318905	0.87732916814998	0.595547348424007	0.82806488815911	0.809573716469702	0.777485254639684	0.498074221859647	0.876707066007772	0.591577389517609	0.619454308555087	0.5259363857147	0.499162241801039	0.167530334678207	0.417022684878289	0.440256362662225	0.586687930104077	0.651011890524117	0.574774656167247	0.496961690653217	0.152613131224314	0.343768896845567	0.26191364985768	0.267427924752622	0.168954597784715	0.501235889205074	0.474524700953953	0.552364630202566	0.633576220010674	0.614494203478493	0.494448726427461	0.869035432072475
Distal tip cells.c	0.543070228813504	0.63743702162127	0.682090784230519	0.655219311957709	0.652182926497052	0.398948167302486	0.744981248621222	0.434353490519108	0.502672246268873	0.880298432046437	0.535981879930167	0.310773030796619	0.693855802546035	0.461316928407417	0.597429102899134	0.748291196707207	0.802728537917781	0.727555521872155	0.633558095250273	0.827017612813036	0.60440105890139	0.413900506571451	0.51774132761583	0.471742406303568	0.600113533434552	0.595203595610133	0.593779796562205	0.621824191851356	0.683593478362034	0.475290290156984	0.746473782296452	0.674471032206138	0.623797732236717	0.67462432533019	0.554735180812651	0.373522960747106	0.506752384534031	0.577235208436013	0.395337571632013	0.442201905038583	0.540548327907083	0.771361358831113	0.392405478911586	0.374537445893398	0.631884763087586	0.367016437506365	0.357015945993364	0.376081250232452	0.667604090529119	0.326607278709397	0.843495117975141	0.778081568339983	0.533317427889697	0.672059732316077	0.798638714161956	0.685190227477686	0.627449873584551	0.384567855253542	0.562287769831467	0.701676569668462	0.547277352070721	0.355334946685491	0.702711501226508	0.739564320433427
Dopaminergic neurons.c	0.797481779429677	0.60832801177743	0.886915623980537	0.931574777198769	0.910158946949803	0.822757049711696	0.434353490519108	0.905988551298987	0.752740406266	0.902825190969838	0.910060477626323	0.254029392521752	0.74957051829979	0.546324665054212	0.908006901298499	0.92661433075289	0.702458021858482	0.791018450004	0.595555617772505	0.911343366631076	0.371966360880331	0.260627733117438	0.547956899973674	0.881064405479185	0.306877871888518	0.905462601110488	0.254554315264866	0.424382227007271	0.560772988310109	0.921196753293524	0.449767991074097	0.740454699917151	0.350631752356068	0.228530376951387	0.899839501976351	0.246297842425711	0.939637577473678	0.92853221020772	0.6311195440342	0.202406643897668	0.409953017170017	0.926670444469553	0.412357625540169	0.20947360514362	0.193078394752426	0.200479104020133	0.108790748665292	0.137338780117055	0.9292370670471	0.500692208685457	0.784390705524668	0.454291318819665	0.262667122820092	0.252543743457547	0.253093656487473	0.248247076285622	0.208565311415399	0.297020474679961	0.207867869253062	0.608585283091975	0.911508695950765	0.261033449046726	0.628516668684136	0.483681428027293
Excretory cells.c	0.936668665057835	0.460806292662333	0.783411989468512	0.424960612503781	0.494095430517027	0.560059649159597	0.502672246268873	0.752740406266	0.976348155156102	0.332731691850185	0.404755553364692	0.274114594773239	0.52981711095034	0.939122616687134	0.297649960175155	0.452873914356176	0.924213407710812	0.682327939603021	0.810505874513175	0.472799517598946	0.930657038127421	0.880045552529607	0.230504392125542	0.954650183061177	0.562026749772757	0.291034201733691	0.839986878744347	0.654910617585812	0.728148267963023	0.723477664866925	0.820064293889573	0.636681706187099	0.894961953270004	0.642749995423694	0.7804168706869	0.513368676970471	0.67505295828892	0.53421570658605	0.637517487928198	0.360829915071064	0.624781977618655	0.797340184333741	0.579804531533121	0.384333686791184	0.561700964953344	0.306781390779248	0.296452898482901	0.353473709475163	0.639609078316881	0.526857945998925	0.742261990968099	0.684986816321553	0.193093209487062	0.380383833417199	0.286200511388024	0.498636705422716	0.263352867416645	0.441623367910025	0.438797198235602	0.491693919277678	0.724106182914896	0.406966495207355	0.65620201837452	0.895158114685148
flp-1(+) interneurons.c	0.572103868711556	0.440575290654169	0.889191166472738	0.953676347470007	0.937085570696888	0.854120409009548	0.880298432046437	0.902825190969838	0.332731691850185	0.952372328866353	0.929527974214758	0.329294736204451	0.719212199331018	0.514280117106775	0.924943743824742	0.957091538618958	0.717717012949596	0.806712093005748	0.586630928188001	0.931889574414283	0.341285680533586	0.0965451883064988	0.250339359987319	0.679031705067655	0.238623616052723	0.93354428368934	0.147085625914617	0.278870871214953	0.473664849494382	0.958051601071989	0.579303071448626	0.768501315426151	0.318251378305342	0.147254981438851	0.934436893906082	0.489602389533353	0.968885714230873	0.959514289603983	0.887682163521296	0.525701059914026	0.887227126953863	0.958393203593929	0.574934584456645	0.340179965531544	0.267994863466405	0.121414095949043	0.174045895616949	0.351617289414791	0.926810888809981	0.751796061134712	0.493927771053265	0.529453117002838	0.128436362423452	0.0656419184718085	0.111226752186277	0.109435519276733	0.133727202077726	0.593320559186657	0.200847525331437	0.639826366169895	0.954766687080352	0.496447405474323	0.650132802124834	0.479846507171847
