Apelin cells(H).z	Apelin cells(P).z	B cells(H).z	Cardiomyocytes (Atrium)(H).z	Cardiomyocytes (Ventricle)(H).z	Endocardial cells(H).z	Endothelial cells (Blood vessel)(H).z	Endothelial cells (Blood vessel)(P).z	Endothelial cells (Heart)(H).z	Endothelial cells (lymph)(P).z	Erythrocytes(H).z	Fibroblasts (Heart)(H).z	Fibroblasts (Liver)(P).z	Fibroblasts (Pancreas)(P).z	Granulocytes(H).z	Granulocytes(P).z	Hepatocytes A(P).z	Hepatocytes B(P).z	Macrophages(H).z	Macrophages(P).z	Microglia(B).z	Monocytes(H).z	Neurons (CNS)(B).z	Oligodendrocytes(B).z	Pancreas duct epithelial cells(P).z	Pancreas endocrine cells (alpha)(P).z	Pancreas endocrine cells (beta)(P).z	Pancreas endocrine cells (delta)(P).z	Pancreas endocrine cells (epsilon)(P).z	Pancreas endocrine cells (gip)(P).z	Pancreas exocrine cells A(P).z	Pancreas exocrine cells B(P).z	Peripheral Neurons(P).z	Radial glia(B).z	Smooth muscle cells (Heart)(H).z	Smooth muscle cells A(P).z	Smooth muscle cells B (Endocrine pancreas)(P).z	sst1.1 cells(P).z	T cells(H).z	T cells(P).z	TNFalpha cells(H).z	Undifferentiated cells(P).z	Unknown(B).z	Unknown(H).z	Ciona10	Ciona11	Ciona12	Ciona13	Ciona14	Ciona15	Ciona16	Ciona17	Ciona18	Ciona19	Ciona1	Ciona20	Ciona21	Ciona22	Ciona23	Ciona24	Ciona25	Ciona26	Ciona27	Ciona28	Ciona29	Ciona2	Ciona30	Ciona31	Ciona32	Ciona33	Ciona34	Ciona35	Ciona36	Ciona3	Ciona4	Ciona5	Ciona6	Ciona7	Ciona8	Ciona9
Apelin cells(H).z	0.99743062692703	0.97327852004111	0.93809092611449	0.725613252981667	0.620000328453027	0.883764892847627	0.86673677623173	0.696734424320478	0.91454334276381	0.661853869148106	0.887005816914216	0.867554184122525	0.735900409421408	0.555385620258547	0.932866046156049	0.859639176831837	0.155340688736395	0.773134640435799	0.884686314629815	0.763194658109136	0.817833496071653	0.924524665981501	0.215153166817865	0.29823613854904	0.747148109243698	0.201843421244446	0.294002865403166	0.42051660383161	0.140297007794336	0.325990995677735	0.295722683861337	0.1322324537262	0.706978603302116	0.236652302554502	0.835411049798181	0.789343731534284	0.718119434153114	0.276555217072737	0.925673783856927	0.876594632314588	0.753489768624661	0.345651516087162	0.521494217788877	0.893302075273722	0.926591738423655	0.857414465541085	0.929273153571448	0.912181440348244	0.898112649603348	0.541081251031871	0.859403402385593	0.32889157159616	0.501136372047633	0.409321158379012	0.692110875983456	0.12933436297061	0.88008357416018	0.73801620668888	0.679258002090621	0.558447342569672	0.262307583454276	0.213631435703708	0.0951841065660215	0.148142077590068	0.6917108183085	0.322981908590774	0.693989799639981	0.868353770032127	0.154281171131878	0.285460318262818	0.248536197603876	0.242482318206461	0.28107693243705	0.202460230207008	0.1590611723542	0.207452103449157	0.670045301726594	0.660023127956218	0.929636919377418	0.907781872667547
Apelin cells(P).z	0.97327852004111	0.968332476875642	0.891326158751625	0.230693380678195	0.118673759615272	0.712739421557992	0.659327948108419	0.778748907605662	0.784106814988631	0.719600451665486	0.553925121104517	0.708236220703503	0.859939832182244	0.711878927988403	0.857589469993092	0.876046045482116	0.646553650506041	0.845841157761621	0.830814084492408	0.818949285007003	0.741472488478192	0.873458376156218	0.104375890199861	0.211033238765145	0.800755131189166	0.386395727764118	0.420773176033703	0.382937267294307	0.513913382597448	0.550674392462863	0.955383513599631	0.629205243097811	0.718087056078255	0.163061376220299	0.680486306209803	0.80996992041627	0.697372321922682	0.370185558135945	0.850108404991188	0.910012040356606	0.635330329143279	0.586362882279313	0.303587017025165	0.611857883856222	0.93526337254493	0.734546104429598	0.897233006104569	0.872023049868569	0.920229891507682	0.580970162047244	0.871224120798918	0.360087396376265	0.319469979921633	0.257845756274347	0.696347802199687	0.16231414225849	0.915795614558266	0.645011652188713	0.761312689941356	0.411461935447896	0.2090280728115	0.122362931080204	0.107700145859874	0.140541750317088	0.58295335264219	0.28819902061544	0.729695823006463	0.908639072957578	0.221057931633904	0.277307658417365	0.335847376493077	0.293544918349789	0.352466957060012	0.198319706718712	0.266566319283063	0.208282405359546	0.635612324716556	0.566558619850818	0.664383089430561	0.878236449821452
B cells(H).z	0.93809092611449	0.891326158751625	0.974392838799618	0.591847599257299	0.418893916556852	0.688925479828552	0.628425891113406	0.42915579866074	0.767184924394455	0.39874338881865	0.840893990307668	0.6635647043725	0.370272115527144	0.343513580637522	0.943036068370363	0.890918548201821	0.225436698548944	0.495165277109722	0.916136015799144	0.839742327023913	0.861580493044172	0.939072883229846	0.270059039099934	0.308827295131891	0.616735116619837	0.260207614841774	0.391516375834111	0.338106812762524	0.0904442022773023	0.340512328684597	0.18969642276015	0.325625642588979	0.399362637554553	0.0836579318276896	0.647817017094142	0.318719646322403	0.287818730201769	0.338265559730732	0.933802161213032	0.919785194113686	0.650774366876062	0.267609055155113	0.271186440677966	0.644573695009861	0.593779934179506	0.412748787475963	0.703656545753503	0.501968919310407	0.634505184496774	0.496514239013863	0.434273238736209	0.678356001915714	0.220861043737908	0.2110519593491	0.795234116933397	0.625349856483018	0.919974853254858	0.551059091282966	0.790700962259458	0.78558753275108	0.577495540847839	0.563355287205266	0.568279731809478	0.650019348484046	0.291347018707664	0.615896146621955	0.346941153723342	0.364535931335133	0.378531422371199	0.388593505924667	0.476493525672102	0.382423308542354	0.334041498316094	0.647968935756484	0.430305624060347	0.350878604548836	0.47743908954553	0.813672387290818	0.602045293037257	0.492469356917656
Cardiomyocytes (Atrium)(H).z	0.725613252981667	0.230693380678195	0.591847599257299	0.952103505997466	0.957336804933927	0.720045966828716	0.693131744311961	0.400889827581315	0.747089945829816	0.392069667554796	0.9054757159458	0.748989302414998	0.610398904758467	0.582505392215119	0.46760762659742	0.357265515592032	0.512962885682947	0.527313194236788	0.510341919928558	0.188088045413473	0.243153785721188	0.633843574365045	0.401853458301217	0.357948778762468	0.422213262222737	0.250660607977896	0.151293547225683	0.334795090484968	0.218800631503462	0.150124826847667	0.361423513188751	0.499885648896206	0.218439651149233	0.448607212111995	0.764076543026762	0.57226654710108	0.657279720642287	0.208015034866554	0.699022021502182	0.201306962033009	0.596699156349574	0.129115877929304	0.511268519777659	0.823081181097541	0.171771614423742	0.127697305504476	0.182369448297185	0.134385562353912	0.132270370757108	0.34880819599083	0.0941175422733023	0.532166233143416	0.25121242774018	0.268536424454941	0.298511322421086	0.743503266521036	0.091113173482116	0.240204003645563	0.13619423947521	0.419527437656628	0.689738389999423	0.877782589226706	0.857095411540243	0.836414134027542	0.273907890712759	0.582460034736882	0.240604959888221	0.255251313296196	0.683890281928175	0.745761778717139	0.570953534399647	0.655688842400139	0.731428755615028	0.695361278444381	0.60325536979509	0.443298407385824	0.312340241689259	0.522951763731323	0.976884092149192	0.231303571631929
Cardiomyocytes (Ventricle)(H).z	0.620000328453027	0.118673759615272	0.418893916556852	0.957336804933927	0.978652584652899	0.643835643975376	0.631424834510447	0.303141580960789	0.622646386690866	0.293663416940025	0.896164947250737	0.70660655409378	0.585453538768131	0.569796528040037	0.300316881635967	0.173557704437056	0.604322514476993	0.441040213199278	0.281677314060325	0.110659874046945	0.0868700462575661	0.430149415656303	0.19397280617198	0.144552898003665	0.265846607911189	0.253746599480327	0.12801005937923	0.341951351905799	0.239566793587126	0.112104124359352	0.471536013203005	0.349760608428743	0.125463018151267	0.332411220720208	0.750327241025084	0.50349851176761	0.660654340478335	0.182475405165484	0.60482788821355	0.108184896979124	0.484870425968258	0.0613598441776138	0.33884932835894	0.808200995701582	0.0738097485204854	0.0559273560263545	0.0563126028429563	0.0362527563248485	0.0702850476085319	0.289868396599275	0.0295692813998995	0.661435070726121	0.258698626447634	0.323254129136634	0.356713594299691	0.835362688685638	0.129277828496019	0.171840208549381	0.200100184794922	0.5659392547176	0.77860955065402	0.894396397222018	0.962895170326921	0.938932001710574	0.151802737028967	0.647238341897108	0.270034389267753	0.191500647779237	0.825736791493994	0.788309872584682	0.66285194733958	0.713603886946557	0.81684385759428	0.819342299863433	0.697295709830694	0.643186238170004	0.282029297519602	0.589078422090864	0.915847805988234	0.11537251247648
Endocardial cells(H).z	0.883764892847627	0.712739421557992	0.688925479828552	0.720045966828716	0.643835643975376	0.902943121693122	0.852267943335478	0.768135748759414	0.896856677608489	0.704444662316391	0.796084261691093	0.841369895362666	0.743269521639224	0.603232798682787	0.727231126398647	0.568811258565357	0.228144394085713	0.690642452968842	0.68359467239081	0.473797437544781	0.60727540684728	0.762752387375814	0.420055176538066	0.550269156732262	0.568275462962963	0.331432278891272	0.305028818658774	0.290106702557481	0.274873627280711	0.290173302086459	0.188295651885603	0.322722024362976	0.586848961036316	0.586195941353827	0.763280338812695	0.713259998495392	0.651756147518134	0.327314916226876	0.665018916069563	0.50392999215195	0.655401594932845	0.333624103889752	0.757558165900327	0.925428157302514	0.869525152819262	0.658195779406624	0.78219527920638	0.878654737717488	0.860842717723468	0.698785588903043	0.743668420196953	0.203696353867991	0.283286885315014	0.24066578032567	0.392147884875219	0.2224911612848	0.477443307991851	0.568253494338287	0.427114175544247	0.378348872926765	0.475552607254415	0.654474275932702	0.286382444607331	0.273886382693846	0.647278949146947	0.266576523445109	0.626197502485089	0.789528120512283	0.463659599863783	0.623653457184597	0.55220190109413	0.605058490379334	0.612826608977152	0.216679631205554	0.466692442413979	0.434273932130247	0.399667343475306	0.441775217031257	0.780496021864921	0.816076642579037
Endothelial cells (Blood vessel)(H).z	0.86673677623173	0.659327948108419	0.628425891113406	0.693131744311961	0.631424834510447	0.852267943335478	0.917188301693176	0.80635814816206	0.863710380603473	0.718776532364358	0.792428422368493	0.837520944133746	0.77868895295563	0.613816555641421	0.613396411253354	0.55790447129255	0.106187175426438	0.689315627197233	0.643862268231611	0.443543331613701	0.654320255602805	0.712032272591368	0.559647000913453	0.561870962719228	0.489692947471446	0.197263565904668	0.162643442399175	0.229181267256299	0.328835300153925	0.2366643894806	0.185606608661219	0.173891236134909	0.582096801372013	0.596358956093375	0.768842273034388	0.786659793145777	0.663215084728312	0.197400691580516	0.649651041091037	0.455151192101544	0.642014609727539	0.225621390275774	0.753122964149914	0.898608062493692	0.872574375603048	0.758846533604104	0.811589354774589	0.811682206529733	0.818375224380045	0.80335156347072	0.750727987453761	0.155516717229512	0.28647308203562	0.289685308364218	0.307924163496406	0.305726643915815	0.362227839299702	0.474716998661501	0.341111524750849	0.339565472079371	0.536813484187453	0.704838326749938	0.425136929130905	0.392824683584869	0.686713491049873	0.277024408214438	0.790787930192065	0.787420253092699	0.394967054458776	0.672632112082954	0.52981258552258	0.608527347429812	0.524521289548378	0.249106987865988	0.439792956281446	0.446217222527735	0.352077587918869	0.434849440032555	0.875037447837065	0.901333106281439
Endothelial cells (Blood vessel)(P).z	0.696734424320478	0.778748907605662	0.42915579866074	0.400889827581315	0.303141580960789	0.768135748759414	0.80635814816206	0.842287911989625	0.770619799044936	0.734733909068963	0.528561898832605	0.734425140408322	0.786261025865476	0.668388563864042	0.429412066648901	0.651373619110336	0.416285197289104	0.711194573683642	0.528816522567131	0.475836476522155	0.546058748687874	0.605525870499369	0.283516393374264	0.5008816014034	0.570071401654441	0.339779550255017	0.294050035943991	0.325052859472728	0.50369992704947	0.311782686413562	0.859202507838519	0.437866795880943	0.631549822919298	0.615626653014324	0.63429366388128	0.747927901389718	0.65396211846429	0.308802512592022	0.465431328732273	0.591308187677441	0.536510399287221	0.46314486267374	0.719558345147541	0.82221061998714	0.740051996635387	0.456508010711876	0.461598717563409	0.561573506536834	0.756352702227819	0.76395084025914	0.593558644196549	0.339496767224878	0.120937033544051	0.141356752112971	0.313738207144492	0.424970773613542	0.414419395621102	0.123566529791018	0.313359250054836	0.355881842971322	0.561219081414877	0.552162606851895	0.569257606056463	0.500457026125247	0.251614140841915	0.334693277239278	0.627995930325653	0.660238430639226	0.582352724343858	0.691795232200238	0.590597916496524	0.653287504007504	0.605207651653002	0.344402473198938	0.555012976434867	0.670655566616714	0.162331670657312	0.42257731320246	0.202754350871635	0.639976456615781
Endothelial cells (Heart)(H).z	0.91454334276381	0.784106814988631	0.767184924394455	0.747089945829816	0.622646386690866	0.896856677608489	0.863710380603473	0.770619799044936	0.923619590286257	0.711869228957075	0.819999529070139	0.848870541873687	0.764840982848511	0.632317251104078	0.782784899922284	0.660129137263329	0.271963319269319	0.713742260602164	0.731517182747976	0.546171006668733	0.687521279915405	0.799661637680353	0.440834791947728	0.571937375270783	0.636631273375199	0.312248530495431	0.306795064167179	0.274111012597683	0.226918171194314	0.332792981786105	0.184401466988137	0.443016555668912	0.621844989013414	0.612969298050678	0.781963619355829	0.72373417059494	0.675095683880675	0.336485572943756	0.734137552528357	0.634463043611735	0.690908879097285	0.361459217481207	0.785601890490124	0.934578130841321	0.872075820747922	0.692140973804882	0.83981071629293	0.86018981345402	0.810681544045402	0.737940380803164	0.713320470793297	0.179334393479788	0.225876759184097	0.183817971462567	0.307537509820274	0.253271565869599	0.332868503121656	0.620906126969775	0.282447085198252	0.306134322990261	0.436919106461745	0.647423296233237	0.301779146609765	0.296013696922405	0.63317409799931	0.2565850554429	0.682420004578359	0.814488534667576	0.453035324820587	0.647827848359501	0.513975542238169	0.589598875976483	0.595602013914973	0.221328738300589	0.379213170868299	0.4455535421996	0.434756572520833	0.363737219153734	0.848161095597437	0.839241320259614
Endothelial cells (lymph)(P).z	0.661853869148106	0.719600451665486	0.39874338881865	0.392069667554796	0.293663416940025	0.704444662316391	0.718776532364358	0.734733909068963	0.711869228957075	0.722193570569022	0.507611219828918	0.696051385576556	0.725480493571291	0.608102115962727	0.467233520250143	0.598276109875802	0.421417286985615	0.606866992128224	0.505394282085572	0.43729010041064	0.541404700800069	0.580886028670617	0.336895165724652	0.533943071024439	0.474614251837919	0.266087407984143	0.225262947373078	0.256256293371607	0.432947087291165	0.242280393355893	0.861412548486386	0.517533193359818	0.479514618444085	0.586381704906191	0.559929040928708	0.641755590184897	0.554389155509278	0.249615737617225	0.411296518743301	0.536291285450405	0.426644946509567	0.409776232207616	0.675889726541382	0.771136944220631	0.708552613346707	0.390457328038772	0.384645068542063	0.517564954357626	0.725358660904431	0.659686659193681	0.529065334501343	0.413041988743981	0.158520673765324	0.189075153777777	0.319729138993638	0.474800676074311	0.449045574195819	0.176367368212432	0.474460709913346	0.525604664015273	0.727258346040883	0.645768639637516	0.650233891428143	0.563074284985884	0.309502860915635	0.341525392069926	0.668543517987827	0.670323475558855	0.655866104989248	0.686538026785274	0.588953122328384	0.626527779034753	0.672763113474182	0.399388386002976	0.515209209991799	0.70598137317968	0.249535399214673	0.513399583660179	0.145370623402899	0.592705880255713
