Chondrocytes A.lz	Chondrocytes B.lz	Chondrocytes C.lz	Chondrocytes D.lz	Cone cells.lz	Corneal cells.lz	Endothelial cells.lz	Epidermal cells A.lz	Epidermal cells B.lz	Epidermal cells C.lz	Epidermal cells D.lz	Epidermal precursors.lz	Epithelial cells (Fin).lz	Epithelial cells (Mucosa).lz	Epithelial cells (other).lz	Epithelial cells (Otic vesicle).lz	Erythrocytes A.lz	Erythrocytes B.lz	Fibroblasts A.lz	Fibroblasts B (Fin).lz	Fibroblasts C.lz	Fibroblasts D.lz	Glial cells (Peripheral).lz	Hepatocytes A.lz	Hepatocytes B.lz	Hepatocytes C.lz	Inner ear cells.lz	Intestinal cells A.lz	Intestinal cells B (Exocrine).lz	Keratinocytes A.lz	Keratinocytes B.lz	Kidney cells.lz	Lens cells A.lz	Lens cells B.lz	Lymphocytes A.lz	Lymphocytes B.lz	Macrophages.lz	Muscle cells (Pectoral fin).lz	Nephric duct cells.lz	Neuromast cells.lz	Neuronal precursors A.lz	Neuronal precursors B.lz	Neurons A (Brain).lz	Neurons B (Proliferating).lz	Neurons C (Spinal cord).lz	Neurons D (Brain).lz	Neutrophils.lz	Olfactory receptor cells.lz	Oligodendrocytes.lz	Osteoblasts.lz	Pancreas exocrine cells.lz	Pigment cells (Iridophores).lz	Pigment cells (Melanocytes).lz	Pigment cells (Xantophores).lz	Radial glia A.lz	Radial glia B.lz	Retinal cells A.lz	Retinal cells B.lz	Retinal pigment epithelial cells.lz	Rod cells.lz	Satellite cells.lz	Skeletal muscle cells A.lz	Skeletal muscle cells B.lz	Skeletal muscle cells C.lz	Skeletal muscle cells D.lz	Skeletal muscle cells E (slow).lz	Smooth muscle B.lz	Smooth muscle cells A (Vasculature).lz	Undifferentiated mesodermal cells.lz	Ciona10	Ciona11	Ciona12	Ciona13	Ciona14	Ciona15	Ciona16	Ciona17	Ciona18	Ciona19	Ciona1	Ciona20	Ciona21	Ciona22	Ciona23	Ciona24	Ciona25	Ciona26	Ciona27	Ciona28	Ciona29	Ciona2	Ciona30	Ciona31	Ciona32	Ciona33	Ciona34	Ciona35	Ciona36	Ciona3	Ciona4	Ciona5	Ciona6	Ciona7	Ciona8	Ciona9
Chondrocytes A.lz	0.883539896309476	0.881985479662171	0.783206132004781	0.767100822309585	0.266937668873045	0.713975462000972	0.720611965947533	0.271261466891136	0.254388833454489	0.267473674449354	0.336395631142755	0.194029811744414	0.586618527052145	0.337568119222884	0.458138472718965	0.742741942328482	0.360283647784784	0.275572317879576	0.863273274649412	0.792401083449679	0.759710659976911	0.84576908125588	0.531903712215521	0.311951399740951	0.202847740312216	0.331046079755929	0.34777559792475	0.251043102200966	0.317840797161244	0.540684909899854	0.578117096387615	0.285347320784959	0.419550045857827	0.458008898038977	0.339835475938137	0.25217011784051	0.305446094014998	0.578616306725759	0.77111497749192	0.145896301200476	0.607784056528019	0.713423695005544	0.3844675268356	0.543346224367987	0.338905349587145	0.350952451543293	0.347623153932584	0.197647221047009	0.361313064119586	0.841246344593681	0.341585136768846	0.5766892455061	0.432473796991558	0.517442559034303	0.693575945993539	0.727734294531617	0.334125787314899	0.362992643678434	0.437621120814888	0.261625691986959	0.595025451761456	0.52640045222041	0.293405471108852	0.5245180861868	0.341811167935634	0.525349287426855	0.704073378253427	0.820840824760221	0.906867105470084	0.480002131549574	0.168829231442087	0.257756170822424	0.293574073589633	0.536324992611468	0.690573166140899	0.300814989798991	0.388913364286793	0.151697318417324	0.140415138733327	0.224408045288653	0.489371114521539	0.224112219728799	0.143938658945627	0.261550823740544	0.342872747423419	0.550586721904145	0.767366248728919	0.64605328249855	0.549827846797167	0.311386270345306	0.333219752101876	0.497101564006152	0.486339101593734	0.713015115565334	0.781845396304371	0.720022745351029	0.740954438673108	0.756075366607013	0.400644389774827	0.589472297813012	0.562610726768027	0.210061371573609	0.394450772148599	0.34295114691096	0.303936724360932
Chondrocytes B.lz	0.881985479662171	0.994494130799329	0.89190845138783	0.732153232261992	0.759253215827217	0.547341031847951	0.648264151383099	0.498590537062829	0.401597948460053	0.417887715785567	0.666354426322271	0.373389708436167	0.633940052291291	0.586786445252491	0.668917900139446	0.807602844239519	0.217447769019133	0.505906652123459	0.806136965906002	0.78148413098015	0.637236718844712	0.804260249540908	0.841028568937161	0.511687234086018	0.321857175113356	0.578671951478619	0.645269631124462	0.331939924343033	0.460235015370086	0.553479878116304	0.776475980574573	0.530315963615811	0.719109269131344	0.522586894786621	0.158918032097057	0.283040385107258	0.301422069117786	0.147248466998219	0.769279830900912	0.345243647220063	0.318935098959948	0.714228335447135	0.524205648412005	0.17498695326626	0.607869111707292	0.513903235640575	0.528914131703024	0.484115736908241	0.7050313929156	0.858222318415061	0.517957896138365	0.474775173769949	0.675636381822121	0.695155762064942	0.720700364340209	0.813618658377187	0.645146408339799	0.663113382643542	0.673626440978602	0.432891727924909	0.363206558590936	0.452312394274317	0.534036855070576	0.69825695954176	0.652856128434847	0.673237616089982	0.782018248536463	0.81361211965928	0.908385226307842	0.87208729345914	0.702341999816904	0.654523522133771	0.778854580016066	0.687606336939927	0.38510929128165	0.751285553617019	0.279977195039969	0.708208332868093	0.699076793103031	0.495541668914954	0.204506252756099	0.571331997056639	0.796314914315621	0.419388891615946	0.319007277114345	0.294238605121126	0.402697798538604	0.176302819304237	0.25404891087177	0.752906302245951	0.286094670866967	0.7577488951145	0.848247045558936	0.337228030886933	0.403153265770251	0.372899278513559	0.416087671838067	0.435797746868561	0.234054932005598	0.295474565652702	0.413643279161185	0.672727397384584	0.374472614646753	0.759816506905735	0.719425352292586
Chondrocytes C.lz	0.783206132004781	0.89190845138783	0.774512541682409	0.641619635106113	0.390139428132349	0.459212839003236	0.348130151582322	0.430432544949417	0.325142620858918	0.393416837666306	0.454662470405487	0.298820868838446	0.436986664227273	0.494582670838565	0.567579645856705	0.599915076275255	0.185374089666928	0.16706265012486	0.750601625920143	0.676775403790025	0.5425741518964	0.67838821475123	0.413099210854458	0.509848315239516	0.417389153958593	0.563109825175495	0.426240131195329	0.380201143314402	0.300372348294402	0.455124588347437	0.591865633912355	0.379187778293542	0.384205006438164	0.483108097723766	0.251105774276956	0.322353674850683	0.257801694553646	0.367499381586409	0.553387149862895	0.226350444329888	0.388734463713931	0.539015376823977	0.334372516364961	0.320367231049184	0.285888725742313	0.362244455706506	0.358842898098485	0.280992821591077	0.338117086941662	0.768137628920097	0.666335260718287	0.325349231550432	0.371011808121331	0.458122472489295	0.490150864136582	0.567011244445294	0.303507197864258	0.340694694377588	0.37090625258188	0.301196902606455	0.407232507348738	0.488165043209874	0.635910725360013	0.54642643639759	0.710168468929341	0.515082591106214	0.49632044943082	0.606570565054332	0.785942993685687	0.43093958357286	0.158474057882441	0.199175608370294	0.370295972063139	0.469864946780445	0.571712757933619	0.303003063600162	0.823863630758261	0.233960458845373	0.269056091777012	0.316227727154082	0.698392874490036	0.569100317487574	0.206207703837044	0.261733840454273	0.481917422345534	0.646668017439421	0.743627038770332	0.719663100980344	0.739457821254458	0.328854180423949	0.515804627939061	0.43662804780137	0.417360141362225	0.695655098437895	0.726224378889012	0.702638153634849	0.690498400458163	0.735665353292829	0.633099912567759	0.554515724852525	0.505134089213922	0.268370644153977	0.437217883523138	0.203874682746056	0.212347642491483
Chondrocytes D.lz	0.767100822309585	0.732153232261992	0.641619635106113	0.902561247216036	0.353214986638535	0.52476758102513	0.504258233466226	0.422825014654152	0.315301004027168	0.434239946585911	0.450308572927715	0.304930148588698	0.512179394789661	0.367949139109145	0.313156447465886	0.552286379310559	0.376378135117194	0.346624330219797	0.753308658833487	0.638042594215854	0.614188749531547	0.657084516879777	0.376711777968646	0.410444092911434	0.367379601375878	0.623515219005197	0.236729769858946	0.379602262679127	0.37463969367565	0.539567145151657	0.657037058003652	0.458124536005939	0.438238576775726	0.453832723214909	0.427699316607899	0.336715172438004	0.28969762568205	0.562803568862417	0.626275678511113	0.318716403775865	0.545877947242422	0.649956597013888	0.168079680193436	0.459396061683961	0.219159270499681	0.204406143938626	0.341237700014583	0.172745298691476	0.368596247946833	0.685523108405161	0.458275983997357	0.411508488386416	0.33905747477808	0.54579810443059	0.506991783775906	0.767194393338819	0.237513744668548	0.41412128020536	0.45100210873808	0.252816740199343	0.495193382916889	0.437304290276013	0.631875150537954	0.516796990683764	0.745379518312611	0.490042087082033	0.534666265551168	0.641527049050526	0.739598177469356	0.305761260207128	0.141757041313211	0.21759906684539	0.223463183491108	0.396562606201526	0.571103610592644	0.189811144330396	0.577847382927656	0.144549545355635	0.194185197556715	0.311606993344785	0.61281089511817	0.324274415598457	0.147187170053359	0.363508880045646	0.481204732971512	0.639279738183207	0.76851016339498	0.779522228876805	0.680081120984116	0.228840791487924	0.473849694738417	0.536757277419374	0.385476328352957	0.829881734848882	0.785014698506548	0.775199848781197	0.708661433238846	0.877977318847156	0.586711136789085	0.723100799268823	0.685864249736965	0.322277430173983	0.476607218611275	0.272457361841917	0.262215210375674
Cone cells.lz	0.266937668873045	0.759253215827217	0.390139428132349	0.353214986638535	0.997414400424909	0.178759498508916	0.344601134109535	0.522428302822252	0.405352461356926	0.474386950382819	0.645108158923833	0.596969427147735	0.182917664595305	0.545128542876201	0.648222380202082	0.579671869653422	0.348716235871932	0.770827217456459	0.255510300861001	0.314308147838203	0.148787594775222	0.414872802864622	0.686550821596431	0.571151699708538	0.411306913936525	0.631390031866271	0.898910006538733	0.415978783992695	0.450535533252454	0.136291503486182	0.367672599783031	0.568249510345305	0.844013162837528	0.658053533358426	0.082263677754398	0.193645325906636	0.174330109876831	0.147247023415597	0.45247793327968	0.593072511778604	0.328046359618062	0.737424773041565	0.822584337225999	0.254589988374597	0.908296186629896	0.879758371285488	0.376286305387757	0.923834884886111	0.764471220131322	0.364553358357732	0.686728032203153	0.348145344348765	0.706009745704895	0.551722322105553	0.665796519569498	0.815264140708733	0.912371218271925	0.928843953490551	0.840531750228603	0.943431774653142	0.124775033858086	0.604769140386181	0.687951310605161	0.734221353349132	0.681870310243633	0.759089753246308	0.635333260036347	0.411847000417979	0.34427888391242	0.790741337446485	0.937016046081472	0.774591543956105	0.854999743869512	0.610534518980879	0.270360006245502	0.885886060032563	0.323423691187442	0.931215583142297	0.924888052645144	0.678353665354347	0.217632569420907	0.685059721367855	0.943467652071805	0.555931028393836	0.365164436820958	0.355054999868657	0.26303104645772	0.166108042185509	0.199141513870135	0.884731225540525	0.446242647252572	0.793891567109403	0.800937341381568	0.343385597891349	0.249028285938818	0.335931661603408	0.347732974422255	0.321642892061136	0.268317017708517	0.321036493598822	0.535172894304531	0.939448312563063	0.447401655402808	0.840708753023086	0.776652410799061
Corneal cells.lz	0.713975462000972	0.547341031847951	0.459212839003236	0.52476758102513	0.178759498508916	0.64418417464724	0.55052511641223	0.122888964313229	0.196769712494627	0.254735619529174	0.100907078479733	0.190586176722289	0.373598363749213	0.224068623471101	0.302328816985751	0.528094900738606	0.698043167203587	0.342324535888603	0.714196345829433	0.63808914905977	0.545739514107468	0.645706152717755	0.265150677252391	0.24236291639395	0.224558229585073	0.147432368968967	0.262437447042773	0.213978682802255	0.258124396356286	0.30928541664059	0.203787705944627	0.269126078401861	0.200517345024219	0.400296684932589	0.591556003511413	0.472733951354475	0.394654290922643	0.836193750672859	0.553781243033541	0.336405757445028	0.743414196009078	0.58029104336573	0.516340914838402	0.729072066275005	0.248543013948496	0.53288900236669	0.429523895982402	0.300491154294725	0.164318596612616	0.60253963566917	0.162547946971974	0.486233564779706	0.285612003376214	0.341671293279406	0.412775554531949	0.559043393726684	0.302206813756798	0.338478514862687	0.267328292938626	0.543926687588167	0.499863088172532	0.558560156086276	0.111186321040859	0.295577500366188	0.0583786351378129	0.318330204284934	0.537033690884899	0.694099570240071	0.77812844655927	0.174679084033076	0.0655547795811993	0.130504553711814	0.133369135065829	0.334281766248518	0.752673580326029	0.144853438425717	0.522426082428498	0.0667838878495074	0.0679778306763697	0.193029668398591	0.575169445900943	0.144037784053065	0.0778184627244694	0.581914474752007	0.542492102774795	0.738645332096043	0.814353785287263	0.858215345707933	0.677042612626122	0.20707777346359	0.350096908714607	0.240541854904053	0.207743913042508	0.803069269490043	0.899464907632413	0.797339771720558	0.88307221271367	0.802485089585316	0.495868011204175	0.745267544352436	0.758034389178812	0.168407825774588	0.554151384094548	0.124702442663671	0.135103997087283
Endothelial cells.lz	0.720611965947533	0.648264151383099	0.348130151582322	0.504258233466226	0.344601134109535	0.55052511641223	0.847479302188054	0.390236510442153	0.331149285586248	0.485730282241941	0.369108940360496	0.328402442587753	0.441659931524445	0.479938206607583	0.592955236739238	0.603957829178087	0.393721231718974	0.464938248547199	0.73082102841467	0.575576616352871	0.568709560874767	0.807130178807528	0.715576857745976	0.173163933499976	0.190655388899516	0.257054973445601	0.37003181994989	0.303767838683091	0.48975051569717	0.262579785216662	0.321498997642772	0.474891986243605	0.25226744992304	0.239594043657994	0.407359764506846	0.435160485150461	0.631616333150355	0.367491016162583	0.69228787318971	0.448936115281847	0.491958802513689	0.577502307040173	0.528368413487789	0.429446102319261	0.532851072937207	0.513019142692075	0.708827533822518	0.561392572603305	0.605159964298157	0.67563698419143	0.221453018847694	0.617516263671473	0.644501645194743	0.579739891774417	0.594072849813347	0.622931734084027	0.365595722733062	0.59886194830128	0.558268523676903	0.390665509225446	0.374550394879914	0.285192849898214	0.146296241703376	0.401188950649486	0.147768607300665	0.440127395051765	0.73952626215057	0.819066361040574	0.795435496703669	0.837150928938497	0.586665069228963	0.587398545261464	0.768592703561892	0.86769478080815	0.708635681597733	0.747814071743185	0.361442992923121	0.318306270358777	0.277125328893803	0.483674955685147	0.30394332434185	0.585527863134165	0.357469695852743	0.657433435245289	0.596118672723139	0.656098348818509	0.613085052303816	0.49408020053834	0.410072888467171	0.589634061015171	0.311331836637245	0.500917704888352	0.699742122694805	0.494184834207212	0.571170461934653	0.475872950822067	0.547546136855141	0.657176489446264	0.33103388799391	0.497589981537972	0.550685217208886	0.426463857536371	0.652348325492231	0.317836067517825	0.714575665955417
Epidermal cells A.lz	0.271261466891136	0.498590537062829	0.430432544949417	0.422825014654152	0.522428302822252	0.122888964313229	0.390236510442153	0.9511105848635	0.827639859812461	0.933328529019511	0.92166413086493	0.830047581875263	0.738908567469512	0.931224544964189	0.862912799049733	0.401317303346943	0.405202788488138	0.762770070972671	0.254964653080302	0.367829070018823	0.251179572225154	0.495797041854998	0.411190430114252	0.76631659628139	0.748830801101546	0.831691154761263	0.67594262942662	0.844303694686497	0.798067829892013	0.719396244884966	0.817082728154218	0.856793872443854	0.522369787114317	0.498176290539504	0.410050304477808	0.688335116449639	0.779283012498372	0.131393245864689	0.465317592618078	0.858879992843128	0.0632626449621282	0.275960253835282	0.169360870636041	0.0595185548838514	0.278760325670232	0.155618094817628	0.774330491906031	0.806678799607207	0.648085599566554	0.454584272051696	0.74806000123287	0.421425469451353	0.728757962548719	0.762544665840302	0.547994728641099	0.333837144019868	0.220098819918449	0.420354498750005	0.676055913742459	0.21800186825027	0.198653938874714	0.463173189299627	0.810260292997214	0.659820750246522	0.855627814420355	0.509942441856559	0.477269654645602	0.403483353422141	0.285330828412647	0.740859424558595	0.561015989702374	0.644624485864583	0.628279037739576	0.659740433325767	0.277382890648655	0.536507681739416	0.888575519452701	0.411734494511585	0.474304330924998	0.866467891438261	0.727526585492317	0.956225414897078	0.491248887962587	0.767910046007499	0.819159616210933	0.555447099708495	0.355592722642157	0.548422833185144	0.671448171010523	0.312500816330791	0.756501731412472	0.705350081576025	0.633208108797346	0.368217483415685	0.260185261899858	0.260708652606362	0.253492036795163	0.392129014801429	0.76940604163229	0.324469433231433	0.573871742260697	0.690812359029227	0.707879172508409	0.534604571287053	0.626631485097515
Epidermal cells B.lz	0.254388833454489	0.401597948460053	0.325142620858918	0.315301004027168	0.405352461356926	0.196769712494627	0.331149285586248	0.827639859812461	0.603695217463756	0.811737571943725	0.764174767505173	0.637513983547745	0.473660417269885	0.825923315360522	0.697087069934703	0.351132821735183	0.45754279355332	0.597632832904215	0.286323160589443	0.290612353545734	0.229715277024836	0.370693491790192	0.337692380970932	0.746959855206293	0.68321695624302	0.710634355731605	0.59301829969071	0.77311654762461	0.673964429760484	0.446420495242599	0.565993788639684	0.801005515567994	0.376435283444845	0.421944319756097	0.401215476281097	0.632474895815927	0.690876830381284	0.277011013840663	0.33777474341685	0.700960301989442	0.132759518924733	0.305983374421486	0.147612559075605	0.148372030262409	0.173154557001176	0.123909032774095	0.702478189952504	0.773391259931964	0.550191625046442	0.383515589008079	0.672793380075827	0.319001941691831	0.533266641744842	0.607820261333182	0.397700221604321	0.280369867050061	0.156764112960332	0.279231947746581	0.527875386521315	0.214272864103609	0.196666058112296	0.660940057613259	0.678479778396287	0.505076633830905	0.665975982848833	0.422869297996718	0.416082609986672	0.39880802249377	0.238770329495675	0.559621225733918	0.371697691068707	0.480524008034316	0.498988638057053	0.673981931902419	0.403857551117596	0.42916725998101	0.948121330332103	0.310403453513615	0.372055204268242	0.806596596444211	0.796327276266839	0.960849612505954	0.251692941796628	0.83534923905656	0.870602124669419	0.691312873153371	0.465198774482301	0.700952950480474	0.771967524358583	0.298806205652709	0.764311652066211	0.61746007043889	0.55666666771495	0.492291027487642	0.374301677573999	0.367160627013376	0.386039776499632	0.539930124286325	0.804796557714692	0.469339178039632	0.586795991941333	0.528188811980789	0.741534885909038	0.317862963705547	0.447107823858129
Epidermal cells C.lz	0.267473674449354	0.417887715785567	0.393416837666306	0.434239946585911	0.474386950382819	0.254735619529174	0.485730282241941	0.933328529019511	0.811737571943725	0.936918195793674	0.895497950875821	0.826895109278699	0.723689402242917	0.93530372164032	0.844512790553144	0.414575523949844	0.528904973659147	0.712127802667435	0.29357932386504	0.372986109448648	0.266528585392658	0.448245438375735	0.369401585163129	0.787820040233522	0.793061105770289	0.81793682252132	0.645542843730042	0.877181701201571	0.835880628519829	0.645255586481308	0.707923700837677	0.886196602392448	0.388422882876756	0.419615128520107	0.52093493728855	0.760616171777374	0.832702408474959	0.25631913180365	0.477518536619483	0.873189870852058	0.111399049557318	0.374925100509469	0.125038202360666	0.129138856718383	0.251378338173084	0.132989214256713	0.84883384730996	0.851652118314095	0.664812649823581	0.44855405029415	0.684928296078619	0.512259276444719	0.681706409991701	0.742366857951384	0.524973604760666	0.376765397584126	0.174588534311554	0.356075844273438	0.682081913042748	0.216016753748292	0.169944198753372	0.59692737304675	0.582832905786543	0.505388424200817	0.59168755691564	0.350286071633218	0.499842252912212	0.425973061160778	0.277985323466827	0.657793515181122	0.5404440935912	0.58954474863775	0.587117130691321	0.724846858713107	0.325188200961714	0.573921713923482	0.902843868173587	0.380106355228921	0.367154700296795	0.81061293902579	0.645112831500201	0.967972482946576	0.377636748544118	0.849636978012178	0.854993209601149	0.603603744983759	0.288403666040135	0.573486870336736	0.644045984333367	0.329768777105412	0.684877392624087	0.576316291893099	0.655554317058274	0.378999141788645	0.285652228309166	0.282554253901386	0.282770084149456	0.439714269020192	0.680798605517901	0.351916297191939	0.519820154957869	0.734276810721365	0.712119634430163	0.343704037739729	0.57730681927399
