Chondrocytes A.lz	Chondrocytes B.lz	Chondrocytes C.lz	Chondrocytes D.lz	Cone cells.lz	Corneal cells.lz	Endothelial cells.lz	Epidermal cells A.lz	Epidermal cells B.lz	Epidermal cells C.lz	Epidermal cells D.lz	Epidermal precursors.lz	Epithelial cells (Fin).lz	Epithelial cells (Mucosa).lz	Epithelial cells (other).lz	Epithelial cells (Otic vesicle).lz	Erythrocytes A.lz	Erythrocytes B.lz	Fibroblasts A.lz	Fibroblasts B (Fin).lz	Fibroblasts C.lz	Fibroblasts D.lz	Glial cells (Peripheral).lz	Hepatocytes A.lz	Hepatocytes B.lz	Hepatocytes C.lz	Inner ear cells.lz	Intestinal cells A.lz	Intestinal cells B (Exocrine).lz	Keratinocytes A.lz	Keratinocytes B.lz	Kidney cells.lz	Lens cells A.lz	Lens cells B.lz	Lymphocytes A.lz	Lymphocytes B.lz	Macrophages.lz	Muscle cells (Pectoral fin).lz	Nephric duct cells.lz	Neuromast cells.lz	Neuronal precursors A.lz	Neuronal precursors B.lz	Neurons A (Brain).lz	Neurons B (Proliferating).lz	Neurons C (Spinal cord).lz	Neurons D (Brain).lz	Neutrophils.lz	Olfactory receptor cells.lz	Oligodendrocytes.lz	Osteoblasts.lz	Pancreas exocrine cells.lz	Pigment cells (Iridophores).lz	Pigment cells (Melanocytes).lz	Pigment cells (Xantophores).lz	Radial glia A.lz	Radial glia B.lz	Retinal cells A.lz	Retinal cells B.lz	Retinal pigment epithelial cells.lz	Rod cells.lz	Satellite cells.lz	Skeletal muscle cells A.lz	Skeletal muscle cells B.lz	Skeletal muscle cells C.lz	Skeletal muscle cells D.lz	Skeletal muscle cells E (slow).lz	Smooth muscle B.lz	Smooth muscle cells A (Vasculature).lz	Undifferentiated mesodermal cells.lz	Apelin cells(H).z	Apelin cells(P).z	B cells(H).z	Cardiomyocytes (Atrium)(H).z	Cardiomyocytes (Ventricle)(H).z	Endocardial cells(H).z	Endothelial cells (Blood vessel)(H).z	Endothelial cells (Blood vessel)(P).z	Endothelial cells (Heart)(H).z	Endothelial cells (lymph)(P).z	Erythrocytes(H).z	Fibroblasts (Heart)(H).z	Fibroblasts (Liver)(P).z	Fibroblasts (Pancreas)(P).z	Granulocytes(H).z	Granulocytes(P).z	Hepatocytes A(P).z	Hepatocytes B(P).z	Macrophages(H).z	Macrophages(P).z	Microglia(B).z	Monocytes(H).z	Neurons (CNS)(B).z	Oligodendrocytes(B).z	Pancreas duct epithelial cells(P).z	Pancreas endocrine cells (alpha)(P).z	Pancreas endocrine cells (beta)(P).z	Pancreas endocrine cells (delta)(P).z	Pancreas endocrine cells (epsilon)(P).z	Pancreas endocrine cells (gip)(P).z	Pancreas exocrine cells A(P).z	Pancreas exocrine cells B(P).z	Peripheral Neurons(P).z	Radial glia(B).z	Smooth muscle cells (Heart)(H).z	Smooth muscle cells A(P).z	Smooth muscle cells B (Endocrine pancreas)(P).z	sst1.1 cells(P).z	T cells(H).z	T cells(P).z	TNFalpha cells(H).z	Undifferentiated cells(P).z	Unknown(B).z	Unknown(H).z	Ciona10	Ciona11	Ciona12	Ciona13	Ciona14	Ciona15	Ciona16	Ciona17	Ciona18	Ciona19	Ciona1	Ciona20	Ciona21	Ciona22	Ciona23	Ciona24	Ciona25	Ciona26	Ciona27	Ciona28	Ciona29	Ciona2	Ciona30	Ciona31	Ciona32	Ciona33	Ciona34	Ciona35	Ciona36	Ciona3	Ciona4	Ciona5	Ciona6	Ciona7	Ciona8	Ciona9
Chondrocytes A.lz	0.920167155106914	0.921551782446772	0.885499000574367	0.850280261422667	0.36821311991307	0.859306005559744	0.790485977025359	0.460314281225163	0.561330951162545	0.531727375914784	0.457917226750565	0.425988399657198	0.695613740502042	0.53878866858883	0.485858732864623	0.839341121741247	0.610848073607607	0.455576237984364	0.917483360812687	0.866690556452162	0.85775266997077	0.889299726975756	0.47336707743972	0.43627916008602	0.393149299070963	0.419689282012176	0.415876398699686	0.486351091766885	0.464963340595814	0.670882480297966	0.621713215180836	0.342901412643417	0.521934120276342	0.601256394182258	0.618183199563579	0.49406395495591	0.507806749969425	0.777313628242431	0.826218622515366	0.323468799014069	0.762848368331791	0.766646198321071	0.508274283612491	0.755662323441847	0.415980052045467	0.441774626844032	0.520610567742758	0.352417807263877	0.37051942123954	0.878313183770482	0.458074580490625	0.701132932131828	0.412067288686558	0.570642596155442	0.759812364684622	0.705706956715511	0.415624903424572	0.328748964250773	0.436390949643984	0.39643439564673	0.766064228007105	0.711054745747063	0.379318671782601	0.616623804837572	0.3642067326291	0.635885270430038	0.755291942994835	0.83411222462216	0.93941596042278	0.191940171326467	0.224812718317989	0.200177344814595	0.226929153782124	0.222973579996377	0.441149025908264	0.584266700724148	0.547663542136133	0.495766434452418	0.573773025495338	0.201967886330986	0.739048752339577	0.721450504552876	0.572724022328386	0.259498732028853	0.292279190471962	0.219123820189442	0.605377115454922	0.253799662215679	0.274192985612504	0.233742460028782	0.188244036606235	0.138504040613925	0.241860567318327	0.279385921340304	0.137362009042958	0.148749331926842	0.225910651298194	0.191227517789254	0.139154502175643	0.3358485555	0.148293261081073	0.426979458729677	0.419390619115991	0.534527412987803	0.589453922547818	0.657624505870793	0.156098020745479	0.271481447731485	0.233477398448373	0.619706448827005	0.156882514176661	0.421304959699747	0.52569234953456	0.327254818713562	0.0964906031041593	0.180145853442967	0.193865777877435	0.481287784236765	0.748022671000474	0.176020707192951	0.377541448735907	0.0799698954576925	0.078478333547273	0.173982366070892	0.481379187456028	0.157814827186117	0.0916689516638676	0.222854513829078	0.318754406308353	0.458869937089713	0.786559412051383	0.659072749526819	0.511590003797238	0.234535178894674	0.266606224997641	0.531092886745717	0.412948805593041	0.708792210057065	0.814055057813584	0.722355004305117	0.789122937675626	0.741216836683667	0.344075047615284	0.650090152255661	0.510680505269752	0.163494315715686	0.348471463716477	0.330637577179122	0.238084642141419
Chondrocytes B.lz	0.921551782446772	0.996556399132321	0.960121745469082	0.844565055909179	0.811932274680618	0.728547242604194	0.628699062497011	0.590733279984942	0.608227733640578	0.606687691278989	0.770892579471838	0.562880533955478	0.602267849448143	0.70788801495627	0.569326673624	0.832425185187652	0.483128460037265	0.650842310427527	0.834663645854011	0.810814295858566	0.675052900189008	0.787069204955759	0.712833110459005	0.577505723192854	0.367892393457489	0.52555894511662	0.577045436263171	0.510951101894667	0.585816890621629	0.548134816438542	0.784219602478144	0.388406504958594	0.728075629891424	0.685146699353195	0.402261372216952	0.648169845569616	0.423207544501544	0.421590018603375	0.763664562928238	0.426326664528909	0.549166908887306	0.752758538139358	0.638822680800172	0.42916648586093	0.623963776519237	0.613466297026825	0.624375328952412	0.609751475380434	0.744739631053718	0.874014105003772	0.634760541234571	0.472912266990671	0.600071793987955	0.655296768752289	0.710787440577163	0.704414572372701	0.693648947517492	0.624812028673815	0.664541958192223	0.511998765309291	0.434890858797424	0.654389947362031	0.37765837692257	0.575949208809723	0.436240049668746	0.63099464291774	0.723608462866773	0.737449336732393	0.894647157109779	0.289787649308392	0.503961220901297	0.342610288258568	0.201880667098754	0.239099038753148	0.26743655576869	0.336424688923328	0.412941775171549	0.324344856271214	0.493787742382769	0.391724871785536	0.56313914389199	0.618702227224507	0.615344433190342	0.205314777901546	0.36504355494323	0.357293255520194	0.482527655440229	0.308385416609865	0.350582637038451	0.257831078887606	0.230160588688246	0.2456932906531	0.395573765496917	0.514225041219482	0.297422296522365	0.359899845294698	0.377092062543084	0.394246460047388	0.271428640868058	0.581528247339902	0.262636730111613	0.512468760820142	0.331261987547343	0.432083112053808	0.553291333229466	0.406052912555724	0.325339618133338	0.289752896556437	0.486428541946385	0.63444534349796	0.386995649507189	0.297861789972997	0.349180139314158	0.74421447516776	0.393347103720605	0.484545116632564	0.57774471069747	0.575042106272541	0.467787307566441	0.50762879760687	0.325707656902706	0.385019280437116	0.514123233327017	0.371485772883648	0.236573650291642	0.326089719260164	0.457109611084026	0.349817017071535	0.308950600809635	0.226457315911863	0.390457217060171	0.279269186322978	0.287158489168255	0.524310737405544	0.267171982714964	0.619097876587187	0.70999867345586	0.434390410791472	0.520193703399395	0.446802174039268	0.593077257464536	0.576004222765078	0.218728728678251	0.425092739439061	0.337797518358574	0.423984297329733	0.33619803669841	0.669379693806121	0.539725541457759
Chondrocytes C.lz	0.885499000574367	0.960121745469082	0.908974972102662	0.841288009637696	0.456157525847194	0.797598172060152	0.557489878325973	0.681021074730737	0.727826060345921	0.722156798435651	0.64763473216441	0.636437121128016	0.694150307857179	0.759292762196672	0.661886650654819	0.794389930340547	0.497463045672911	0.336051612635869	0.87180809714301	0.824670247625258	0.789663495970178	0.796672119581251	0.328025530875577	0.440261087396768	0.471809864075616	0.451988802854731	0.500660639887407	0.585371857301074	0.539722059097312	0.7218842414887	0.702293573717982	0.268248465792536	0.440101247511126	0.595467088014267	0.601332566471459	0.657092114749924	0.519484590321044	0.702008425865622	0.686923776164094	0.467296134435487	0.714280294086521	0.7440637533423	0.494254975670608	0.69088463195805	0.37142958196518	0.448437821747753	0.491325297100551	0.516584303097933	0.406571325344633	0.836617211357751	0.596881166767919	0.550555990896637	0.372664366652788	0.568185256122851	0.562539799915664	0.663390417798065	0.384529382392005	0.40125916562853	0.41058509932829	0.475030702713475	0.694475179402239	0.65814505676831	0.525416071922697	0.625597814741492	0.485761534324688	0.601263647011249	0.634714915776609	0.654284285845543	0.869421760598669	0.156460422614476	0.118668008438902	0.259408531056312	0.233527554855972	0.260141846441	0.297254936730185	0.238492107113247	0.287009964724747	0.349209273270354	0.366911196452104	0.179063753059402	0.636261633212247	0.491642583385536	0.449930694247977	0.335088359521645	0.297931094652759	0.328259640774989	0.419907598931637	0.393054073828823	0.339180101734992	0.247838640980678	0.243971572060704	0.173568871212944	0.305271235182938	0.405636718163961	0.305977836921186	0.370824035879975	0.39327039315594	0.264066225832833	0.282863513559559	0.214023956263828	0.28509134092012	0.405544934824365	0.414976724039373	0.471669441627793	0.347896726915847	0.471503951805868	0.35563046718946	0.358406961574125	0.309416511822465	0.663782879340485	0.237885857394804	0.233930692952806	0.302219708728198	0.232901603149816	0.0691299211516493	0.0964374525007399	0.218869871357476	0.316445917253321	0.591321984810145	0.152630548677855	0.753327245762099	0.120375032407147	0.155616781646281	0.215902894882088	0.557244695863997	0.376027727295854	0.18033083536178	0.206089969863284	0.44209214326856	0.513750891250043	0.74156265167809	0.722212105668801	0.642501064704806	0.220117762706464	0.353133807772392	0.499588303644312	0.349921297669109	0.662973136597765	0.781253275544685	0.687108601220588	0.800098046826656	0.723270132551487	0.482009047464725	0.633602739552659	0.458267705411828	0.207584186987525	0.331908833994302	0.182167445844445	0.110371413464164
Chondrocytes D.lz	0.850280261422667	0.844565055909179	0.841288009637696	0.948821973794927	0.472435491839061	0.799161312119687	0.683286125797674	0.630705421606585	0.671098783084921	0.671466973962036	0.617459653161325	0.588652446067011	0.730289911505812	0.614337752011846	0.536385763115847	0.746754699875694	0.634000529157669	0.498871360208923	0.843736385247555	0.763519741376766	0.793060113467998	0.649872028331977	0.351343442517673	0.455992359266815	0.528440111863274	0.598990263252795	0.446703329727131	0.507402922873985	0.51250522298462	0.767978441499762	0.742821646738884	0.4602716672677	0.486866901420042	0.574397758364849	0.709356977774386	0.659916897034065	0.506991512906727	0.758123074512603	0.686305020106281	0.587907985672881	0.784167688849885	0.785145370587192	0.254443516834157	0.775576858847505	0.201707295295094	0.273884441453378	0.529408596250959	0.303221605245192	0.325366885555791	0.792810429064344	0.57313070220651	0.532218289416507	0.295370534230372	0.607859589338349	0.629260449998553	0.83274247655033	0.349281537388924	0.450607117962008	0.488627953958138	0.501982952913343	0.71094890730734	0.625583523260264	0.528472763293453	0.547884738347301	0.610640129682362	0.618748502840047	0.632885173689564	0.728288195216372	0.771349455035254	0.147353403210665	0.13538539534753	0.189866161321368	0.400877179741925	0.425579040631771	0.49990830398338	0.435355621837218	0.326900778350232	0.520496183315714	0.429853249521632	0.27310068169413	0.456004655871774	0.454033339007649	0.421414550381507	0.171518828601411	0.280161483156434	0.241751409596038	0.269830038015441	0.20983238953806	0.237405149875965	0.172356111637205	0.253222710269456	0.183076640770768	0.175286196446499	0.466957920950097	0.253717577272677	0.302598001005524	0.274283950934858	0.288924819808513	0.238799925603592	0.252125058723255	0.306415372527343	0.224731317818597	0.536704816776835	0.453530188711221	0.399636794452374	0.337247544136801	0.323632268472954	0.311657970831747	0.207834669733624	0.455126528876965	0.240587090489327	0.357800404587169	0.50479866616067	0.222671652353514	0.0903392630574043	0.218807746272655	0.220867759623408	0.395331268496691	0.671922648703343	0.146269020005379	0.520173950135787	0.0916166058743375	0.181916855907198	0.19749599067191	0.519748090066228	0.26999121204123	0.177705658281835	0.343458082396495	0.475089465296203	0.554140347405015	0.80124940196638	0.761212351904568	0.600038147733734	0.216633248984963	0.341127692778305	0.48237892634576	0.554609021305963	0.801705750309739	0.81283719477944	0.809774133255359	0.774022095692088	0.870723853399445	0.474202610279685	0.637284776312072	0.700529328074923	0.409136267231653	0.433660543193116	0.472488205610064	0.230673765500438
Cone cells.lz	0.36821311991307	0.811932274680618	0.456157525847194	0.472435491839061	0.986450809464508	0.242111370806562	0.257663508204149	0.454064392144985	0.38261069489749	0.426781075685027	0.541527747490567	0.599234090180593	0.294218294125322	0.51517451014489	0.704821906763448	0.633745339077452	0.463326785682287	0.714637938253445	0.342507769173731	0.396731855452386	0.26989443784124	0.29890366822774	0.561931768151035	0.564223883668629	0.323436638522103	0.435645646929727	0.837766517420816	0.417453889898309	0.365614314136985	0.264272875855333	0.410375686908221	0.480253123328004	0.812705046460921	0.66628896590013	0.309614816581845	0.48207240936406	0.300837010140072	0.420489828101988	0.307189317666266	0.541384734102028	0.511552912698134	0.759172750430701	0.808189174219712	0.495972630095478	0.882154989682486	0.868547704987354	0.465591563237714	0.890557800889359	0.689462905939156	0.382474023779659	0.696521414397633	0.291377273329737	0.530732188481582	0.491633176658125	0.471838130263234	0.822938225312044	0.920744245896501	0.922123505270522	0.793728429346553	0.942942840212263	0.281749245277745	0.695721495964922	0.585207471252476	0.647232287987274	0.595134044888253	0.688564957597337	0.49862877569094	0.345041220435296	0.392173762030674	0.340906391458618	0.347957294322877	0.330873926070635	0.661394504417479	0.716129818038312	0.277246036523932	0.281795310517389	0.252513786012313	0.259673353013275	0.196975292745516	0.528701797014754	0.270828914597651	0.253295294154241	0.280726996243901	0.372229108667465	0.308609157102308	0.232807715530756	0.252013091234553	0.306408115416979	0.229631274218671	0.413551703914315	0.191600014331179	0.854868272585616	0.753579639427404	0.238223578157699	0.683328815821459	0.699570945390255	0.712425803574763	0.684131437881336	0.660224297627024	0.502480906554925	0.409250260963957	0.372991563879836	0.724775776322244	0.273070815501671	0.308087723887035	0.312936420322315	0.725771101603805	0.292506814629914	0.372606249958625	0.283152733171659	0.629083366195901	0.418100274171522	0.301957934092349	0.627326007018465	0.858683063434944	0.494767655836829	0.687791289890631	0.331750013693658	0.241385901594197	0.798845217344696	0.378255974471472	0.87415332293854	0.882319475343911	0.511614373241159	0.230222440740651	0.551027833041859	0.872911936716688	0.438208419493848	0.300424235522886	0.308254727157869	0.223410348664161	0.288990737413259	0.24357240987989	0.623646692001003	0.336942771410507	0.419641581808444	0.488809934266574	0.452250932898103	0.309230785544672	0.305175174200545	0.462880891257662	0.340032917638885	0.287640284469484	0.366917851656531	0.534834977984078	0.880554133062425	0.419285215954377	0.819762979354203	0.486548947471646
Corneal cells.lz	0.859306005559744	0.728547242604194	0.797598172060152	0.799161312119687	0.242111370806562	0.842733407726234	0.745022277167077	0.330420158062474	0.532746112831403	0.532762779422424	0.269070266306629	0.453660549656724	0.699487646025465	0.406337948099623	0.409986270458757	0.756392594771952	0.739453274089388	0.377549717068413	0.876649574748847	0.847297780754171	0.818482645191261	0.80574843241361	0.378625229938092	0.410029562716751	0.436735893484429	0.341075258243797	0.267387062610435	0.432790593088789	0.442074337947669	0.692102176179574	0.484543379281991	0.368277558874243	0.354242855580127	0.579422806492677	0.760792529851138	0.609311051124497	0.605393225969601	0.891716301743876	0.759957994878798	0.43208274076225	0.844204735578926	0.761548102538872	0.477937840630213	0.855943162734799	0.292322606017715	0.455176554898197	0.620293773744175	0.293219618470695	0.193725296684375	0.765653451855535	0.372266943548085	0.73777546317587	0.445022917025934	0.570007735554263	0.649498931046419	0.65927742303018	0.294374778200067	0.293021291868791	0.440284667783512	0.539646516071981	0.773917388650195	0.640454382905928	0.419719448981822	0.528421541858842	0.364733803197503	0.558808530456296	0.700797066794197	0.785297520924298	0.894422092639801	0.211155133092902	0.240667168413313	0.275233756462208	0.357267455466961	0.325381759674918	0.466939740336103	0.518325526906845	0.475175355961326	0.486334901271046	0.500802168482329	0.15493595381401	0.641811691853095	0.623897424440246	0.51293585252707	0.416305150200416	0.362618845531328	0.230738625168383	0.498624041034107	0.287759506554342	0.331043459662463	0.218564217014719	0.319748414578938	0.0966295958566584	0.167320585751808	0.273162233717832	0.112388051580377	0.108866743320667	0.166907334875658	0.144258726588157	0.105118977689298	0.278125436430585	0.238313609322757	0.325517515100861	0.476387852299497	0.477607968375041	0.522629615066155	0.600146878959333	0.129741723649252	0.434908257635377	0.275083221493532	0.625343809762051	0.0895130842967979	0.325974364615171	0.544463733269031	0.138394373640414	0.0359191647750833	0.115149632200797	0.106149171584969	0.311695901410401	0.735183497393642	0.0996949114660502	0.478550070719063	0.0249043862013897	0.042809928681969	0.167885998043448	0.618083451340028	0.147392886147508	0.0662659704673819	0.452616971642821	0.509376311095566	0.688755762949664	0.841765446650002	0.864280743840576	0.691294239238262	0.112548843742475	0.326695560952345	0.265053089719296	0.174268100838683	0.7899739228815	0.929000553674676	0.803728343828368	0.883912847961733	0.760957424145592	0.450138466550546	0.759206340261408	0.624746775768907	0.141934556248509	0.516727693787542	0.183859662047913	0.114213000003554
Endothelial cells.lz	0.790485977025359	0.628699062497011	0.557489878325973	0.683286125797674	0.257663508204149	0.745022277167077	0.856222438577401	0.486444637399068	0.567017656151653	0.635206759595705	0.458605434846766	0.479539725583635	0.59922228834521	0.558009005144293	0.527779871984395	0.646156801310351	0.532898624392242	0.434200654578975	0.802989274104853	0.679410590661318	0.767713222363315	0.836053619660957	0.577129296681171	0.197590228179112	0.184752435427438	0.227569334896593	0.231295995597738	0.398743332572183	0.554515650019203	0.48211996688328	0.411149499202428	0.476266858109401	0.304961291131949	0.379735591798214	0.594042346030245	0.555421017182843	0.6519509674526	0.557068504458666	0.763193285784351	0.567157330171067	0.578217163746967	0.474885894587873	0.328485567899683	0.579091957314757	0.312125932905773	0.282657866867005	0.734569671195036	0.401617401645392	0.338157567809189	0.709229324871222	0.271429126855803	0.620167262876445	0.61795182404506	0.559023419257073	0.665690575264415	0.475257137792631	0.24727683410273	0.24070391303717	0.313795081404865	0.271478903382911	0.663590539922853	0.418502520492917	0.260945900803352	0.504737325633433	0.272889749239158	0.501638309849332	0.763341937235945	0.828574950366053	0.833565458870507	0.757409594778857	0.493656763329624	0.473767910549758	0.546443094890946	0.416336013521585	0.880195965181684	0.898112528807794	0.851384294551041	0.871479264644149	0.789949920593439	0.527550470803336	0.822491969324987	0.784985855560567	0.652307422648523	0.758315104807574	0.611988735772024	0.20910179388948	0.720606769320762	0.665107733448001	0.545294723620961	0.510039788064832	0.772740040823198	0.219948928053593	0.279076463262978	0.467380855368784	0.350910328356197	0.33056834030547	0.356064659853775	0.330658999751663	0.301625850746856	0.238181532886999	0.225124725531889	0.58324657843601	0.32985073870423	0.780627822534811	0.795066981134528	0.726031086393479	0.339156892978478	0.591161494819242	0.426648823512501	0.738124104494844	0.346897408603106	0.801430821291438	0.912402427817303	0.583928940884401	0.267987736255443	0.366568049715569	0.538822046572198	0.759968409073603	0.695254062039433	0.428968945313036	0.348359083381788	0.119826638034436	0.138741208863888	0.353602845798236	0.47616629025724	0.269506745942113	0.14227025931372	0.44100807453798	0.495261687205225	0.632475572145941	0.645613180257998	0.639628218330391	0.563944173781256	0.324172341880104	0.320967751966949	0.35983309618645	0.550785474171729	0.504201668193803	0.641653820763243	0.519859798495229	0.571933131277009	0.627650613331758	0.446372810793211	0.594188129225186	0.571707661173231	0.203872093822538	0.563936534467174	0.31073611934105	0.481799428266301
Epidermal cells A.lz	0.460314281225163	0.590733279984942	0.681021074730737	0.630705421606585	0.454064392144985	0.330420158062474	0.486444637399068	0.971544794679682	0.933649809968636	0.966026334689776	0.959066636231856	0.902978528154119	0.902804554514318	0.967985024953551	0.899179368035277	0.530831776588613	0.615389178869166	0.617523902856735	0.399248656705727	0.464873251050528	0.437766495738055	0.496839228850977	0.279332896237045	0.661679548452653	0.752765560807719	0.808049902629885	0.619588223807977	0.887329690972771	0.864879468069962	0.896124008598241	0.884439034363287	0.788004969133204	0.453579433457139	0.407878231413741	0.684900036339013	0.797035047015567	0.861074496611491	0.422243555263092	0.53680274936158	0.890863953413533	0.252410247768524	0.448871062483244	0.137960020123161	0.286625515123496	0.128614952751777	0.14299302184145	0.735781095878109	0.765967049076151	0.329095002666518	0.639912158583926	0.636270403650321	0.399008679412573	0.670449122106634	0.749934867874756	0.58587181015762	0.362319192043591	0.19314330294117	0.350225371959412	0.667419246808875	0.322940714180148	0.4132183231877	0.5723965831686	0.545155279875808	0.584623850712355	0.540502659612026	0.334284828769629	0.509913345075383	0.48234245409465	0.35958253451997	0.426395051856384	0.425966079828773	0.741790545987139	0.247467727142964	0.282866984294541	0.652921753530089	0.412634729373804	0.556581779539382	0.609596769526855	0.541580664071406	0.557190773125412	0.415508243002647	0.364980516944642	0.504851915213393	0.777772414126858	0.675936731348658	0.716990808788694	0.496860764081047	0.863120318932478	0.813648388182388	0.614294342115668	0.870625910137865	0.148292524665121	0.190192957607948	0.758846933483321	0.519809632822791	0.569855246632984	0.544270713911463	0.592268855863342	0.533330706590719	0.35967500738472	0.52245307366103	0.326940604333464	0.202101930033356	0.686836441788532	0.348505930752019	0.319702281871093	0.556075118162097	0.636608047474483	0.720640896849696	0.507877447148475	0.363823733202208	0.380291786131229	0.587719796839663	0.349558811646929	0.206779269020103	0.26888394812808	0.3019332168737	0.355941200969717	0.339482731766725	0.215813007212349	0.87299666333695	0.160776857282854	0.267015807526788	0.718761119216684	0.771239029493736	0.705987583602836	0.291003929156679	0.820361059677025	0.813804342449145	0.677235351500347	0.485041494114055	0.726511532607556	0.76176204779172	0.142045766005441	0.722310863962459	0.774125405368557	0.463090479006501	0.53021508361845	0.41890084213453	0.445340991382876	0.416828636789894	0.599164581961007	0.778556983141209	0.428863858892085	0.721818082267007	0.486907469451736	0.792088851476597	0.320264540076649	0.297817485562555
Epidermal cells B.lz	0.561330951162545	0.608227733640578	0.727826060345921	0.671098783084921	0.38261069489749	0.532746112831403	0.567017656151653	0.933649809968636	0.867016883339769	0.926944128299126	0.908193643237869	0.819743006811596	0.841705665960751	0.93923857025652	0.822278095829682	0.562337554801861	0.687290800048435	0.569600831952661	0.520766577620955	0.492716513826559	0.56331403289935	0.522020495394367	0.286463027473312	0.616668931075144	0.723765078493201	0.718961671676004	0.544900839464474	0.854197989506341	0.811016239585703	0.824083272550332	0.767878656584973	0.706557707980857	0.326708491858146	0.351186269229516	0.719086875096708	0.783710208442409	0.838380827664663	0.574783824158897	0.577489300677746	0.802185623763738	0.388501049374496	0.505326513041135	0.115320257037338	0.440302841025321	0.101600054983581	0.115678727310413	0.770905415437664	0.774063974842456	0.306093945529139	0.653985501016955	0.574766450300474	0.448309458294012	0.570183796208997	0.697944250387907	0.518404515149898	0.377520310711413	0.15425789269021	0.266613721528993	0.586878052320088	0.32052318202295	0.505538253846299	0.674713826727305	0.470599221414015	0.540960296111073	0.356494632847254	0.310923767460203	0.552905164574236	0.573530539257599	0.418280032716868	0.445210245219698	0.324396161347305	0.761580172539564	0.2751751461314	0.294256303735239	0.648583297771379	0.39754288906048	0.513016215269753	0.573699637256851	0.489700101492544	0.506153611593238	0.465094381366192	0.31693666208244	0.465706690774169	0.805095670712546	0.681293879637135	0.630635452000469	0.464647745970628	0.834141907955462	0.764332512769545	0.627902445488847	0.871659376319323	0.0885464302580259	0.144943019962762	0.719436836621832	0.457321561953598	0.502194615416006	0.491278021688775	0.497826196750255	0.400329815373303	0.232358423940358	0.392104545793981	0.301083598613805	0.203622917184025	0.658862837605367	0.343290105976745	0.356293359412315	0.489987496258709	0.723825732104097	0.709022880139637	0.552698160681433	0.272661576284537	0.331083566976048	0.564822442793484	0.253815609945287	0.167088072209803	0.231688116690074	0.24963725705216	0.351423621356431	0.395313477542385	0.1787876344763	0.906515098205336	0.101315082067622	0.215032491980365	0.615437651628197	0.769777449202348	0.686827322145164	0.191823295646709	0.81276580330626	0.825631417845631	0.700149606530837	0.538983092448937	0.79790664801809	0.796079335869565	0.130080707140075	0.686970956857154	0.77501024604934	0.434023572835308	0.567932427477218	0.475991904829496	0.466727469205141	0.493788307799467	0.639989265544163	0.77501044925006	0.461419724303051	0.724314035729776	0.384967188303009	0.755308096980587	0.262407357740275	0.239575852360434
Epidermal cells C.lz	0.531727375914784	0.606687691278989	0.722156798435651	0.671466973962036	0.426781075685027	0.532762779422424	0.635206759595705	0.966026334689776	0.926944128299126	0.966169523865809	0.952886824719961	0.892623446769503	0.907357454586625	0.967929343487106	0.889543251158952	0.574441529714108	0.715921678857347	0.614677261909048	0.54771852242996	0.573475604112942	0.545473403806003	0.497231381583717	0.264864392717744	0.640538790570198	0.755292172383642	0.779201542068569	0.561990256154169	0.900585628732677	0.881823163791546	0.880612916952587	0.840412482182081	0.787281568501176	0.394362938327434	0.408515479908285	0.777762849486737	0.845762420540457	0.886330998981746	0.559621437351168	0.592055259953346	0.888190358245031	0.3607637322627	0.537351832562253	0.122296963776617	0.424945443651011	0.110375281007774	0.128535090596266	0.840688162841295	0.763113533341043	0.367926742060604	0.645199713253686	0.602490023024373	0.466106238478376	0.653027851754809	0.760787334427752	0.520224915675638	0.369412022879763	0.148815920002738	0.238272937357681	0.632168246827217	0.303814705183917	0.47498400420441	0.640520177431077	0.399923880502894	0.471795548357699	0.362059532577039	0.220680312499732	0.550933686100383	0.536851060870081	0.446699901762314	0.4093997061789	0.393470356375006	0.746648839348943	0.172772037550308	0.188911865785327	0.640256592462929	0.418303545965052	0.580293772935597	0.555982650308315	0.58794257071448	0.487862689668097	0.464317456495594	0.373815653374902	0.528738432003833	0.810448183813037	0.707177647364994	0.658783163751869	0.524219594233228	0.877738641255016	0.840025237806214	0.673557022560198	0.89069549461645	0.112715100696908	0.155789621888049	0.74457964271753	0.48613142330516	0.538488729318494	0.499034336236224	0.544210736921863	0.427097799125603	0.259852342015593	0.438149788674413	0.339356303809811	0.200644637938675	0.64838683765188	0.352462028939162	0.344538418155681	0.528262420478963	0.711599008676091	0.759152361690975	0.515669074740898	0.329234205871251	0.441641152915958	0.551827581800758	0.24550423661063	0.176903127818318	0.185725750370787	0.237811719497757	0.356886392395712	0.336172424568882	0.203715550491681	0.883846031684419	0.124314018366329	0.217418517042483	0.536110626110585	0.727603377714782	0.700165315648077	0.241222492293149	0.795521811620221	0.808235085128057	0.673117911536517	0.426094346269789	0.783870900055284	0.786818194153977	0.111163962683769	0.607483818434541	0.6476407634644	0.329193363513583	0.513479617020102	0.496235492603694	0.449426573016559	0.450777766341787	0.552813879202648	0.72984652191161	0.399799238612761	0.723494905564491	0.450366276753486	0.734061202862399	0.185562384037383	0.207293364119999
