CellType1	Species1	Cluster1	CellType2	Species2	Cluster2	Mean_AUROC
Endothelial cell A.m	Mouse	Endothelial.m	Endothelial cells.lz	Zebrafish	Endothelial.z	0.995692199
Chondrocytes B.h	Human	Stromal.h	Chondrocyte D.m	Mouse	Stromal.m	0.979807513
neural progenitors.s	Schmidtea	Proliferating.s	Precursorsan.n	Nematostella	Proliferating.n	0.424372835
Intestine.c	Celegans	Epithelial.c	phagocytes.s	Schmidtea	Phagocytes.s	0.909016666
Premeiotic germ cell.m	Mouse	Proliferating.m	Neurons B (Proliferating).lz	Zebrafish	Proliferating.z	0.954029391
Undifferentiated mesodermal cells.lz	Zebrafish	Proliferating.z	Ciona33	SeaSquirts	Proliferating.a	0.827473687
Epidermal cells A.lz	Zebrafish	Epithelial.z	Ciona17	SeaSquirts	Mesenchyme.a	0.872996663
Oxygen sensory neurons.c	Celegans	Neuron.c	GABA neurons.s	Schmidtea	Neuron.s	0.97464567
Neuronal precursors A.lz	Zebrafish	Proliferating.z	Ciona35	SeaSquirts	Proliferating.a	0.925527943
Cholinergic neurons.c	Celegans	Neuron.c	ChAT neurons 1.s	Schmidtea	Neuron.s	0.971250694
Myeloid cell B.h	Human	Myeloid.h	Neutrophil A.m	Mouse	Neutrophil.m	0.937549108
psap+ parenchymal cells.s	Schmidtea	Parenchymal.s	Gastrodermisan.n	Nematostella	Gastrodermis.n	0.936804879
Erythrocyte A.m	Mouse	Erythroid.m	Erythrocytes A.lz	Zebrafish	Erythroid.z	0.98771108
Endocrine epithelial.h	Human	Endothelial.h	Endothelial cell B.m	Mouse	Endothelial.m	0.375670919
Neutrophil E.h	Human	Neutrophil.h	Neutrophil C.m	Mouse	Neutrophil.m	0.995123801
T cell A.h	Human	T cell.h	B cell A.m	Mouse	B cell.m	0.935004953
Epithelial cells (Fin).lz	Zebrafish	Epithelial.z	Ciona27	SeaSquirts	Mesenchyme.a	0.805653823
Excretory cells.c	Celegans	Excretory.c	aqp+ parenchymal cells.s	Schmidtea	Parenchymal.s	0.976197352
Fibroblasts A.lz	Zebrafish	Stromal.z	Ciona33	SeaSquirts	Proliferating.a	0.903314275
Neurons (CNS)(B).z	Zebrafish	Neuron.z	Ciona18	SeaSquirts	Neuron.a	0.999089277
Stromal cell A.m	Mouse	Stromal.m	Fibroblasts (Liver)(P).z	Zebrafish	Stromal.z	0.93529456
Chondrocyte B.m	Mouse	Stromal.m	Chondrocytes C.lz	Zebrafish	Stromal.z	0.949283167
Dopaminergic neurons.c	Celegans	Neuron.c	cav-1+ neurons.s	Schmidtea	Neuron.s	0.981036914
Unknown(B).z	Zebrafish	UnknownB.z	Ciona13	SeaSquirts	NeuronA.a	0.938699829
Pigment cells (Iridophores).lz	Zebrafish	Epithelial.z	Ciona27	SeaSquirts	Mesenchyme.a	0.772766244
Monocyte B.m	Mouse	Monocyte.m	Macrophages.lz	Zebrafish	Immune.z	0.905790271
Enterocyte A.h	Human	Epithelial.h	Gastric epithelial cell.m	Mouse	Epithelial.m	0.992699614
neoblast 8.s	Schmidtea	Proliferating.s	Precursorsan.n	Nematostella	Proliferating.n	0.760798491
Ciona28	SeaSquirts	Mesenchyme.a	Rectum.c	Celegans	Epithelial.c	0.538159894
Ciona23	SeaSquirts	Mesenchyme.a	Non-seam hypodermis.c	Celegans	Epithelial.c	0.68204743
Macrophage B.m	Mouse	Macrophage.m	Macrophages.lz	Zebrafish	Immune.z	0.994337412
Adipocyte.m	Mouse	Muscle.m	Skeletal muscle cells B.lz	Zebrafish	Muscle.z	0.970858197
Dendritic cell D.m	Mouse	Dendritic.m	Macrophages.lz	Zebrafish	Immune.z	0.986725192
neoblast 1.s	Schmidtea	Proliferating.s	Precursorsan.n	Nematostella	Proliferating.n	0.846635921
Endothelial cell C.h	Human	Endothelial.h	Endothelial cell A.m	Mouse	Endothelial.m	0.894575093
Neuron D.h	Human	Neuron.h	Oligodendrocyte A.m	Mouse	Neuron.m	0.992005067
neoblast 11.s	Schmidtea	Proliferating.s	Precursorsan.n	Nematostella	Proliferating.n	0.737767224
epidermal neoblasts.s	Schmidtea	Proliferating.s	Precursorsan.n	Nematostella	Proliferating.n	0.698536456
Ciona35	SeaSquirts	Proliferating.a	Somatic gonad precursors.c	Celegans	Proliferating.c	0.892061827
Epidermal cells D.lz	Zebrafish	Epithelial.z	Ciona23	SeaSquirts	Mesenchyme.a	0.875159782
Mast cell.m	Mouse	Mast.m	Granulocytes(P).z	Zebrafish	Immune.z	0.915996161
Gastric Endocrine cell.h	Human	Secretory.h	Gastric epithelial cell.m	Mouse	Epithelial.m	0.974731601
Satellite cells.lz	Zebrafish	Proliferating.z	Ciona33	SeaSquirts	Proliferating.a	0.870571943
Astrocyte.m	Mouse	Neuron.m	Retinal cells B.lz	Zebrafish	Neuron.z	0.98983821
Chondrocyte C.m	Mouse	Stromal.m	Chondrocytes C.lz	Zebrafish	Stromal.z	0.972805664
Hepatocyte A.m	Mouse	Hepatocyte.m	Hepatocytes A.lz	Zebrafish	Hepatocyte.z	0.992977608
gut progenitors.s	Schmidtea	Proliferating.s	Precursorsan.n	Nematostella	Proliferating.n	0.773816732
epidermis.s	Schmidtea	Epithelial.s	Dig_filamentsan.n	Nematostella	DigFilaments.n	0.941681379
glia.s	Schmidtea	Glia.s	Musclean.n	Nematostella	Muscle.n	0.88336173
Gastric epithelial cell.m	Mouse	Epithelial.m	Epidermal cells A.lz	Zebrafish	Epithelial.z	0.984315721
Fasciculata cell B.h	Human	Stromal.h	Chondrocyte A.m	Mouse	Stromal.m	0.836787922
Smooth muscle B.lz	Zebrafish	Muscle.z	Ciona8	SeaSquirts	Muscle1.a	0.911826301
Ciona12	SeaSquirts	Epithelial.a	Pharyngeal epithelia.c	Celegans	Pharynx.c	0.987149673
Skeletal muscle cells B.lz	Zebrafish	Muscle.z	Ciona8	SeaSquirts	Muscle1.a	0.942832744
