Celltype1	Species1	Cluster1	Celltype2	Species2	Cluster2	Mean_AUROC
Socket cells.c	Celegans	Glia.c	secretory 3.s	Schmidtea	Secretory.s	0.580983706
T cell B.m	Mouse	T cell.m	Hepatocytes A.lz	Zebrafish	Hepatocyte.z	0.229172734
Oligodendrocyte.m	Mouse	Neuron.m	Unknown(H).z	Zebrafish	UnknownH.z	0.723423744
Epithelial cell A.m	Mouse	Epithelial.m	Endothelial cells (lymph)(P).z	Zebrafish	Endothelial.z	0.650531376
Rectum.c	Celegans	Epithelial.c	activated early epidermal progenitors.s	Schmidtea	Proliferating.s	0.60090042
Macrophage C.m	Mouse	Macrophage.m	Fibroblasts C.lz	Zebrafish	Stromal.z	0.162808783
Epithelial cell (kidney).h	Human	Epithelial.h	Monocyte B.m	Mouse	Monocyte.m	0.073571132
Oligodendrocyte.m	Mouse	Neuron.m	Erythrocytes(H).z	Zebrafish	Erythroid.z	0.260813015
Fibroblast C.m	Mouse	Stromal.m	Pancreas endocrine cells (epsilon)(P).z	Zebrafish	Secretory.z	0.235910906
Mast cell.h	Human	Mast.h	Neutrophil B.m	Mouse	Neutrophil.m	0.438630343
Macrophage A.m	Mouse	Macrophage.m	Pigment cells (Melanocytes).lz	Zebrafish	Epithelial.z	0.707230787
Conventional dendritic cell B.h	Human	Dendritic.h	Renal tubular cell.m	Mouse	Epithelial.m	0.137118139
Proliferating cell B.m	Mouse	Proliferating.m	Granulocytes(H).z	Zebrafish	Immune.z	0.079552875
Stromal cell A.m	Mouse	Stromal.m	Pancreas endocrine cells (epsilon)(P).z	Zebrafish	Secretory.z	0.38159145
Fasciculata cell B.h	Human	Stromal.h	Chondrocyte C.m	Mouse	Stromal.m	0.645599252
Microglia A.h	Human	Macrophage.h	Neutrophil C.m	Mouse	Neutrophil.m	0.951963301
Neutrophil C.m	Mouse	Neutrophil.m	Epidermal cells C.lz	Zebrafish	Epithelial.z	0.748092113
M2 Macrophage A.m	Mouse	Macrophage.m	Smooth muscle cells A (Vasculature).lz	Zebrafish	Muscle.z	0.713962969
Endothelial cells (Heart)(H).z	Zebrafish	Endothelial.z	Ciona1	SeaSquirts	Mesenchyme.a	0.546482913
CD8 T cell A.h	Human	T cell.h	Monocyte A.m	Mouse	Monocyte.m	0.73627887
Osteoclast.h	Human	Stromal.h	Myocyte.m	Mouse	Muscle.m	0.491085467
B cel (centrocyte).m	Mouse	B cell.m	Satellite cells.lz	Zebrafish	Proliferating.z	0.845999781
Erythrocytes B.lz	Zebrafish	Erythroid.z	Ciona3	SeaSquirts	Mesenchyme.a	0.548228404
Chondrocytes B.h	Human	Stromal.h	Stromal cell C.m	Mouse	Stromal.m	0.823068884
Basal cell A.h	Human	Epithelial.h	Erythrocyte B.m	Mouse	Erythroid.m	0.407165602
Macrophage A.h	Human	Macrophage.h	Smooth muscle cell D.m	Mouse	Muscle.m	0.188090159
Endothelial cell D.m	Mouse	Endothelial.m	Radial glia B.lz	Zebrafish	Neuron.z	0.427479477
Urothelium.m	Mouse	Epithelial.m	Unknown(H).z	Zebrafish	UnknownH.z	0.48065943
Erythrocyte C.m	Mouse	Erythroid.m	Endothelial cells (Blood vessel)(H).z	Zebrafish	Endothelial.z	0.379010158
Chondrocytes A.h	Human	Stromal.h	Endothelial cell D.m	Mouse	Endothelial.m	0.503580167
Erythroid Progenitor.h	Human	Erythroid.h	Skeletal muscle cell A.m	Mouse	Muscle.m	0.654662168
Oligodendrocyte A.h	Human	Neuron.h	Pancreatic endocrine cell.m	Mouse	Secretory.m	0.674594647
Mast cell.h	Human	Mast.h	Skeletal muscle cell A.m	Mouse	Muscle.m	0.353410105
Conventional dendritic cell A.h	Human	Dendritic.h	Fibroblast B.m	Mouse	Stromal.m	0.292485815
Stromal cell F.m	Mouse	Stromal.m	Smooth muscle B.lz	Zebrafish	Muscle.z	0.610355142
Gastric chief cell.h	Human	Secretory.h	Spongiotrophoblast.m	Mouse	Proliferating.m	0.868638811
Acinar cell A.h	Human	Secretory.h	Stromal cell C.m	Mouse	Stromal.m	0.278265138
Stromal cell C.h	Human	Stromal.h	Proliferating cell A.m	Mouse	Proliferating.m	0.814350045
Basal cell A.h	Human	Epithelial.h	Smooth muscle cell B.m	Mouse	Muscle.m	0.431115241
Fibroblast B.m	Mouse	Stromal.m	Fibroblasts A.lz	Zebrafish	Stromal.z	0.907302673
Neuron A.m	Mouse	Neuron.m	Radial glia(B).z	Zebrafish	Neuron.z	0.924302768
Pancreatic acinar cell B.m	Mouse	Secretory.m	Chondrocytes A.lz	Zebrafish	Stromal.z	0.813904036
Pancreatic endocrine cell.m	Mouse	Secretory.m	Undifferentiated cells(P).z	Zebrafish	Proliferating.z	0.930491855
CD8 T cell A.h	Human	T cell.h	Epithelial cell A.m	Mouse	Epithelial.m	0.531734617
Hepatocyte A.m	Mouse	Hepatocyte.m	Microglia(B).z	Zebrafish	Immune.z	0.226879933
Erythrocyte B.h	Human	Erythroid.h	Cd8 T cell A.m	Mouse	T cell.m	0.77829159
Macrophage D.h	Human	Macrophage.h	Oligodendrocyte B.m	Mouse	Neuron.m	0.178835577
Fasciculata cell A.h	Human	Stromal.h	Chondrocyte D.m	Mouse	Stromal.m	0.564164011
Pancreatic endocrine cell.m	Mouse	Secretory.m	Keratinocytes A.lz	Zebrafish	Epithelial.z	0.343332355
Pancreas exocrine cell.h	Human	Secretory.h	Epithelial cell A.m	Mouse	Epithelial.m	0.886244102
Endothelial cell C.h	Human	Endothelial.h	Kidney stromal cell.m	Mouse	Stromal.m	0.82507384
Endocrine epithelial.h	Human	Endothelial.h	Neuron A.m	Mouse	Neuron.m	0.596425953
Renal tubular cell.m	Mouse	Epithelial.m	Erythrocytes(H).z	Zebrafish	Erythroid.z	0.408703009
