Sub_Cluster1	Sub_Cluster2	Value
Centrocyte.h	B cell.m	0.894062667666667
Dendritic.h	B cell.m	0.773858624
Endothelial.h	B cell.m	0.39369553652381
Epithelial.h	B cell.m	0.382189481791667
Erythroid.h	B cell.m	0.634950309166667
Hepatocyte.h	B cell.m	0.687190451666667
Macrophage.h	B cell.m	0.683480159766667
Mast.h	B cell.m	0.550716338666667
Monocyte.h	B cell.m	0.891298189666667
Muscle.h	B cell.m	0.258296119666667
Myeloid.h	B cell.m	0.833963139666667
Neuron.h	B cell.m	0.277682399033333
Neutrophil.h	B cell.m	0.809923030333333
Plasmocyte.h	B cell.m	0.849057921833333
Proliferating.h	B cell.m	0.270135580666667
Secretory.h	B cell.m	0.34596641452381
Stromal.h	B cell.m	0.25553906645
T cell.h	B cell.m	0.868907782916667
Epithelial.s	Cnidocytean.n	0.523617683
Excretory.s	Cnidocytean.n	0.208657382
Glia.s	Cnidocytean.n	0.203017686
Muscle.s	Cnidocytean.n	0.7116453665
Neuron.s	Cnidocytean.n	0.501161155
Parenchymal.s	Cnidocytean.n	0.663108906
Phagocytes.s	Cnidocytean.n	0.721256851
Pharynx.s	Cnidocytean.n	0.177539444
Proliferating.s	Cnidocytean.n	0.591623280782609
Secretory.s	Cnidocytean.n	0.7687902626
Epithelial.a	Coelomocytes.c	0.796805743
EpithelialA.a	Coelomocytes.c	0.7296978295
Mesenchyme.a	Coelomocytes.c	0.552734740333333
MesenchymeA.a	Coelomocytes.c	0.62907497425
Muscle1.a	Coelomocytes.c	0.494448726
Muscle.a	Coelomocytes.c	0.3711524955
Neuron.a	Coelomocytes.c	0.721134885333333
NeuronA.a	Coelomocytes.c	0.787735869
Proliferating.a	Coelomocytes.c	0.291173805166667
Centrocyte.h	Cumulus.m	0.276256972
Dendritic.h	Cumulus.m	0.208536738
Endothelial.h	Cumulus.m	0.514047141571429
Epithelial.h	Cumulus.m	0.61872912225
Erythroid.h	Cumulus.m	0.3984873415
Hepatocyte.h	Cumulus.m	0.266553242
Macrophage.h	Cumulus.m	0.2715471366
Mast.h	Cumulus.m	0.311212286
Monocyte.h	Cumulus.m	0.1364261925
Muscle.h	Cumulus.m	0.6153748512
Myeloid.h	Cumulus.m	0.276932157
Neuron.h	Cumulus.m	0.6907625634
Neutrophil.h	Cumulus.m	0.225683109166667
Plasmocyte.h	Cumulus.m	0.28313232
Proliferating.h	Cumulus.m	0.737043427
Secretory.h	Cumulus.m	0.667803600714286
Stromal.h	Cumulus.m	0.7045031523
T cell.h	Cumulus.m	0.30021653275
Centrocyte.h	Dendritic.m	0.827890381666667
Dendritic.h	Dendritic.m	0.870879011
Endothelial.h	Dendritic.m	0.540633419190476
Epithelial.h	Dendritic.m	0.461520106135417
Erythroid.h	Dendritic.m	0.44452006575
Hepatocyte.h	Dendritic.m	0.747210209666667
Macrophage.h	Dendritic.m	0.818660232683333
Mast.h	Dendritic.m	0.7443259075
Monocyte.h	Dendritic.m	0.909952791083333
Muscle.h	Dendritic.m	0.390905396566667
Myeloid.h	Dendritic.m	0.759652209166667
Neuron.h	Dendritic.m	0.200735791083333
Neutrophil.h	Dendritic.m	0.810734159333333
Plasmocyte.h	Dendritic.m	0.796170246083333
Proliferating.h	Dendritic.m	0.153414828916667
Secretory.h	Dendritic.m	0.283195261571429
Stromal.h	Dendritic.m	0.301824393058333
T cell.h	Dendritic.m	0.77107194675
Epithelial.s	DigFilaments.n	0.7323678185
Excretory.s	DigFilaments.n	0.891140257
Glia.s	DigFilaments.n	0.684391889
Muscle.s	DigFilaments.n	0.4276415005
Neuron.s	DigFilaments.n	0.620634145625
Parenchymal.s	DigFilaments.n	0.597616896333333
Phagocytes.s	DigFilaments.n	0.672886284
Pharynx.s	DigFilaments.n	0.901407635
Proliferating.s	DigFilaments.n	0.502584302086956
Secretory.s	DigFilaments.n	0.4731096026
Epithelial.a	DistalTip.c	0.723210526666667
EpithelialA.a	DistalTip.c	0.6492110285
Mesenchyme.a	DistalTip.c	0.401114224111111
MesenchymeA.a	DistalTip.c	0.475576371
Muscle1.a	DistalTip.c	0.702711501
Muscle.a	DistalTip.c	0.605255778
Neuron.a	DistalTip.c	0.604160929333333
NeuronA.a	DistalTip.c	0.574880661
Proliferating.a	DistalTip.c	0.669722090833333
Centrocyte.h	Endothelial.m	0.3954288745
Dendritic.h	Endothelial.m	0.541028890125
Endothelial.h	Endothelial.m	0.816539545178571
Epithelial.h	Endothelial.m	0.490088005109375
Erythroid.h	Endothelial.m	0.3486006624375
Hepatocyte.h	Endothelial.m	0.48473350525
Macrophage.h	Endothelial.m	0.521858345
Mast.h	Endothelial.m	0.620650246
Monocyte.h	Endothelial.m	0.413396486125
Muscle.h	Endothelial.m	0.7676355247
Myeloid.h	Endothelial.m	0.3982481385
Neuron.h	Endothelial.m	0.393764419725
Neutrophil.h	Endothelial.m	0.35568549775
Plasmocyte.h	Endothelial.m	0.3587806185
Proliferating.h	Endothelial.m	0.52890848425
Secretory.h	Endothelial.m	0.408927212428571
Stromal.h	Endothelial.m	0.573221329075
T cell.h	Endothelial.m	0.35756249
B cell.m	Endothelial.z	0.431489147388889
Cumulus.m	Endothelial.z	0.557860096
Dendritic.m	Endothelial.z	0.681972257916667
Endothelial.m	Endothelial.z	0.9376274325
Epithelial.m	Endothelial.z	0.522661033045455
Erythroid.m	Endothelial.z	0.308292455666667
Hepatocyte.m	Endothelial.z	0.484137870666667
Macrophage.m	Endothelial.z	0.712438149027778
Mast.m	Endothelial.z	0.438603403333333
Monocyte.m	Endothelial.z	0.558548215583333
Muscle.m	Endothelial.z	0.623081542685185
Neuron.m	Endothelial.z	0.29761665
Neutrophil.m	Endothelial.z	0.391953722291667
