,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p,27_n,27_p,28_n,28_p,29_n,29_p,30_n,30_p,31_n,31_p
0,ENSDARG00000023062,0.0,ENSDARG00000002403,0.0,ENSDARG00000033735,0.0,ENSDARG00000012593,0.0,ENSDARG00000010434,0.0,ENSDARG00000088091,0.0,ENSDARG00000103747,0.0,ENSDARG00000102744,0.0,ENSDARG00000076290,4.2860238409951637e-271,ENSDARG00000054804,5.9822942108458825e-238,ENSDARG00000037895,7.750219378758327e-305,ENSDARG00000027355,0.0,ENSDARG00000104353,0.0,ENSDARG00000102340,8.277904798104642e-254,ENSDARG00000041051,0.0,ENSDARG00000037281,0.0,ENSDARG00000008407,5.123687973494033e-272,ENSDARG00000009087,0.0,ENSDARG00000096829,0.0,ENSDARG00000039150,0.0,ENSDARG00000090634,1.4609476005848425e-217,ENSDARG00000045180,0.0,ENSDARG00000012972,0.0,ENSDARG00000089413,0.0,ENSDARG00000031952,0.0,ENSDARG00000076223,6.38078232423245e-234,ENSDARG00000033735,5.170704686592821e-262,ENSDARG00000057598,5.595350357349602e-187,ENSDARG00000039579,9.929780198480501e-217,ENSDARG00000036456,2.388580288267387e-164,ENSDARG00000044935,9.04264824280212e-140,ENSDARG00000041108,1.5532386000204892e-55
1,ENSDARG00000006514,0.0,ENSDARG00000087554,0.0,ENSDARG00000013522,0.0,ENSDARG00000012066,0.0,ENSDARG00000002644,0.0,ENSDARG00000068233,0.0,ENSDARG00000041065,0.0,ENSDARG00000043848,0.0,ENSDARG00000037997,1.9766189620587298e-187,ENSDARG00000104413,2.3907974042665965e-160,ENSDARG00000103747,8.59077990215599e-284,ENSDARG00000010478,0.0,ENSDARG00000037188,0.0,ENSDARG00000093549,8.404308482376992e-147,ENSDARG00000012972,0.0,ENSDARG00000070844,0.0,ENSDARG00000043465,2.2396508948779312e-213,ENSDARG00000012450,0.0,ENSDARG00000038643,0.0,ENSDARG00000095627,0.0,ENSDARG00000011961,1.5909778067649717e-172,ENSDARG00000086391,1.1567545044243357e-294,ENSDARG00000088091,0.0,ENSDARG00000104413,4.43082759929454e-155,ENSDARG00000069464,3.21649382935029e-270,ENSDARG00000070844,6.402768809706721e-214,ENSDARG00000068784,4.569876100881956e-227,ENSDARG00000090634,7.224242507388796e-177,ENSDARG00000031228,9.886233310546722e-136,ENSDARG00000019845,2.1882424331552603e-89,ENSDARG00000043154,6.2410697619945135e-136,ENSDARG00000039150,2.5626745546425147e-49
2,ENSDARG00000087303,0.0,ENSDARG00000003938,0.0,ENSDARG00000060041,0.0,ENSDARG00000052615,0.0,ENSDARG00000098108,0.0,ENSDARG00000027063,0.0,ENSDARG00000100020,0.0,ENSDARG00000035882,2.384014050080324e-275,ENSDARG00000003570,3.83086779637003e-187,ENSDARG00000069090,1.207662213508945e-141,ENSDARG00000093549,4.0483022472786737e-277,ENSDARG00000038028,0.0,ENSDARG00000038643,0.0,ENSDARG00000104138,1.7177743303464694e-97,ENSDARG00000040076,0.0,ENSDARG00000012194,0.0,ENSDARG00000013741,2.43304387274079e-176,ENSDARG00000068233,0.0,ENSDARG00000095019,8.384765515689159e-179,ENSDARG00000044612,0.0,ENSDARG00000033539,5.618990933036006e-164,ENSDARG00000074201,1.4086735091110685e-294,ENSDARG00000020007,1.251070823411854e-151,ENSDARG00000104470,2.8107995287337694e-144,ENSDARG00000003795,3.1130249956980645e-256,ENSDARG00000094557,2.5584668035509097e-195,ENSDARG00000055064,1.3053975635350225e-203,ENSDARG00000077776,1.0371201691578039e-166,ENSDARG00000090560,4.082232028376832e-114,ENSDARG00000035858,2.4422877080290684e-88,ENSDARG00000031981,1.847787046911549e-100,ENSDARG00000043081,9.533447211068506e-49
3,ENSDARG00000069048,0.0,ENSDARG00000001760,0.0,ENSDARG00000037188,0.0,ENSDARG00000068036,0.0,ENSDARG00000000796,0.0,ENSDARG00000101785,0.0,ENSDARG00000022303,0.0,ENSDARG00000013522,1.2613995156229798e-265,ENSDARG00000044669,2.415817016782317e-149,ENSDARG00000010717,6.217029698843475e-131,ENSDARG00000035810,1.7538176129244549e-274,ENSDARG00000039007,0.0,ENSDARG00000002613,0.0,ENSDARG00000001873,1.0508978474124007e-94,ENSDARG00000032405,0.0,ENSDARG00000039007,0.0,ENSDARG00000009106,4.810305650001287e-170,ENSDARG00000089043,0.0,ENSDARG00000099918,2.8191183937337654e-170,ENSDARG00000077301,0.0,ENSDARG00000070161,4.364863366556777e-104,ENSDARG00000039579,1.2587620615286383e-264,ENSDARG00000040076,2.4913767970949862e-141,ENSDARG00000069361,9.251979674419425e-133,ENSDARG00000043371,6.855159015075241e-223,ENSDARG00000037000,3.4430634846729196e-185,ENSDARG00000095019,2.198656001697377e-201,ENSDARG00000056627,2.3834309048490772e-164,ENSDARG00000103747,1.759770598794109e-107,ENSDARG00000027529,5.596144569227002e-72,ENSDARG00000023151,1.4430184898777713e-58,ENSDARG00000102249,2.8389702540172816e-46
4,ENSDARG00000039273,0.0,ENSDARG00000002613,0.0,ENSDARG00000087554,0.0,ENSDARG00000035859,0.0,ENSDARG00000055874,0.0,ENSDARG00000054610,0.0,ENSDARG00000090560,0.0,ENSDARG00000054300,4.120507326987564e-257,ENSDARG00000068820,2.0001314912661296e-147,ENSDARG00000022315,3.6638705059511064e-122,ENSDARG00000054451,2.1153016725375186e-241,ENSDARG00000104470,2.1111374043058065e-288,ENSDARG00000011648,0.0,ENSDARG00000038306,4.7214837376979814e-86,ENSDARG00000024116,0.0,ENSDARG00000023151,0.0,ENSDARG00000002131,2.04600916885246e-144,ENSDARG00000033735,0.0,ENSDARG00000058226,3.2999561021383888e-130,ENSDARG00000044613,0.0,ENSDARG00000053656,4.471620799175886e-96,ENSDARG00000090560,1.5343841583925911e-176,ENSDARG00000038010,1.8273623001575876e-134,ENSDARG00000068262,2.118861583738302e-110,ENSDARG00000039007,1.7141194062497493e-197,ENSDARG00000000069,7.480501386334252e-139,ENSDARG00000004034,1.2695559991953895e-196,ENSDARG00000098280,6.640715999828385e-162,ENSDARG00000056178,2.197307334005766e-93,ENSDARG00000007823,1.0194323248187494e-67,ENSDARG00000012066,5.732714135065982e-29,ENSDARG00000040072,7.453481989534923e-46
5,ENSDARG00000070050,0.0,ENSDARG00000044299,0.0,ENSDARG00000002613,0.0,ENSDARG00000071586,0.0,ENSDARG00000008936,0.0,ENSDARG00000009087,0.0,ENSDARG00000075549,0.0,ENSDARG00000044751,1.4177632937344596e-244,ENSDARG00000016871,3.4655711095970766e-134,ENSDARG00000086753,3.53033930171765e-119,ENSDARG00000039579,5.2865170509188206e-241,ENSDARG00000070844,7.896598324951511e-283,ENSDARG00000078500,0.0,ENSDARG00000016733,1.7584369792658398e-85,ENSDARG00000071345,1.0048376780194392e-291,ENSDARG00000104702,0.0,ENSDARG00000098280,4.608565265840193e-143,ENSDARG00000095627,0.0,ENSDARG00000043848,9.004707495874683e-116,ENSDARG00000040251,0.0,ENSDARG00000100742,4.200327865220905e-92,ENSDARG00000093440,1.256121776100398e-172,ENSDARG00000015495,4.4987130572187283e-128,ENSDARG00000053194,1.5099107964148884e-106,ENSDARG00000063914,3.879337147464264e-167,ENSDARG00000014165,1.3117795615790633e-115,ENSDARG00000026829,7.225065391410031e-194,ENSDARG00000020015,1.2006875723391587e-159,ENSDARG00000017676,1.6582950499456732e-79,ENSDARG00000055751,6.933574464579283e-64,ENSDARG00000059933,2.7758975798760523e-26,ENSDARG00000034368,1.4725762395018213e-43
6,ENSDARG00000020007,0.0,ENSDARG00000060041,0.0,ENSDARG00000077301,0.0,ENSDARG00000044935,0.0,ENSDARG00000102340,0.0,ENSDARG00000042725,0.0,ENSDARG00000067850,2.8161215032847053e-298,ENSDARG00000094557,2.212865516582037e-222,ENSDARG00000063177,4.063516940547515e-131,ENSDARG00000055874,5.184068078336607e-111,ENSDARG00000104138,8.6372031578748095e-221,ENSDARG00000100252,1.3864837413105119e-238,ENSDARG00000060041,0.0,ENSDARG00000010434,2.756557230832259e-79,ENSDARG00000019033,9.635289618763612e-279,ENSDARG00000036481,9.283093964464275e-273,ENSDARG00000055874,6.123666216711012e-141,ENSDARG00000055504,0.0,ENSDARG00000043665,4.296263822088574e-115,ENSDARG00000033735,0.0,ENSDARG00000041363,3.1405987223729003e-91,ENSDARG00000002644,1.6476315633796316e-169,ENSDARG00000104138,1.0259758797652128e-120,ENSDARG00000056481,4.073074793920759e-103,ENSDARG00000093448,1.0561736855767406e-138,ENSDARG00000005230,1.6778729050471524e-103,ENSDARG00000018283,4.5277226549205607e-191,ENSDARG00000103962,3.6496625547149236e-157,ENSDARG00000020007,8.352060747078387e-61,ENSDARG00000023062,2.447748062765739e-61,ENSDARG00000069048,2.991592557977356e-25,ENSDARG00000087693,1.248257044212791e-37
7,ENSDARG00000012066,2.892397895617446e-292,ENSDARG00000037188,0.0,ENSDARG00000031228,0.0,ENSDARG00000045676,0.0,ENSDARG00000070682,0.0,ENSDARG00000038010,0.0,ENSDARG00000087457,8.7957159995493e-298,ENSDARG00000053493,2.5754526213978333e-220,ENSDARG00000005560,7.268201162937352e-117,ENSDARG00000038559,9.920085469494423e-110,ENSDARG00000040764,3.876792219278337e-220,ENSDARG00000089921,4.7360205586467535e-238,ENSDARG00000037009,0.0,ENSDARG00000057598,6.054363345827601e-79,ENSDARG00000075014,5.227270007319096e-246,ENSDARG00000053405,4.0088360726591675e-266,ENSDARG00000104279,4.460718262505873e-132,ENSDARG00000068784,0.0,ENSDARG00000040971,1.2260320225239584e-88,ENSDARG00000040072,0.0,ENSDARG00000042876,1.324370483853295e-88,ENSDARG00000074908,1.944130053326152e-164,ENSDARG00000004034,4.422596980177732e-92,ENSDARG00000039273,3.4951646959878117e-102,ENSDARG00000029064,1.9598541117097933e-132,ENSDARG00000019444,1.2902424963322461e-73,ENSDARG00000054610,2.9462255006686634e-184,ENSDARG00000053194,3.6243993948237063e-156,ENSDARG00000012066,1.616449945787598e-58,ENSDARG00000076223,1.6391772947177815e-55,ENSDARG00000037000,8.42836953354907e-24,ENSDARG00000000069,1.5995095457698965e-35
8,ENSDARG00000104110,8.992020772531652e-285,ENSDARG00000014013,0.0,ENSDARG00000063341,0.0,ENSDARG00000005220,0.0,ENSDARG00000028396,0.0,ENSDARG00000023188,0.0,ENSDARG00000062479,3.771599653026419e-262,ENSDARG00000025375,3.482936165515332e-202,ENSDARG00000011648,5.939950805907621e-94,ENSDARG00000038154,1.7638319721489003e-101,ENSDARG00000030463,1.7070313790764302e-162,ENSDARG00000035741,1.067749423319703e-225,ENSDARG00000100789,0.0,ENSDARG00000036820,2.3107946646358254e-78,ENSDARG00000042876,4.686930243230317e-200,ENSDARG00000035882,3.9360879993381595e-242,ENSDARG00000056122,2.279512672712923e-127,ENSDARG00000071437,0.0,ENSDARG00000023330,1.0401051767850658e-83,ENSDARG00000037281,8.050197568477455e-277,ENSDARG00000043154,1.671852924839403e-85,ENSDARG00000022995,9.294241820029169e-161,ENSDARG00000019845,7.007408530166088e-89,ENSDARG00000007804,4.040957128389677e-102,ENSDARG00000033789,7.740416237363451e-131,ENSDARG00000038028,2.2692949845101538e-49,ENSDARG00000077301,7.168460862193001e-180,ENSDARG00000041921,9.474154041117321e-155,ENSDARG00000022995,4.5071314750241115e-58,ENSDARG00000100020,1.111463496702466e-52,ENSDARG00000093549,1.2453946159288286e-23,ENSDARG00000098114,3.950988196962352e-34
9,ENSDARG00000054823,6.710367779973474e-276,ENSDARG00000052615,0.0,ENSDARG00000096668,0.0,ENSDARG00000020007,0.0,ENSDARG00000014361,0.0,ENSDARG00000071437,0.0,ENSDARG00000055009,2.0014132599098008e-260,ENSDARG00000000069,5.053419874067151e-199,ENSDARG00000009871,1.4102501423225272e-81,ENSDARG00000089921,4.4693137260763926e-100,ENSDARG00000070161,2.5249881071498747e-154,ENSDARG00000007294,2.1517555616208934e-223,ENSDARG00000103594,0.0,ENSDARG00000014361,2.4784600692042752e-77,ENSDARG00000015495,6.569715803997016e-196,ENSDARG00000052712,2.96780159035016e-181,ENSDARG00000104413,6.79237997600237e-127,ENSDARG00000102599,0.0,ENSDARG00000003681,1.1438619849406978e-82,ENSDARG00000002731,2.885682080689316e-262,ENSDARG00000031981,7.634975286174865e-72,ENSDARG00000061436,1.1439964818708208e-120,ENSDARG00000076554,1.4113668418508537e-80,ENSDARG00000057626,5.75111110514189e-93,ENSDARG00000007745,6.683539817040201e-115,ENSDARG00000037846,1.2621141566770684e-46,ENSDARG00000038010,2.0435919273355284e-179,ENSDARG00000001873,2.840399784915616e-151,ENSDARG00000089354,2.2349775028445462e-57,ENSDARG00000009087,1.2149227013349043e-44,ENSDARG00000010962,1.7206142975571752e-23,ENSDARG00000003931,5.3941553053286606e-33
