,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p
0,WBGene00006783,1.982136189670605e-79,WBGene00006780,2.5672818784559783e-197,WBGene00006789,0.0,WBGene00002007,8.309099353999857e-232,WBGene00001172,2.4834529676607063e-210,WBGene00018976,1.6330959320126685e-87,WBGene00000777,1.2966360507891204e-242,WBGene00019940,2.0084474302882075e-156,WBGene00007186,2.0585065992596184e-166,WBGene00003014,2.248217495857213e-273,WBGene00000606,9.182246111574542e-108,WBGene00009500,1.0801103674974668e-139,WBGene00009978,5.664049540474724e-234,WBGene00000232,4.542243235733915e-101,WBGene00000777,3.8310344772219315e-112,WBGene00006649,8.458652038998393e-191,WBGene00002173,1.7272005789065793e-82,WBGene00006762,2.5154780889651725e-134,WBGene00015632,3.1200441143639063e-106,WBGene00018398,2.1850899390187967e-43,WBGene00001263,6.297894818316923e-82,WBGene00022781,4.10262541459822e-71,WBGene00006767,5.739694694839624e-39,WBGene00011966,1.955442602413041e-23,WBGene00001335,1.781249616259219e-08,WBGene00013038,2.3804957912723505e-09,WBGene00017984,2.5343881229558337e-08
1,WBGene00003001,6.852958887738221e-70,WBGene00006811,3.5048089645794323e-141,WBGene00003893,0.0,WBGene00007067,2.502674212860279e-180,WBGene00001189,2.0510682090296773e-193,WBGene00001210,1.5961037497586003e-61,WBGene00020097,4.123557878903884e-202,WBGene00000479,3.877398970607421e-130,WBGene00000479,3.969872086887987e-163,WBGene00007186,6.564589936851276e-199,WBGene00000240,4.867630274011155e-72,WBGene00006652,3.311390771482665e-118,WBGene00000082,5.651672087014529e-226,WBGene00006784,2.217135517826424e-87,WBGene00000232,3.623706049967251e-101,WBGene00001994,2.4482270183762387e-177,WBGene00000081,1.536065518670783e-79,WBGene00006766,1.9947258758433943e-73,WBGene00015237,1.2195313748641263e-102,WBGene00022593,7.680389653419418e-31,WBGene00003738,5.370517097005857e-80,WBGene00006937,2.5326914330645714e-66,WBGene00000367,1.1501507550962757e-36,WBGene00022350,9.99903519053358e-17,WBGene00000096,4.8876745180792495e-08,WBGene00014078,2.613462965982641e-09,WBGene00001073,5.1779949727170014e-08
2,WBGene00000257,2.5841345638501434e-66,WBGene00006831,8.301127107050884e-126,WBGene00006759,0.0,WBGene00020509,4.9304366869286364e-175,WBGene00022144,1.3165016342220095e-127,WBGene00000228,4.270414669705107e-56,WBGene00001227,6.112532636445419e-187,WBGene00007048,2.6396518322543996e-96,WBGene00022296,1.0878520241585284e-162,WBGene00016957,3.768832745077436e-188,WBGene00000082,6.500224419520427e-50,WBGene00013025,1.6019783813622169e-108,WBGene00004039,6.759338705781808e-226,WBGene00006759,4.581774240996446e-79,WBGene00013038,2.3521823612251097e-83,WBGene00002207,5.8344137704868506e-173,WBGene00011480,6.722425791896752e-79,WBGene00000527,4.6875807587645186e-73,WBGene00003589,8.497147692246958e-72,WBGene00002299,1.9832716337161098e-28,WBGene00002247,6.391693793534205e-69,WBGene00004025,4.2075283094150536e-64,WBGene00006784,5.321156026109425e-36,WBGene00018006,1.0482566196878995e-16,WBGene00020509,1.5923188201610554e-07,WBGene00016739,2.6196662819535697e-09,WBGene00004201,2.133154400032854e-07
3,WBGene00020130,4.3046108401492436e-66,WBGene00006818,2.348715541745778e-124,WBGene00001263,0.0,WBGene00011480,2.5864233532669073e-172,WBGene00006767,7.65621113571149e-125,WBGene00022518,3.999606228101761e-49,WBGene00003001,1.7133804834716586e-185,WBGene00004874,2.1194241859012377e-92,WBGene00008480,4.675978660969621e-162,WBGene00012936,5.194145410648414e-186,WBGene00011232,9.927029609019532e-46,WBGene00009531,1.971070511876381e-91,WBGene00011232,1.8103280412456176e-225,WBGene00006789,4.5708480050576786e-76,WBGene00022144,8.557596324898644e-76,WBGene00003149,3.848009561510563e-170,WBGene00000967,1.0610482044452055e-77,WBGene00006783,7.539878568797816e-68,WBGene00001172,2.7838893273044924e-71,WBGene00018304,3.179690179084951e-28,WBGene00002497,8.143780996630513e-55,WBGene00000082,2.0906259267206096e-62,WBGene00006777,1.3967299634969777e-35,WBGene00022719,6.777556788029558e-16,WBGene00007626,2.6815753143455525e-07,WBGene00019716,3.5617835155289912e-09,WBGene00016333,2.571057767207298e-07
4,WBGene00004793,2.0083970527784465e-65,WBGene00006798,1.2684005609278463e-119,WBGene00004736,2.7885209428125467e-295,WBGene00015168,4.066217793924893e-158,WBGene00006831,1.845338107099965e-114,WBGene00001042,5.1702544162489785e-48,WBGene00000039,8.504084109745794e-177,WBGene00002696,4.736021952976511e-92,WBGene00004315,2.640013822678958e-161,WBGene00009200,4.567988755831386e-176,WBGene00004025,6.94188260489435e-45,WBGene00006921,9.86249840205575e-89,WBGene00022781,2.1827637606391714e-221,WBGene00015632,4.3474252411204e-71,WBGene00010785,1.7316319072970136e-75,WBGene00007980,7.803628167419198e-166,WBGene00003411,2.3646910411727168e-74,WBGene00006798,1.716729522089522e-54,WBGene00006517,4.8078243927092025e-71,WBGene00006505,4.3561144082397974e-27,WBGene00003893,4.82676532271959e-38,WBGene00000253,2.113264126084856e-60,WBGene00022144,1.3321851576214043e-34,WBGene00016151,1.4823590587950947e-15,WBGene00019185,3.3763756640869833e-07,WBGene00000550,3.572968559576391e-09,WBGene00021901,2.611834019031392e-07
5,WBGene00006818,2.6635855269321547e-63,WBGene00004913,9.969228614771651e-116,WBGene00006801,2.7972997412666036e-287,WBGene00006367,4.4695618605262237e-122,WBGene00004719,1.8776431148442697e-112,WBGene00006652,1.5114908440218732e-40,WBGene00001209,2.648406191123726e-174,WBGene00022048,6.581617561739785e-85,WBGene00022350,8.221526233362697e-159,WBGene00003024,5.970489912610298e-176,WBGene00021628,8.497898493204053e-43,WBGene00012203,3.557932756310185e-86,WBGene00016245,3.4088128660041563e-220,WBGene00001263,6.457383289388669e-66,WBGene00020068,4.2445695527697905e-74,WBGene00016508,1.0523873263387364e-162,WBGene00011232,2.212327609739115e-63,WBGene00006811,3.794345551375313e-53,WBGene00003516,1.1215928485282535e-70,WBGene00001512,2.4601144772891727e-23,WBGene00002007,4.285210723565902e-30,WBGene00011232,2.5749763503810444e-60,WBGene00015632,1.3668788279836653e-34,WBGene00011944,2.8934079814235955e-15,WBGene00013011,4.1705187234506355e-07,WBGene00018520,4.417044789479358e-09,WBGene00007186,2.669838445581325e-07
6,WBGene00003570,8.544371721217309e-62,WBGene00006756,1.54009901532758e-114,WBGene00003929,1.5640800853454234e-272,WBGene00004682,3.752613018132703e-108,WBGene00014261,1.405468256853827e-109,WBGene00008571,6.55457365669663e-40,WBGene00022865,1.389268645342788e-166,WBGene00010629,3.084787002241885e-83,WBGene00015635,4.683018168713427e-158,WBGene00022296,5.287496309256131e-175,WBGene00002979,7.933265927847578e-42,WBGene00010130,2.2478322949679736e-73,WBGene00007836,7.088076291950196e-219,WBGene00006801,1.8691225396841053e-63,WBGene00004873,6.115470954692307e-68,WBGene00021800,8.763099425752664e-157,WBGene00019682,1.1448844064291625e-59,WBGene00004921,2.2059441034630637e-52,WBGene00020735,1.4832275115829653e-67,WBGene00006783,7.719706898580004e-21,WBGene00004259,1.343347877840434e-26,WBGene00002010,5.74193539676275e-59,WBGene00001851,4.060874304561037e-34,WBGene00001025,1.3229373162113642e-14,WBGene00012015,4.741098892947689e-07,WBGene00003001,4.604412730697086e-09,WBGene00007554,2.862081454061088e-07
7,WBGene00001512,1.0641119250856428e-61,WBGene00001210,1.3929315062899642e-113,WBGene00002247,3.4960984047853394e-270,WBGene00006652,2.1994741251134212e-103,WBGene00000403,2.6809168873251e-106,WBGene00011760,1.2062397879934338e-36,WBGene00022378,2.710286930036259e-165,WBGene00010785,1.3072377556871047e-80,WBGene00008948,1.6018763529521723e-157,WBGene00009671,4.588779649659044e-174,WBGene00009978,6.125610884875079e-35,WBGene00022518,3.822357786031003e-72,WBGene00000253,1.0336185505345546e-214,WBGene00003567,1.718914141886072e-60,WBGene00015237,3.69248384946696e-66,WBGene00020017,6.06913902282739e-156,WBGene00003738,1.0655097337430053e-57,WBGene00006777,4.0936829722775976e-47,WBGene00022518,2.142336424030952e-67,WBGene00004950,4.4121569652533085e-20,WBGene00000102,3.979954254283569e-26,WBGene00001029,1.0104346511506043e-57,WBGene00004921,5.7292311915984665e-34,WBGene00017777,2.238146324576344e-14,WBGene00002176,5.516965202790372e-07,WBGene00019940,5.2724209613952726e-09,WBGene00010564,3.2485918158297075e-07
8,WBGene00004913,1.8485816449519656e-61,WBGene00004921,2.2922293485074443e-113,WBGene00017065,2.3393988162676637e-237,WBGene00015752,1.6548470420714842e-96,WBGene00008018,1.2496272447398397e-97,WBGene00018304,1.0131053267371711e-34,WBGene00008948,1.0060728670605432e-162,WBGene00004186,1.493408796885377e-79,WBGene00002229,5.508511679997494e-157,WBGene00000479,1.5051601527671648e-170,WBGene00007836,2.3761472221141624e-34,WBGene00004719,2.892629937502566e-66,WBGene00006937,1.4104759795236313e-212,WBGene00004259,3.41171157543979e-55,WBGene00015206,5.945299977211729e-65,WBGene00003516,1.898050808974588e-155,WBGene00007463,1.7119679271125095e-57,WBGene00004719,4.638510608509453e-44,WBGene00015813,2.6985898163501475e-65,WBGene00009120,1.376553452635807e-19,WBGene00006970,1.810219160494792e-22,WBGene00009978,3.2135282609875948e-56,WBGene00000895,2.5135892827575524e-32,WBGene00008151,2.3677057297077295e-14,WBGene00000089,7.681179718957106e-07,WBGene00022296,5.420267783987764e-09,WBGene00017768,4.087918822791601e-07
9,WBGene00001210,3.752627783038786e-59,WBGene00006777,3.8490186238485516e-113,WBGene00018271,9.99453753517432e-211,WBGene00000081,1.303118833621583e-90,WBGene00006818,2.600486990002646e-97,WBGene00008666,6.391183437593469e-32,WBGene00003596,3.9836762252861965e-162,WBGene00002229,1.6441976671012752e-79,WBGene00012936,1.5881260043348798e-155,WBGene00015635,1.3686142972548177e-167,WBGene00006787,5.293715002951901e-32,WBGene00001031,6.023354981857492e-66,WBGene00000039,2.524371465661609e-212,WBGene00000114,4.517092089058085e-46,WBGene00007980,7.919280585938841e-65,WBGene00003163,7.698779971883338e-146,WBGene00014215,4.533879768238033e-53,WBGene00006780,3.65283857007317e-42,WBGene00004091,1.4524747890969875e-60,WBGene00013869,1.8614615317401904e-19,WBGene00000114,7.214192202405379e-21,WBGene00002632,7.281706169062162e-56,WBGene00002175,5.589796951383516e-32,WBGene00001209,7.233163635335709e-14,WBGene00022389,8.97987082464664e-07,WBGene00007000,5.77563742307565e-09,WBGene00015809,4.1040301491409815e-07
