,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p
0,WBGene00004358,2.542963738866979e-161,WBGene00004423,6.328966142491755e-241,WBGene00021350,2.905230859211815e-143,WBGene00011480,2.19165331087794e-248,WBGene00000064,0.0,WBGene00006586,0.0,WBGene00002010,1.9651172659177293e-192,WBGene00004951,0.0,WBGene00004921,3.0679535928832007e-223,WBGene00006803,3.132013637597015e-69,WBGene00003776,2.7724549128403666e-66,WBGene00001340,2.8338254782618425e-236,WBGene00004446,6.704531592316942e-84,WBGene00000148,4.422660662190734e-59,WBGene00004485,8.297662845528293e-174,WBGene00019944,1.4042738900343072e-115,WBGene00001685,1.5712189257022856e-77,WBGene00022855,1.1802677979964114e-130,WBGene00008745,3.547035633317074e-91,WBGene00001263,1.176187718371527e-90,WBGene00011232,5.23648668275038e-86,WBGene00019064,5.895585429021995e-84
1,WBGene00015064,2.153324798471005e-160,WBGene00004499,4.493343231367831e-178,WBGene00004424,2.219300087078685e-88,WBGene00002007,1.1380381885407234e-239,WBGene00018271,2.0503299330765e-160,WBGene00003371,0.0,WBGene00004446,1.2723938599495288e-191,WBGene00003400,5.806247922480414e-59,WBGene00003878,6.817984395074046e-187,WBGene00010369,2.080917754093972e-56,WBGene00006728,2.91482944462595e-35,WBGene00009177,9.532287176805869e-38,WBGene00004432,3.195752946148547e-67,WBGene00002025,2.5022816122116808e-54,WBGene00009452,2.6825773646874305e-16,WBGene00001843,8.342316454634149e-103,WBGene00004271,6.252718989987024e-35,WBGene00001794,1.5926458615746395e-12,WBGene00001130,1.751642410105295e-07,WBGene00006586,5.858819057189728e-50,WBGene00018491,7.611977342060043e-30,WBGene00006586,2.0194413801099686e-64
2,WBGene00017735,8.406997613978863e-142,WBGene00004433,2.4290850665350876e-112,WBGene00004409,1.198381491733044e-87,WBGene00006959,4.7326859693589686e-154,WBGene00000776,1.3727925653881787e-135,WBGene00002978,0.0,WBGene00002025,3.381270467267225e-182,WBGene00044061,1.225568825936621e-56,WBGene00018330,1.4999715529827309e-180,WBGene00003400,9.490955086889017e-37,WBGene00000292,1.3872391632087837e-34,WBGene00018877,1.0140593830366543e-37,WBGene00012343,1.657482505494249e-17,WBGene00009177,2.761225101055363e-23,WBGene00020273,1.5325480457330717e-15,WBGene00008151,1.3563295673050267e-99,WBGene00001516,6.8672614815511e-31,WBGene00009177,5.910798520452261e-11,WBGene00006508,2.5017759063383055e-07,WBGene00019064,2.536258468637574e-45,WBGene00021910,1.1687466612024562e-23,WBGene00001263,1.953877924281229e-53
3,WBGene00004088,1.0719859073424189e-140,WBGene00004488,2.9829528931943975e-111,WBGene00012343,2.683522177600262e-66,WBGene00007696,1.0655744222666513e-141,WBGene00018877,1.4843014529727187e-131,WBGene00019064,0.0,WBGene00004438,1.98861902505337e-177,WBGene00016258,3.130362149245871e-51,WBGene00004912,1.8480591985627418e-178,WBGene00004364,6.797944386082355e-33,WBGene00003914,4.0085372016678655e-34,WBGene00000776,2.3515278057577695e-33,WBGene00020273,7.624853006542476e-17,WBGene00018877,8.58372319743915e-22,WBGene00004463,1.557393467253925e-14,WBGene00018090,8.964169854512823e-99,WBGene00003172,9.225363087013821e-30,WBGene00006812,9.292139346847039e-11,WBGene00020114,1.224728289064066e-06,WBGene00002978,1.680537253264654e-44,WBGene00004274,1.638401536574498e-19,WBGene00002978,2.3547756891121665e-48
4,WBGene00003878,2.5471933043446063e-140,WBGene00009122,2.6007637536272188e-64,WBGene00012005,7.099748919140828e-57,WBGene00006626,1.0946268136997904e-139,WBGene00009177,2.5027424879279735e-129,WBGene00001263,6.700893822937267e-308,WBGene00004426,1.4720454438149175e-166,WBGene00001516,9.520255183173674e-47,WBGene00001055,4.439562743553728e-171,WBGene00020556,4.7393720834248534e-30,WBGene00015064,2.2566495655595073e-28,WBGene00020509,3.7122889420933736e-33,WBGene00019323,3.589112434615933e-15,WBGene00004389,8.020719792337025e-21,WBGene00004499,1.4696589144975655e-13,WBGene00020207,1.0179863607590699e-96,WBGene00022847,5.903235373914507e-27,WBGene00009628,2.7710547419841944e-09,WBGene00013732,2.262573362790159e-06,WBGene00006359,9.399101708214803e-41,WBGene00001685,1.8676404663870233e-19,WBGene00006759,2.834249171589539e-38
5,WBGene00006933,3.6286343297133406e-140,WBGene00012343,7.068360127199324e-63,WBGene00004489,5.369404168815868e-55,WBGene00018090,2.1406544345433323e-106,WBGene00020509,9.005862860185053e-127,WBGene00004025,3.959311519227842e-278,WBGene00004485,2.9317607696777023e-151,WBGene00020334,1.814799965313393e-43,WBGene00001612,4.64274242992985e-170,WBGene00007010,6.0541094343536914e-30,WBGene00000201,7.013724494162342e-24,WBGene00001794,1.8548009488302263e-32,WBGene00022271,3.650035988534562e-14,WBGene00001794,4.4933310239087045e-20,WBGene00004432,2.1878473117557736e-12,WBGene00013703,2.52241466174533e-95,WBGene00008775,1.931626561230508e-26,WBGene00000277,6.3782917601416235e-09,WBGene00019018,7.164836378807933e-06,WBGene00020770,3.6441451282495574e-40,WBGene00003914,3.4400502320118054e-18,WBGene00003371,3.3441821536480353e-32
6,WBGene00010665,6.932607296157378e-140,WBGene00004493,3.3940800232780513e-62,WBGene00004482,3.0949989601688435e-50,WBGene00004462,6.748819684347221e-104,WBGene00001794,2.42328983587558e-105,WBGene00006759,2.6345766717342193e-244,WBGene00004499,6.195083749392384e-151,WBGene00020507,3.84486068161959e-42,WBGene00016793,1.2200433644056536e-167,WBGene00009120,1.7473819733952e-29,WBGene00006633,3.769679414971814e-23,WBGene00004389,3.1055342408422447e-32,WBGene00017855,3.3807827171031414e-13,WBGene00020509,8.1075130750659e-19,WBGene00006698,1.6868870161745775e-11,WBGene00000774,9.70783995721011e-95,WBGene00009116,1.2574950828723555e-23,WBGene00004364,8.737923519204233e-09,WBGene00003400,9.808505417906847e-06,WBGene00001101,5.3059894686458315e-40,WBGene00007666,1.7524310743755266e-16,WBGene00004130,1.2927931282614944e-30
7,WBGene00000985,9.191788562591656e-140,WBGene00004486,1.5430858095131788e-57,WBGene00004486,1.0128349574890071e-47,WBGene00002025,1.4425995589793528e-103,WBGene00009958,1.2389882597563192e-101,WBGene00003893,2.880053059284124e-240,WBGene00004423,5.458949246413557e-150,WBGene00001489,5.769663494118824e-42,WBGene00010496,5.653198242966795e-165,WBGene00003567,1.7708743776704088e-28,WBGene00000217,2.0930623583029833e-21,WBGene00013855,1.3220322106669716e-31,WBGene00010844,8.878308927427026e-13,WBGene00003086,1.3077181938650555e-17,WBGene00004454,4.4658177174235294e-11,WBGene00019770,1.0259007018977302e-92,WBGene00019305,6.050412187151993e-23,WBGene00001620,9.309034748858472e-09,WBGene00001794,9.810062076688681e-06,WBGene00002192,6.899033070368131e-40,WBGene00004855,2.432866613912192e-16,WBGene00004025,8.756264012624796e-27
8,WBGene00004003,9.7558835467346e-138,WBGene00004485,1.568438750523297e-54,WBGene00004493,5.311312734368414e-46,WBGene00003776,2.24499934373459e-99,WBGene00003053,2.8249165220773944e-101,WBGene00012934,4.254740702018039e-239,WBGene00002045,3.5269510619826875e-144,WBGene00010670,2.1648767198385777e-40,WBGene00004088,2.292492806732186e-164,WBGene00013124,2.332947904946826e-28,WBGene00014021,6.4917196175478784e-21,WBGene00018271,7.581168597958354e-31,WBGene00001087,1.6857022028337312e-12,WBGene00013577,1.4360586619278063e-17,WBGene00009584,1.0474808217360086e-10,WBGene00006704,3.78435525468078e-92,WBGene00011232,1.7901134722529502e-22,WBGene00015064,1.0722917179644848e-08,WBGene00003053,1.4528230009583329e-05,WBGene00015512,3.269013997373347e-39,WBGene00018187,2.9762972614484895e-16,WBGene00003893,1.5090081613058187e-23
9,WBGene00004271,1.5241182808534214e-136,WBGene00004479,2.334349912361795e-54,WBGene00004440,7.632468704847018e-45,WBGene00021420,1.1056086081058543e-97,WBGene00003086,4.301245913625303e-96,WBGene00001863,2.043788232643472e-205,WBGene00018846,7.069616475975471e-142,WBGene00019163,1.2459597256210743e-38,WBGene00016258,3.88742733978549e-164,WBGene00019163,1.3620710227853271e-24,WBGene00000149,1.606624762303804e-20,WBGene00009958,1.4143506864521883e-30,WBGene00018090,3.389295725247082e-12,WBGene00003053,4.131198083345249e-17,WBGene00004488,7.995016039497729e-10,WBGene00004296,6.95911714331166e-92,WBGene00015219,4.0125164886166793e-22,WBGene00020509,1.223328362223329e-08,WBGene00018877,1.6978942614920254e-05,WBGene00004213,1.4962482786352822e-38,WBGene00020146,1.6562885655738904e-15,WBGene00006801,1.7092394669015564e-19
